Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
MSFT,-0.4189430976394568,-0.4148970438735691,-0.41221994026721465,-0.4101875693389391,-0.4079645139646423,-0.4066953108620713,-0.4058606000139315,-0.4047155304307333,-0.4018804695556618,-0.39981580877604345,-0.39780435548641435,-0.3956901061243907,-0.39302177601325383,-0.3907797973213441,-0.3875087645832082,-0.3851731879813549,-0.38081918919004026,-0.3767040441546386,-0.3718881414173645,-0.3687359642678937,-0.36477583717788364,-0.36150435983438844,-0.35891471515030404,-0.3560319669506884,-0.3527114690834433,-0.350303441615448,-0.34729644558940553,-0.3455418405517898,-0.3450873082473005,-0.3432846242941776,-0.34241108271395826,-0.34201115447445474,-0.3412356136253777,-0.34272527349214477,-0.3436210691906174,-0.3445192985607114
NVDA,-0.36369889083377605,-0.362674843055321,-0.36154176106269686,-0.3598557520894976,-0.3601352907347528,-0.36028844958891243,-0.3601016914568603,-0.3591565086454289,-0.3587737370084717,-0.3588439995682022,-0.35716710141346886,-0.35578246273068226,-0.3540001178881472,-0.352484436088006,-0.3512086745935388,-0.3492620946669086,-0.3490237995359166,-0.34623463702822194,-0.3437015259948003,-0.3428645037800362,-0.3406886301057336,-0.3391811960706982,-0.33805680667669225,-0.33504320803208065,-0.33255578774963,-0.3297328901886257,-0.3271028258087211,-0.32457881376840925,-0.3229143749127762,-0.3213325602631314,-0.32019699727526374,-0.31861380038571363,-0.3171972046443644,-0.3175094768289577,-0.31744477182698316,-0.3172896324049951
AMZN,-0.37430389605620196,-0.36923498041427777,-0.3651395651642071,-0.36174268646896834,-0.3575518987758235,-0.3543201815040376,-0.351716953145434,-0.34807894892428237,-0.3439469854361489,-0.34060289413712547,-0.3369353537880132,-0.3341319289099417,-0.3308882831328074,-0.3282250698506772,-0.32558501942540036,-0.3239850044805108,-0.32088432342143863,-0.31803066131523344,-0.3148595844849972,-0.3129299438956421,-0.309914995277363,-0.3072249757193869,-0.30511435806315546,-0.3025506994589112,-0.3001473998765245,-0.29834234827135675,-0.2960898478546512,-0.2943978991276609,-0.29309453706496447,-0.29112097651747826,-0.2893071787092808,-0.28827595564258746,-0.28739022522804514,-0.2878751424587138,-0.28841910846616725,-0.28750214826136555
INTC,-0.2961839360401477,-0.2891566142205249,-0.28287215545667177,-0.2760304034636796,-0.2702713723738964,-0.2655297451509578,-0.26132461898128606,-0.25642381988017493,-0.2509035265503188,-0.24528995458673025,-0.24008766846595853,-0.23487222689314569,-0.22898921205645828,-0.22331486239516823,-0.21711586131265487,-0.2116563504187715,-0.20505440858823015,-0.19832907515220094,-0.19099854946414974,-0.18530077071434448,-0.1790087795962786,-0.17337169947640896,-0.16855296217681026,-0.1634727889141495,-0.1582322156506032,-0.15332419049064816,-0.1485719260690771,-0.14383193655618676,-0.14044267240368125,-0.13612924589078834,-0.1325989386983687,-0.12916234974910978,-0.12568067263484772,-0.1238515714065267,-0.12210709577455658,-0.11920495275714182
AMD,-0.1479128521202352,-0.14628207825067707,-0.14517915960216632,-0.14327687929687627,-0.1421407228318039,-0.1407094631461943,-0.13944890244643177,-0.13761671067114412,-0.1352748317795297,-0.13228355837449363,-0.12923907386204647,-0.12623082858404988,-0.12218027514316898,-0.11790422819161378,-0.11356942695463085,-0.1099272234146027,-0.10680485675856871,-0.10367551797883084,-0.10046436988905416,-0.09835322179925576,-0.0963065145886467,-0.09498604570175484,-0.09487137011724467,-0.09604023168326459,-0.09757884505181913,-0.0991132136638021,-0.10172106251889956,-0.10420558266114754,-0.10803887561752823,-0.11152280205091414,-0.1154337089594899,-0.11872694108921245,-0.12276484482521632,-0.12780667250257494,-0.13152495357960414,-0.13526644400199217
TSM,-0.14436556469681439,-0.13901184674295786,-0.1334428877679677,-0.12779002241847515,-0.12257593256245758,-0.1182412155705101,-0.11425156847098522,-0.11087256965736458,-0.10710360803636265,-0.10392183508227032,-0.10210787903297747,-0.10061668428264414,-0.09884492853256388,-0.09721519705977905,-0.0950891245155307,-0.0954022520270057,-0.09506472293418994,-0.095088673939898,-0.09474538322171133,-0.0963122886540626,-0.09840266854255997,-0.10106000648545099,-0.10467662456960491,-0.10806959879673428,-0.11139321219200071,-0.11561779403715455,-0.11927936600967848,-0.12466243462346949,-0.1309044203329085,-0.13558942930284357,-0.14161742155468215,-0.14813274811881638,-0.15316613752215713,-0.1616477281111076,-0.16938824918938067,-0.17569344344796345
META,-0.06478393910418606,-0.06634469819042133,-0.06916930195010007,-0.07105085087102309,-0.07330219436315638,-0.07572745748598053,-0.07863162901366821,-0.07949692925461033,-0.07986545195480682,-0.07818788444967878,-0.07737067425899768,-0.07547072860601356,-0.07266871023909549,-0.06948780878756838,-0.06665580741402283,-0.06298647162129345,-0.05844437661443386,-0.05399285593974995,-0.04896838376453638,-0.0445801462204477,-0.039985581150634664,-0.03513229389431993,-0.032357279973094566,-0.03024528905325008,-0.02795623933333513,-0.02612151689970621,-0.0253978283612164,-0.023991535387052343,-0.024346561310129466,-0.02361114061737235,-0.0237484552949202,-0.02472737910580758,-0.02512670629307623,-0.02710010634103599,-0.02888384020522694,-0.03025358609744966
IBM,-0.11001978868631784,-0.10469972397438015,-0.10041953281418992,-0.09612563453633532,-0.09181200883173313,-0.08785674503560947,-0.08443712746369875,-0.08020937300904152,-0.07551919122868345,-0.07060035958897992,-0.06621824258459569,-0.06179055025303032,-0.05671597132014422,-0.05148067753733232,-0.04550452882662165,-0.04070492516614055,-0.03461529288639226,-0.028952133644536582,-0.022748517438414995,-0.01745990624302851,-0.012229649283021726,-0.007422287648134018,-0.003717914285755519,-0.000735682317942743,0.002239090894833984,0.004731809989537261,0.006998783092221794,0.0089267069601483,0.009992675897447123,0.011980446964117153,0.013239870840771495,0.014557428493809699,0.01593218675946395,0.01582697471907979,0.016079134478559576,0.017048348473380548
MU,-0.12061721509505008,-0.11116106537578407,-0.10243428785504016,-0.09373839896404251,-0.08514035256480867,-0.07770880377614825,-0.07087998811345597,-0.06363278044554255,-0.05582586864189287,-0.04852947066544516,-0.041597556311772976,-0.034798579490882886,-0.027560047315140335,-0.020487071125883882,-0.012845401977232107,-0.006391870711943637,0.001356756129806569,0.008891542336394331,0.017228445800258563,0.024039237970131078,0.031353983028097554,0.03812073357097007,0.044031731579720734,0.05021931423426684,0.05645966293083615,0.06235987756275829,0.06835899489311753,0.07388764653916063,0.07854677325451187,0.08446293591361209,0.08948145047710743,0.09433196301517127,0.09909819036689271,0.10233284331666759,0.10562227620859393,0.11012717197413979
GOOGL,-0.03598115989152434,-0.03171483294291727,-0.027544109616777668,-0.02370240840588944,-0.0195450424178909,-0.016283516010758947,-0.013734955562516471,-0.010137171644248766,-0.005719228237541951,-0.0011802150997167749,0.0027601641795362286,0.006826330472968267,0.012087958427916823,0.017046556748878505,0.02281331742823317,0.027325873960843072,0.03355939739659408,0.03918644860205517,0.0457387822144123,0.0509710001405983,0.056391536806730425,0.062007287511699594,0.06663835586470174,0.07095887279155705,0.07509440219683228,0.07896815828105774,0.08293060610396491,0.0864360109280875,0.08932890676502425,0.09298907358875319,0.09610386345009742,0.09909162500851026,0.1014472501480379,0.10280697392396909,0.1040822866735508,0.106895577754476
