Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
MSFT,-0.43423913925769786,-0.4370111731416904,-0.44013943017493135,-0.44459976491444764,-0.44772292460512253,-0.45178068781115,-0.45587074363607333,-0.4599510504044815,-0.4620838616930913,-0.4644764515818428,-0.46659515092487286,-0.4686890564725031,-0.4698772868558832,-0.47150011886139137,-0.4720354448484711,-0.4724231651400288,-0.4715640980505085,-0.4711112241572203,-0.47013983346196364,-0.4700080087341065,-0.4693533149213527,-0.4686676976672816,-0.4675452361839312,-0.46667447573093723,-0.46456210437134476,-0.4631234974809219,-0.4608511072450163,-0.4596231262531089,-0.4583600682506063,-0.45721791991524147,-0.45660937907633825,-0.4557086277648474,-0.45517413270900015,-0.4546932094507061,-0.4541476367881021,-0.4538594464432377
NVDA,-0.3789949324520171,-0.3847889723234423,-0.38946125097041356,-0.39426794766500617,-0.39989370137523306,-0.40537382653799114,-0.4101118350790021,-0.4143920286191771,-0.4189771291459012,-0.42350464237400154,-0.42595789685192736,-0.42878141307879464,-0.4308556287307766,-0.43320475762805327,-0.4357353548588017,-0.4365120718255825,-0.4397687083963848,-0.44064181703080363,-0.44195321803939946,-0.444136548246249,-0.4452661078492026,-0.44634453390359136,-0.4466873277103194,-0.4456857168123295,-0.4444064230375315,-0.4425529460540996,-0.44065748746433187,-0.43866009946972834,-0.436187134916082,-0.43526585588419525,-0.43439529363764373,-0.4323112736761063,-0.43113572372798686,-0.42947741278751905,-0.42797133942446786,-0.4266297802875214
AMZN,-0.389599937674443,-0.39134910968239905,-0.3930590550719238,-0.3961548820444769,-0.39731030941630374,-0.3994055584531163,-0.40172709676757584,-0.4033144688980306,-0.40415037757357836,-0.40526353694292483,-0.4057261492264717,-0.4071308792580541,-0.40774379397543675,-0.40894539139072444,-0.41011169969066325,-0.4112349816391847,-0.41162923228190684,-0.41243784131781513,-0.41311127652959634,-0.4142019883618549,-0.41449247302083203,-0.41438831355228006,-0.4137448790967826,-0.41319320823916006,-0.41199803516442596,-0.41116240413683064,-0.409644509510262,-0.40847918482898,-0.4063672970682703,-0.4050542721385421,-0.4035054750716608,-0.4019734289329801,-0.4013287443116676,-0.3998430784172752,-0.39894567606365194,-0.3968422961438919
INTC,-0.31147997765838875,-0.3112707434886462,-0.31079164536438847,-0.31044259903918814,-0.31002978301437667,-0.3106151221000365,-0.3113347626034279,-0.31165933985392313,-0.31110691868774826,-0.3099505973925296,-0.30887846390441703,-0.30787117724125806,-0.30584472289908765,-0.3040351839352155,-0.30164254157791776,-0.2989063275774454,-0.29579931744869836,-0.29273625515478263,-0.2892502415087489,-0.28657281518055727,-0.2835862573397476,-0.2805350373093021,-0.2771834832104374,-0.27411529769439835,-0.27008285093850465,-0.26614424635612205,-0.2621265877246879,-0.25791322225750585,-0.2537154324069871,-0.2500625415118522,-0.2467972350607487,-0.24285982303950243,-0.23961919171847018,-0.23581950736508805,-0.23263366337204128,-0.22854510063966815
AMD,-0.16320889373847625,-0.16839620751879836,-0.17309864950988302,-0.17768907487238483,-0.18189913347228415,-0.18579484009527303,-0.1894590460685736,-0.19285223064489232,-0.19547822391695918,-0.196944201180293,-0.19802986930050498,-0.19922977893216226,-0.19903578598579835,-0.19862454973166105,-0.19809610721989374,-0.1971772005732766,-0.19754976561903692,-0.19808269798141254,-0.19871606193365332,-0.19962526626546856,-0.20088399233211574,-0.202149383534648,-0.2035018911508718,-0.20668274046351343,-0.2094294803397206,-0.211933269529276,-0.21527572417451035,-0.21828686836246664,-0.22131163562083406,-0.225456097671978,-0.2296320053218699,-0.2324244143796051,-0.23670336390883878,-0.2397746084611363,-0.24205152117708884,-0.2446065918845185
TSM,-0.15966160631505544,-0.16112597601107914,-0.1613623776756844,-0.1622022179939837,-0.16233434320293783,-0.1633265925195888,-0.16426171209312707,-0.1661080896311128,-0.16730700017379213,-0.16858247788806968,-0.17089867447143597,-0.17361563463075652,-0.17570043937519325,-0.17793551859982631,-0.1796158047807936,-0.18265222918567958,-0.18580963179465815,-0.1894958539424797,-0.1929970752663105,-0.1975843331202754,-0.202980146286029,-0.20822334431834416,-0.21330714560323205,-0.21871210757698312,-0.22324384747990217,-0.22843784990262844,-0.23283402766528927,-0.23874372032478858,-0.24417718033621433,-0.24952272492390742,-0.25581571791706215,-0.26183022140920903,-0.2671046566057796,-0.273615664069669,-0.27991481678686536,-0.2850335913304898
META,-0.08007998072242711,-0.08845882745854261,-0.09708879185781677,-0.10546304644653165,-0.11306060500363663,-0.12081283443505925,-0.12864177263581006,-0.13473244922835853,-0.1400688440922363,-0.14284852725547814,-0.1461614696974562,-0.14846967895412594,-0.14952422108172486,-0.15020813032761565,-0.15118248767928572,-0.15023644877996734,-0.14918928547490207,-0.14840003594233164,-0.14722007580913554,-0.1458521906866605,-0.1445630588941037,-0.1422956317272131,-0.1409878010067217,-0.14088779783349892,-0.1398068746212366,-0.1389415727651801,-0.1389524900168272,-0.13807282108837143,-0.1376193213134353,-0.1375444362384362,-0.1379467516573002,-0.13842485239620023,-0.1390652253766987,-0.13906804229959735,-0.13941040780271163,-0.139593733979976
IBM,-0.1253158303045589,-0.12681385324250144,-0.12833902272190661,-0.1305378301118439,-0.13157041947221337,-0.1329421219846882,-0.1344472710858406,-0.13544489298278972,-0.13572258336611293,-0.13526100239477928,-0.1350090380230542,-0.1347895006011427,-0.1335714821627736,-0.1322009990773796,-0.13003120909188454,-0.12795490232481443,-0.12536020174686047,-0.12335931364711827,-0.12100020948301415,-0.11873195070924131,-0.11680712702649076,-0.11458562548102719,-0.11234843531938266,-0.11137819109819158,-0.10961154439306747,-0.10808824587593663,-0.106555878563389,-0.10515457874117079,-0.1032800841058587,-0.1019528486569467,-0.1009584255216085,-0.09914004479658295,-0.09800633232415851,-0.09614096123948157,-0.09444743311892512,-0.09229179940914578
AVGO,-0.015296041618241052,-0.022114129268121285,-0.0279194899077167,-0.034412195575508564,-0.039758410640480246,-0.045085376949078715,-0.050010143622141845,-0.055235519973748204,-0.06020339213742948,-0.06466064280579936,-0.06879079543845851,-0.07299895034811238,-0.07685551084262937,-0.08072032154004727,-0.08452668026526289,-0.08724997715867389,-0.09074490886046821,-0.09440718000258169,-0.09825169204459916,-0.1012720444662128,-0.10457747774346904,-0.10716333783289317,-0.10863052103362714,-0.11064250878024884,-0.11185063528790146,-0.11282005586547389,-0.11355466165561079,-0.11408128570131909,-0.11327276000330583,-0.11393329562106386,-0.11419829636237999,-0.11369747329039265,-0.11393851908362246,-0.11196793595856136,-0.11052656759748469,-0.10934014788252633
MU,-0.13591325671329113,-0.13327519464390536,-0.13035377776275686,-0.12815059453955108,-0.12489876320528892,-0.12279418072522696,-0.12089013173559782,-0.11886830041929075,-0.11602926077932235,-0.11319011347124452,-0.11038835175023148,-0.10779752983899527,-0.1044155581577697,-0.10120739266593115,-0.097372082242495,-0.09364184787061752,-0.08938815273066164,-0.08551563766618736,-0.0810232462443406,-0.07723280649608172,-0.07322349471537148,-0.0690426042619231,-0.0645987894539064,-0.060423194545981995,-0.055390972357065305,-0.0504601783027156,-0.04519566676249326,-0.04019363916215846,-0.03472598674879396,-0.029470359707451765,-0.024716845885272565,-0.019365510275221376,-0.014840328716729745,-0.009635092641893772,-0.004904291388890758,0.0007870240916134641
