Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
MSFT,-0.38296193774793247,-0.38318221093065186,-0.384675830650437,-0.38648516093304963,-0.3884194715467514,-0.39041179485131233,-0.392125644451415,-0.3945783587864845,-0.39616124131811986,-0.39863559367632667,-0.4005645196659506,-0.402516436597359,-0.40510973444117065,-0.4078263540702226,-0.4103220820114414,-0.412499061942198,-0.41437858658663435,-0.41589049275669376,-0.4176269236317768,-0.419706964408492,-0.42116737398461407,-0.42351164734608804,-0.4255530710150058,-0.42699083974224544,-0.4278058712802756,-0.42927159989650576,-0.43022705169337044,-0.43197785147987733,-0.43441621501232475,-0.4362736978829308,-0.4385149461640557,-0.441102779482965,-0.4426828637734156,-0.44553224741611386,-0.4477033558641682,-0.4514148763151874
NVDA,-0.3277177309422517,-0.3309600101124037,-0.3339976514459192,-0.33615334368360816,-0.3405902483168619,-0.3440049335781535,-0.3463667358943438,-0.34901933700118015,-0.35305450877092975,-0.3576637844684854,-0.3599272655930051,-0.3626087932036505,-0.36608807631606405,-0.3695309928368845,-0.374021992021772,-0.3765879686277517,-0.3825831969325107,-0.3854210856302771,-0.3894403082092126,-0.3938355039206345,-0.397080166912464,-0.4011884835823978,-0.404695162541394,-0.4060020808236377,-0.4076501899464623,-0.40870104846968347,-0.410033431912686,-0.41101482469649675,-0.41224328167780044,-0.4143216338518846,-0.41630086072536115,-0.4177054253942239,-0.4186444547924023,-0.4203164507529268,-0.42152705850053396,-0.4241852101594711
AMZN,-0.3383227361646776,-0.3375201474713605,-0.3375954555474294,-0.3380402780630789,-0.3380068563579326,-0.33803666549327865,-0.3379819975829175,-0.3379417772800336,-0.3382277571986069,-0.3394226790374087,-0.33969551796754943,-0.34095825938290997,-0.3429762415607242,-0.3452716265995557,-0.34839833685363353,-0.3513108784413539,-0.3544437208180327,-0.3572171099172886,-0.3605983666994095,-0.3639009440362404,-0.3663065320840934,-0.3692322632310865,-0.3717527139278572,-0.37350957225046827,-0.3752418020733568,-0.3773105065524145,-0.3790204539586161,-0.3808339100557484,-0.3824234438299887,-0.38411005010623145,-0.3854110421593782,-0.3873675806510977,-0.38883747537608304,-0.3906821163826829,-0.39250139513971805,-0.39439772601584155
INTC,-0.26020277614862336,-0.25744178127760764,-0.2553280458398941,-0.25232799505779013,-0.2507263299560055,-0.24924622914019884,-0.2475896634187696,-0.24628664823592616,-0.24518429831277683,-0.24410973948701348,-0.24284783264549475,-0.24169855736611395,-0.2410771704843751,-0.24036141914404674,-0.23992917874088804,-0.23898222437961458,-0.23861380598482423,-0.2375155237542561,-0.23673733167856204,-0.23627177085494278,-0.235400316403009,-0.23537898698810855,-0.235191318041512,-0.23443166170570656,-0.23332661784743547,-0.2322923487717059,-0.231502532173042,-0.23026794748427426,-0.2297715791687055,-0.22911831947954153,-0.2287028021484661,-0.22825397475762005,-0.22712792278288563,-0.2266585453304958,-0.22618938244810738,-0.22610053051161783
AMD,-0.11193169222871086,-0.1145672453077598,-0.11763504998538865,-0.11957447089098683,-0.122595680413913,-0.12442594713543537,-0.1257139468839153,-0.12747953902689535,-0.12955560354198775,-0.13110334327477685,-0.1319992380415827,-0.13305715905701815,-0.1342682335710858,-0.13495078494049229,-0.13638274438286402,-0.13725309737544578,-0.1403642541551628,-0.142861966580886,-0.14620315210346646,-0.14932422193985406,-0.15269805139537712,-0.15699333321345443,-0.1615097259819464,-0.16699910447482164,-0.1726732472486514,-0.17808137194485985,-0.18465166862286447,-0.19064159358923505,-0.19736778238255248,-0.20451187563966733,-0.21153757240958732,-0.2178185660977227,-0.22421209497325423,-0.23061364642654403,-0.23560724025315494,-0.24216202175646817
TSM,-0.10838440480529005,-0.10729701380004059,-0.10589877815119003,-0.1040876140125857,-0.10303089014456668,-0.10195769955975115,-0.10051661290846875,-0.10073539801311582,-0.1013843797988207,-0.10274161998255354,-0.1048680432125137,-0.10744301475561241,-0.1109328869604807,-0.11426175380865755,-0.11790244194376387,-0.12272812598784877,-0.12862412033078402,-0.13427512254195317,-0.14048416543612363,-0.1472832887946609,-0.1547942053492904,-0.1630672939971506,-0.17131498043430665,-0.17902847158829133,-0.186487614388833,-0.1945859523182123,-0.2022099721136434,-0.211098445551557,-0.22023332709793275,-0.22857850289159676,-0.23772128500477957,-0.24722437312732665,-0.25461338767019503,-0.2644547020350767,-0.27347053586293146,-0.28258902120243945
META,-0.028802779212661722,-0.034629865247504055,-0.0416251923333224,-0.047348442465133644,-0.05375715194526548,-0.059443941475221584,-0.06489667345115174,-0.06935975761036156,-0.07414622371726487,-0.077007669349962,-0.08013083843853391,-0.08229705907898183,-0.08475666866701231,-0.08653436553644689,-0.089469124842256,-0.09031234558213652,-0.09200377401102794,-0.09317930454180512,-0.09470716597894868,-0.095551146361046,-0.09637711795736509,-0.09713958140601953,-0.0989956358377963,-0.10120416184480713,-0.10305064153016741,-0.10508967518076395,-0.10832843446518131,-0.11042754631513985,-0.11367546807515372,-0.11660021420612554,-0.11985231874501762,-0.12381900411431784,-0.12657395644111413,-0.12990708026500508,-0.13296612687877774,-0.13714916385192566
IBM,-0.0740386287947935,-0.07298489103146288,-0.07287542319741225,-0.07242322613044588,-0.07226696641384223,-0.07157322902485053,-0.07070217190118228,-0.07007220136479275,-0.0697999629911415,-0.06942014448926315,-0.06897840676413192,-0.06861688072599859,-0.06880392974806104,-0.06852723428621083,-0.06831784625485482,-0.06803079912698362,-0.06817469028298634,-0.06813858224659175,-0.0684872996528273,-0.06843090638362681,-0.06862118608975215,-0.06942957515983361,-0.07035627015045726,-0.07169455510949979,-0.0728553113019983,-0.07423634829152048,-0.07593182301174312,-0.0775093039679392,-0.07933623086757713,-0.08100862662463604,-0.08286399260932592,-0.08453419651470057,-0.08551506338857395,-0.0869799992048893,-0.08800315219499122,-0.08984722928109545
AVGO,0.03598115989152434,0.03171483294291727,0.027544109616777668,0.02370240840588944,0.0195450424178909,0.016283516010758947,0.013734955562516471,0.010137171644248766,0.005719228237541951,0.0011802150997167749,-0.0027601641795362286,-0.006826330472968267,-0.012087958427916823,-0.017046556748878505,-0.02281331742823317,-0.027325873960843072,-0.03355939739659408,-0.03918644860205517,-0.0457387822144123,-0.0509710001405983,-0.056391536806730425,-0.062007287511699594,-0.06663835586470174,-0.07095887279155705,-0.07509440219683228,-0.07896815828105774,-0.08293060610396491,-0.0864360109280875,-0.08932890676502425,-0.09298907358875319,-0.09610386345009742,-0.09909162500851026,-0.1014472501480379,-0.10280697392396909,-0.1040822866735508,-0.106895577754476
MU,-0.08463605520352574,-0.0794462324328668,-0.0748901782382625,-0.07003599055815307,-0.06559531014691777,-0.0614252877653893,-0.0571450325509395,-0.05349560880129378,-0.05010664040435092,-0.04734925556572839,-0.044357720491309205,-0.04162490996385115,-0.03964800574305716,-0.03753362787476239,-0.03565871940546528,-0.03371774467278671,-0.03220264126678751,-0.030294906265660837,-0.028510336414153736,-0.02693176217046722,-0.02503755377863287,-0.023886553940729527,-0.022606624284981003,-0.020739558557290205,-0.018634739265996125,-0.01660828071829945,-0.01457161121084738,-0.01254836438892687,-0.010782133510512382,-0.008526137675141099,-0.006622412972989988,-0.004759661993338993,-0.0023490597811451908,-0.0004741306073015039,0.0015399895350431403,0.0032315942196637915
