Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
MSFT,-0.30892330895313896,-0.310197319899189,-0.31180040745302473,-0.31406193480260375,-0.31615250513290916,-0.3188385658264618,-0.32142347255023274,-0.32450615742169175,-0.32636127832697837,-0.3292154491870635,-0.33158611290181866,-0.3338995558713604,-0.3363058046931096,-0.3392991197840118,-0.34200423575658656,-0.34446826281521437,-0.346203896303648,-0.347751910510102,-0.3491396239789495,-0.35127605802486517,-0.3525461878948619,-0.3540820721862544,-0.3551968008645485,-0.35529628463274565,-0.3549505599782773,-0.3550352516049853,-0.3542952286816273,-0.3544685475119381,-0.3550799841447476,-0.35526507125829476,-0.35565095355472975,-0.35656858296826444,-0.35716780038484164,-0.35855224821122456,-0.359700203669177,-0.36156764703409194
NVDA,-0.2536791021474582,-0.25797511908094084,-0.26112222824850695,-0.2637301175531623,-0.2683232819030197,-0.27243170455330296,-0.2756645639931615,-0.2789471356363874,-0.28325454577978826,-0.28824363997922225,-0.29094885882887317,-0.29399191247765194,-0.297284146568003,-0.3010037585506737,-0.3057041457669172,-0.30855716950076806,-0.31440850664952436,-0.31728250338368535,-0.3209530085563853,-0.3254045975370077,-0.32845898082271185,-0.33175890842256417,-0.3343388923909367,-0.3343075257141379,-0.334794878644464,-0.334464700178163,-0.33410160890094287,-0.33350552072855755,-0.3329070508102233,-0.33331300722724855,-0.33343686811603523,-0.33317122887952333,-0.33312939140382836,-0.3333364515480375,-0.33352390630554274,-0.33433798087837563
AMZN,-0.2642841073698841,-0.2645352564398976,-0.2647200323500172,-0.265617051932633,-0.26573988994409037,-0.2664634364684281,-0.26727982568173525,-0.26786957591524085,-0.26842779420746543,-0.27000253454814555,-0.2707171112034175,-0.2723413786569114,-0.27417231181266316,-0.27674439231334486,-0.2800804905987787,-0.28328007931437027,-0.2862690305350464,-0.28907852767069686,-0.2921110670465822,-0.2954700376526136,-0.29768534599434127,-0.2998026880712529,-0.30139644377739994,-0.3018150171409685,-0.3023864907713585,-0.303074158260894,-0.303088630946873,-0.3033246060878092,-0.3030872129624116,-0.3031014234815954,-0.3025470495500523,-0.30283338413639715,-0.3033224119875091,-0.3037021171777936,-0.3044982429447268,-0.3045504967347461
INTC,-0.18616414735382986,-0.18445689024614476,-0.18245262264248185,-0.17990476892734425,-0.1784593635421633,-0.1776730001153483,-0.17688749151758731,-0.1762144468711334,-0.17538433532163533,-0.17468959499775033,-0.17386942588136284,-0.17308167664011537,-0.17227324073631406,-0.17183418485783591,-0.17161133248603322,-0.17095142525263096,-0.1704391157018379,-0.16937694150766436,-0.16825003202573474,-0.16784086447131596,-0.16677913031325686,-0.16594941182827494,-0.16483504789105474,-0.16273710659620677,-0.16047130654543718,-0.15805600048018542,-0.1555707091612989,-0.15275864351633506,-0.15043534830112837,-0.1481096928549055,-0.1458388095391402,-0.14371977824291948,-0.14161285939431167,-0.13967854612560648,-0.13818623025311616,-0.13625330123052237
AMD,-0.03789306343391735,-0.04158235427629692,-0.0447596267879764,-0.047151244760540945,-0.05032871400007077,-0.05285271811058484,-0.05501177498273302,-0.0574073376621026,-0.059755640550846256,-0.061683198785513704,-0.06302083127745078,-0.06444027833101956,-0.06546430382302476,-0.06642355065428146,-0.0680648981280092,-0.06922229824846216,-0.07218956387217645,-0.07472338433429426,-0.07771585245063917,-0.08089331555622725,-0.08407686530562497,-0.08756375805362082,-0.09115345583148915,-0.09530454936532184,-0.09981793594665311,-0.10384502365333936,-0.10871984561112136,-0.11313228962129585,-0.11803155151497535,-0.12350324901503129,-0.1286735798002614,-0.13328436958302214,-0.13869703158468027,-0.14363364722165473,-0.14760408805816372,-0.15231479247537272
TSM,-0.03434577601049654,-0.0343121227685777,-0.033023354953777784,-0.03166438788213982,-0.030763923730724452,-0.03038447053490062,-0.029814441007286474,-0.030663196648323066,-0.031584416807679205,-0.0333214754932904,-0.03588963644838178,-0.038826134029613824,-0.04212895721241966,-0.045734519522446726,-0.04958459568890905,-0.05469732686086515,-0.06044943004779768,-0.06613654029536142,-0.07199686578329634,-0.0788523824110341,-0.08617301925953824,-0.09363771883731697,-0.1009587102838494,-0.10733391647879154,-0.1136323030868347,-0.12034960402669181,-0.12627814910190027,-0.1335891415836178,-0.14089709623035562,-0.14756987626696072,-0.15485729239545365,-0.16269017661262608,-0.16909832428162108,-0.1774747028301874,-0.18546738366794024,-0.192741791921344
META,0.04523584958213178,0.03835502578395883,0.031250230864089845,0.02507478366531224,0.018509814468576746,0.012129287549628942,0.005805498450030533,0.0007124437544311912,-0.004346260726123374,-0.007587524860698858,-0.011152431674401997,-0.013680178352983241,-0.01595273891895127,-0.018007131250236064,-0.02115127858740118,-0.0222815464551529,-0.0238290837280416,-0.02504072229521337,-0.026219866326121388,-0.02712023997741919,-0.027755931867612937,-0.027710006246185914,-0.028639365687339047,-0.029509606735307337,-0.030195330228169115,-0.03085332688924347,-0.032396611453438195,-0.032918242347200644,-0.03433923720757659,-0.0355915875814895,-0.036988326135691696,-0.03928480759961728,-0.04105889305254018,-0.04292708106011578,-0.044962974683786516,-0.047301934570830206
AVGO,0.11001978868631784,0.10469972397438015,0.10041953281418992,0.09612563453633532,0.09181200883173313,0.08785674503560947,0.08443712746369875,0.08020937300904152,0.07551919122868345,0.07060035958897992,0.06621824258459569,0.06179055025303032,0.05671597132014422,0.05148067753733232,0.04550452882662165,0.04070492516614055,0.03461529288639226,0.028952133644536582,0.022748517438414995,0.01745990624302851,0.012229649283021726,0.007422287648134018,0.003717914285755519,0.000735682317942743,-0.002239090894833984,-0.004731809989537261,-0.006998783092221794,-0.0089267069601483,-0.009992675897447123,-0.011980446964117153,-0.013239870840771495,-0.014557428493809699,-0.01593218675946395,-0.01582697471907979,-0.016079134478559576,-0.017048348473380548
MU,-0.010597426408732236,-0.0064613414014039194,-0.002014755040850247,0.002387235572292812,0.006671656266924453,0.010147941259461224,0.013557139350242775,0.01657659256349897,0.019693322586790574,0.02207088892353476,0.02462068627282271,0.026991970762147433,0.029155924005003886,0.030993606411448438,0.03265912684938954,0.03431305445419691,0.035972049016198826,0.03784367598093091,0.03997696323867356,0.04149914421315959,0.04358363231111928,0.045543021219104085,0.04774964586547625,0.050954996552209586,0.05422057203600217,0.05762806757322103,0.061360211800895736,0.06496093957901233,0.06855409735706475,0.07248248894949494,0.07624157963633593,0.07977453452136157,0.08316600360742876,0.0865058685975878,0.08954314173003436,0.09307882350075924
GOOGL,0.0740386287947935,0.07298489103146288,0.07287542319741225,0.07242322613044588,0.07226696641384223,0.07157322902485053,0.07070217190118228,0.07007220136479275,0.0697999629911415,0.06942014448926315,0.06897840676413192,0.06861688072599859,0.06880392974806104,0.06852723428621083,0.06831784625485482,0.06803079912698362,0.06817469028298634,0.06813858224659175,0.0684872996528273,0.06843090638362681,0.06862118608975215,0.06942957515983361,0.07035627015045726,0.07169455510949979,0.0728553113019983,0.07423634829152048,0.07593182301174312,0.0775093039679392,0.07933623086757713,0.08100862662463604,0.08286399260932592,0.08453419651470057,0.08551506338857395,0.0869799992048893,0.08800315219499122,0.08984722928109545
