Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
MSFT,-0.12275916159930911,-0.12574042965304422,-0.12934778481054288,-0.1341571658752595,-0.13769314159074586,-0.1411655657111135,-0.14453598103264542,-0.14829171055055834,-0.15097694300534303,-0.1545258541893132,-0.15771668702045583,-0.16081787923124502,-0.16403256395679555,-0.16746493492617587,-0.17039290327055334,-0.1735168375625834,-0.1757647806018101,-0.17837496900243766,-0.18088959195321475,-0.1834351935535492,-0.18576705758160506,-0.1881326603579795,-0.19036175297349378,-0.19255917803653888,-0.19447925343284012,-0.19697925112479986,-0.19872451952032844,-0.20170990399560307,-0.20464463584361925,-0.20715537840338927,-0.20981214401558956,-0.21284880472534495,-0.21555494099052996,-0.21887370208561807,-0.22151397341606083,-0.22531434580356957
NVDA,-0.06751495479362835,-0.07351822883479608,-0.0786696056060251,-0.08382534862581803,-0.08986391836085639,-0.09475870443795464,-0.09877707247557421,-0.10273268876525399,-0.10787021045815293,-0.11355404498147192,-0.11707943294751033,-0.12091023583753657,-0.12501090583168895,-0.12916957369283777,-0.13409281328088396,-0.1376057442481371,-0.14396939094768646,-0.147905561876021,-0.15270297653065057,-0.1575637330656917,-0.161679850509455,-0.16580949659428923,-0.16950384449988198,-0.17157041911793114,-0.17432357209902682,-0.17640869969797757,-0.17853089973964398,-0.1807468772122225,-0.18247170250909495,-0.18520331437234305,-0.18759805857689504,-0.18945145063660385,-0.19151653200951668,-0.193657905422431,-0.19533767605242658,-0.19808467964785326
AMZN,-0.07811996001605426,-0.08007836619375286,-0.08226740970753532,-0.08571228300528877,-0.08728052640192707,-0.08879043635307982,-0.09039233416414794,-0.09165512904410744,-0.0930434588858301,-0.09531293955039521,-0.09684768532205468,-0.09925970201679601,-0.1018990710763491,-0.10491020745550894,-0.10846915811274549,-0.11232865406173931,-0.11582991483320848,-0.1197015861630325,-0.12386103502084744,-0.12762917318129763,-0.1309062156810844,-0.13385327624297794,-0.1365613958863452,-0.1390779105447617,-0.1419151842259213,-0.1450181577807086,-0.1475179217855741,-0.15056596257147414,-0.15265186466128322,-0.15499173062668992,-0.1567082400109121,-0.15911360589347767,-0.16170955259319741,-0.16402357105218712,-0.16631201269161067,-0.16829719550422373
AMD,0.1482710839199125,0.14287453596984784,0.13769299585450545,0.1327535241668033,0.12813064954209252,0.12482028200476347,0.1218757165348543,0.11880710920903081,0.11562869477078908,0.11300639621223663,0.11084859460391205,0.1086413983090958,0.1068089369132893,0.10541063420355445,0.10354643435802402,0.1017291270041688,0.09824955182966144,0.0946535571733701,0.09053417957509557,0.08694754891508871,0.08270226500763189,0.07838565377465412,0.07368159205956559,0.06743255723088493,0.06065337059878406,0.05421097682684606,0.046850863550177535,0.03962635389503921,0.032403796786153016,0.024606443839874204,0.017165229738878796,0.010435408659897338,0.0029158278096313994,-0.003955101096048241,-0.009417857805047558,-0.016061491244850346
TSM,0.1518183713433333,0.15014476747756705,0.14942926768870407,0.14824038104520443,0.14769543981143884,0.1472885295804477,0.14707305051030084,0.14555125022281035,0.14379991851395613,0.14136811950445993,0.13797978943298106,0.13425554261050154,0.1301442835238944,0.1260996653353892,0.12202673679712417,0.11625409839176581,0.10998968565404021,0.10324040121230293,0.0962531662424384,0.08898848206028187,0.08060611105371862,0.07231169299095797,0.06387633760720535,0.055403190117415235,0.04683900345860248,0.03770639645349361,0.02929256005939862,0.01916950193271727,0.009538252070772746,0.0005398165879447747,-0.009018482856313459,-0.018970398369706598,-0.027485464887309408,-0.03779615670458092,-0.047281153414824084,-0.056488490690821624
META,0.23139999693596164,0.22281191603010359,0.2137028535065717,0.2049795525926565,0.19696917801074004,0.18980228766497725,0.18269298996761785,0.1769268906255646,0.17103807459551196,0.16710207013705147,0.16271699420696084,0.15940149828713213,0.1563205018173628,0.15382705360759985,0.15046005389863204,0.14866987879747806,0.1466100319737963,0.144336219212451,0.14203016569961335,0.14072062449389677,0.13902319844564393,0.13823940558208903,0.1361956822037157,0.13322749986089943,0.13027597631726806,0.12720267359094195,0.1231740977078607,0.11984040116913441,0.11609611109355178,0.11251810527341599,0.1088504834034485,0.1044349706433022,0.1005539663417715,0.0967514650654907,0.09322325556932964,0.08895136665969217
IBM,0.18616414735382986,0.18445689024614476,0.18245262264248185,0.17990476892734425,0.1784593635421633,0.1776730001153483,0.17688749151758731,0.1762144468711334,0.17538433532163533,0.17468959499775033,0.17386942588136284,0.17308167664011537,0.17227324073631406,0.17183418485783591,0.17161133248603322,0.17095142525263096,0.1704391157018379,0.16937694150766436,0.16825003202573474,0.16784086447131596,0.16677913031325686,0.16594941182827494,0.16483504789105474,0.16273710659620677,0.16047130654543718,0.15805600048018542,0.1555707091612989,0.15275864351633506,0.15043534830112837,0.1481096928549055,0.1458388095391402,0.14371977824291948,0.14161285939431167,0.13967854612560648,0.13818623025311616,0.13625330123052237
AVGO,0.2961839360401477,0.2891566142205249,0.28287215545667177,0.2760304034636796,0.2702713723738964,0.2655297451509578,0.26132461898128606,0.25642381988017493,0.2509035265503188,0.24528995458673025,0.24008766846595853,0.23487222689314569,0.22898921205645828,0.22331486239516823,0.21711586131265487,0.2116563504187715,0.20505440858823015,0.19832907515220094,0.19099854946414974,0.18530077071434448,0.1790087795962786,0.17337169947640896,0.16855296217681026,0.1634727889141495,0.1582322156506032,0.15332419049064816,0.1485719260690771,0.14383193655618676,0.14044267240368125,0.13612924589078834,0.1325989386983687,0.12916234974910978,0.12568067263484772,0.1238515714065267,0.12210709577455658,0.11920495275714182
MU,0.17556672094509762,0.17799554884474084,0.1804378676016316,0.18229200449963706,0.18513101980908775,0.18782094137480954,0.1904446308678301,0.19279103943463238,0.1950776579084259,0.1967604839212851,0.19849011215418555,0.2000736474022628,0.20142916474131795,0.20282779126928435,0.20427045933542276,0.20526447970682787,0.20641116471803672,0.20722061748859527,0.2082269952644083,0.20934000868447555,0.21036276262437614,0.21149243304737902,0.212584693756531,0.21369210314841636,0.21469187858143934,0.21568406805340645,0.21693092096219463,0.2177195830953474,0.21898944565819312,0.22059218180440043,0.22208038917547612,0.22349431276428106,0.22477886300174044,0.22618441472319428,0.22772937198315052,0.22933212473128162
GOOGL,0.26020277614862336,0.25744178127760764,0.2553280458398941,0.25232799505779013,0.2507263299560055,0.24924622914019884,0.2475896634187696,0.24628664823592616,0.24518429831277683,0.24410973948701348,0.24284783264549475,0.24169855736611395,0.2410771704843751,0.24036141914404674,0.23992917874088804,0.23898222437961458,0.23861380598482423,0.2375155237542561,0.23673733167856204,0.23627177085494278,0.235400316403009,0.23537898698810855,0.235191318041512,0.23443166170570656,0.23332661784743547,0.2322923487717059,0.231502532173042,0.23026794748427426,0.2297715791687055,0.22911831947954153,0.2287028021484661,0.22825397475762005,0.22712792278288563,0.2266585453304958,0.22618938244810738,0.22610053051161783
