Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
MSFT,-0.6369660079798325,-0.6431023574992848,-0.6498361580936122,-0.6574905894710658,-0.6643535572282449,-0.6712380178182976,-0.6780224000290148,-0.6848483580470777,-0.6902231830747669,-0.6959894859658541,-0.7013778113612905,-0.706758564413754,-0.7117768782683779,-0.7170918928976139,-0.7216687307262495,-0.7263779616730329,-0.7298700878816669,-0.7337113497558939,-0.7373866973078778,-0.7412869095976712,-0.7448059161896878,-0.7483540122410823,-0.7518236374538225,-0.7553750357235307,-0.7586134686535188,-0.7624146167827948,-0.7655722446637392,-0.7698492346698096,-0.7744371739423995,-0.7789471336116054,-0.7835463192187822,-0.7884995272133541,-0.793114279654108,-0.7987950733462532,-0.8038267797494796,-0.8098843644790812
NVDA,-0.5817218011741517,-0.5908801566810367,-0.5991579788890944,-0.6071587722216243,-0.6165243339983554,-0.6248311565451388,-0.6322634914719436,-0.6392893362617733,-0.6471164505275768,-0.6550176767580128,-0.660740557288345,-0.6668509210200455,-0.6727552201432713,-0.6787965316642758,-0.6853686407365801,-0.6904668683585866,-0.6980746982275432,-0.7032419426294773,-0.7092000818853136,-0.7154154491098137,-0.7207187091175378,-0.7260308484773921,-0.7309657289802107,-0.734386276804923,-0.7384577873197055,-0.7418440653559725,-0.7453786248830547,-0.7488862078864291,-0.7522642406078752,-0.7569950695805592,-0.7613322337800876,-0.765102173124613,-0.7690758706730947,-0.7735792766830661,-0.7776504823858453,-0.7826546983233649
AMZN,-0.5923268063965776,-0.5974402940399934,-0.6027557829906046,-0.609045706601095,-0.6139409420394261,-0.6188628884602639,-0.6238787531605173,-0.6282117765406268,-0.632289698955254,-0.6367765713269361,-0.6405088096628894,-0.645200387199305,-0.6496433853879314,-0.654537165426947,-0.6597449855684416,-0.6651897781721888,-0.6699352221130652,-0.6750379669164888,-0.6803581403755105,-0.6854808892254196,-0.6899450742891671,-0.6940746281260808,-0.6980232803666739,-0.7018937682317535,-0.7060493994466,-0.7104535234387035,-0.7143656469289849,-0.7187052932456808,-0.7224444027600635,-0.726783485834906,-0.7304424152141047,-0.7347643283814869,-0.7392688912567754,-0.7439449423128223,-0.7486248190250294,-0.7528672141797355
INTC,-0.5142068463805234,-0.5173619278462406,-0.5204883732830693,-0.5233334235958063,-0.526660415637499,-0.5300724521071841,-0.5334864189963694,-0.5365566474965193,-0.5392462400694239,-0.5414636317765409,-0.5436611243408347,-0.5459406851825089,-0.5477443143115823,-0.549626957971438,-0.5512758274556961,-0.5528611241104495,-0.5541053072798567,-0.5553363807534563,-0.556497105354663,-0.557851716044122,-0.5590388586080828,-0.5602213518831028,-0.5614618844803287,-0.5628158576869918,-0.5641342152206786,-0.5654353656579949,-0.5668477251434108,-0.5681393306742066,-0.5697925380987803,-0.5717917552082161,-0.5737341752031926,-0.5756507224880092,-0.577559338663578,-0.5799213712606351,-0.5823128063334188,-0.5845700186755116
AMD,-0.3659357624606108,-0.37448739187639274,-0.3827953774285639,-0.3905798994290029,-0.39852976609540647,-0.40525217010242065,-0.4116107024615151,-0.4177495382874885,-0.4236175452986348,-0.4284572355643042,-0.4328125297369227,-0.43729928687341313,-0.44093537739829297,-0.44421632376788356,-0.44772939309767207,-0.45113199710628066,-0.45585575545019535,-0.46068282358008616,-0.46596292577956744,-0.4709041671290333,-0.47633659360045083,-0.48183569810844873,-0.4877802924207632,-0.4953833004561069,-0.5034808446218946,-0.5112243888311488,-0.5199968615932332,-0.5285129767791674,-0.5373887413126273,-0.5471853113683419,-0.5565689454643138,-0.5652153138281119,-0.5746435108539466,-0.5838764723566834,-0.5917306641384663,-0.6006315099203621
TSM,-0.36238847503719,-0.3672171603686735,-0.3710591055943653,-0.3750930425506018,-0.37896497582606015,-0.38278392252673643,-0.38641336848606855,-0.391005397273709,-0.3954463215554678,-0.4000955122720809,-0.4056813349078537,-0.4116851425720074,-0.41760003078768787,-0.4235272926360488,-0.4292490906585719,-0.43660702571868365,-0.4441156216258166,-0.4520959795411533,-0.4602439391122246,-0.46886323398384017,-0.4784327475543641,-0.4879096588921449,-0.49758554687312345,-0.5074126675695766,-0.5172952117620762,-0.5277289692045013,-0.5375551650840121,-0.5489698287414893,-0.5602542860280075,-0.5712519386202713,-0.582752658059506,-0.5946211208577158,-0.6050448035508874,-0.6177175279652161,-0.6295939597482428,-0.6410585093663332
META,-0.2828068494445617,-0.294550011816137,-0.30678551977649765,-0.3183538710031497,-0.329691237626759,-0.34027016444220687,-0.35079342902875155,-0.3596297568709548,-0.368208165473912,-0.37436156163948936,-0.3809441301338739,-0.3865391868953768,-0.3914238124942195,-0.39579990436383816,-0.40081577355706405,-0.4041912453129714,-0.4074952753060605,-0.41100016154100527,-0.41446693965504966,-0.41713109155022526,-0.4200156601624388,-0.4219819463010138,-0.4252662022766131,-0.4295883578260924,-0.4338582389034106,-0.43823269206705295,-0.44367362743555006,-0.44829892950507216,-0.4536964270052285,-0.45927364993480013,-0.4648836917997441,-0.471215751844707,-0.4770053723218065,-0.48316990619514444,-0.4890895507640891,-0.4956186520158195
IBM,-0.3280426990266935,-0.3329050376000958,-0.3380357506405875,-0.34342865466846195,-0.3482010520953357,-0.3523994519918358,-0.3565989274787821,-0.3603422006253859,-0.36386190474778857,-0.3667740367787905,-0.3697916984594719,-0.3728590085423936,-0.3754710735752682,-0.3777927731136021,-0.37966449496966287,-0.3819096988578185,-0.3836661915780189,-0.3859594392457919,-0.38824707332892827,-0.39001085157280607,-0.39225972829482586,-0.3942719400548279,-0.39662683658927406,-0.40007875109078506,-0.40366290867524146,-0.4073793651778095,-0.41127701598211186,-0.4153806871578715,-0.4193571897976519,-0.42368206235331063,-0.4278953656640524,-0.4319309442450897,-0.43594647926926633,-0.44024282513502866,-0.4441265760803026,-0.4483167174449893
AVGO,-0.21802291034037563,-0.22820531362571567,-0.23761621782639758,-0.24730302013212663,-0.25638904326360257,-0.26454270695622634,-0.27216180001508333,-0.2801328276163444,-0.2883427135191051,-0.2961736771898106,-0.3035734558748762,-0.31106845828936325,-0.318755102255124,-0.3263120955762698,-0.3341599661430412,-0.34120477369167795,-0.34905089869162664,-0.3570073056012553,-0.3654985558905133,-0.37255094532977756,-0.38003007901180413,-0.3868496524066939,-0.39290892230351854,-0.3993430687728423,-0.40590199957007544,-0.41211117516734674,-0.41827579907433365,-0.4243073941180198,-0.42934986569509903,-0.4356625093174278,-0.4411352365048239,-0.4464883727388994,-0.4518786660287303,-0.45606979985410845,-0.46020571055886217,-0.46536506591836985
MU,-0.3386401254354257,-0.33936637900149974,-0.34005050568143774,-0.34104141909616914,-0.34152939582841124,-0.3422515107323746,-0.3430417881285393,-0.34376560806188694,-0.344168582160998,-0.34470314785525574,-0.3451710121866492,-0.3458670377802462,-0.3463151495702643,-0.34679916670215366,-0.3470053681202733,-0.3475966444036216,-0.3476941425618201,-0.348115763264861,-0.3482701100902547,-0.3485117073596465,-0.3486760959837066,-0.34872891883572377,-0.3488771907237978,-0.34912375453857547,-0.3494423366392393,-0.34975129760458845,-0.34991680418121607,-0.3504197475788592,-0.35080309244058716,-0.3511995734038157,-0.35165378602771646,-0.35215640972372814,-0.35278047566183757,-0.35373695653744086,-0.3545834343502683,-0.35523789394423005
