Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
NVDA,0.05524420680568076,0.05222220081824813,0.05067817920451778,0.05033181724944147,0.04782922322988947,0.04640686127315885,0.04575890855707121,0.045559021785304354,0.04310673254719011,0.04097180920784127,0.040637254072945495,0.03990764339370845,0.039021658125106606,0.0382953612333381,0.03630008998966938,0.03591109331444631,0.03179538965412365,0.03046940712641666,0.028186615422564176,0.02587146048785749,0.024087207072150063,0.022323163763690257,0.020857908473611797,0.02098875891860774,0.02015568133381329,0.020570551426822292,0.020193619780684458,0.02096302678338058,0.022172933334524303,0.021952064031046215,0.02221408543869452,0.023397354088741107,0.02403840898101328,0.025215796663187073,0.02617629736363425,0.027229666155716314
AMZN,0.04463920158325485,0.04566206345929136,0.047080375103007555,0.04844488286997073,0.05041261518881879,0.05237512935803368,0.054143646868497486,0.0566365815064509,0.057933484119512935,0.05921291463891798,0.06086900169840115,0.061558177214449006,0.06213349288044645,0.06255472747066693,0.06192374515780785,0.061188183500844096,0.05993486576860163,0.05867338283940515,0.0570285569323673,0.055806020372251575,0.05486084190052065,0.05427938411500155,0.05380035708714859,0.053481267491777174,0.052564069206918806,0.05196109334409127,0.05120659773475433,0.051143941424128925,0.05199277118233603,0.05216364777669935,0.05310390400467746,0.05373519883186728,0.05384538839733255,0.05485013103343095,0.05520196072445016,0.05701715029934584
INTC,0.12275916159930911,0.12574042965304422,0.12934778481054288,0.1341571658752595,0.13769314159074586,0.1411655657111135,0.14453598103264542,0.14829171055055834,0.15097694300534303,0.1545258541893132,0.15771668702045583,0.16081787923124502,0.16403256395679555,0.16746493492617587,0.17039290327055334,0.1735168375625834,0.1757647806018101,0.17837496900243766,0.18088959195321475,0.1834351935535492,0.18576705758160506,0.1881326603579795,0.19036175297349378,0.19255917803653888,0.19447925343284012,0.19697925112479986,0.19872451952032844,0.20170990399560307,0.20464463584361925,0.20715537840338927,0.20981214401558956,0.21284880472534495,0.21555494099052996,0.21887370208561807,0.22151397341606083,0.22531434580356957
AMD,0.2710302455192216,0.26861496562289205,0.2670407806650483,0.2669106900420628,0.2658237911328384,0.26598584771587697,0.2664116975674997,0.26709881975958916,0.2666056377761321,0.2675322504015498,0.2685652816243679,0.2694592775403408,0.27084150087008485,0.2728755691297303,0.27393933762857736,0.2752459645667522,0.27401433243147155,0.27302852617580775,0.2714237715283103,0.2703827424686379,0.26846932258923695,0.2665183141326336,0.2640433450330594,0.2599917352674238,0.2551326240316242,0.2511902279516459,0.24557538307050597,0.24133625789064228,0.23704843262977227,0.23176182224326347,0.22697737375446836,0.2232842133852423,0.21847076880016136,0.21491860098956983,0.21209611561101327,0.20925285455871923
TSM,0.2745775329426424,0.27588519713061127,0.27877705249924695,0.2823975469204639,0.2853885814021847,0.2884540952915612,0.29160903154294626,0.2938429607733687,0.29477686151929916,0.2958939736937731,0.2956964764534369,0.29507342184174656,0.29417684748068995,0.29356460026156506,0.2924196400676775,0.2897709359543492,0.2857544662558503,0.2816153702147406,0.27714275819565315,0.2724236756138311,0.2663731686353237,0.26044435334893745,0.2542380905806991,0.24796236815395412,0.2413182568914426,0.23468564757829347,0.22801707957972706,0.22087940592832034,0.214182887914392,0.20769519499133404,0.2007936611592761,0.19387840635563836,0.18806947610322056,0.18107754538103715,0.17423282000123674,0.16882585511274795
META,0.35415915853527075,0.3485523456831478,0.3430506383171146,0.339136718467916,0.3346623196014859,0.33096785337609075,0.32722897100026327,0.32521860117612295,0.322015017600855,0.32162792432636467,0.32043368122741667,0.32021937751837715,0.32035306577415834,0.3212919885337757,0.3208529571691854,0.32218671636006146,0.3223748125756064,0.32271118821488864,0.3229197576528281,0.324155818047446,0.324790256027249,0.3263720659400685,0.3265574351772095,0.3257866778974383,0.3247552297501082,0.3241819247157418,0.32189861722818913,0.3215503051647375,0.32074074693717103,0.31967348367680526,0.31866262741903806,0.31728377536864716,0.31610890733230146,0.3156251671511088,0.31473722898539047,0.31426571246326174
IBM,0.30892330895313896,0.310197319899189,0.31180040745302473,0.31406193480260375,0.31615250513290916,0.3188385658264618,0.32142347255023274,0.32450615742169175,0.32636127832697837,0.3292154491870635,0.33158611290181866,0.3338995558713604,0.3363058046931096,0.3392991197840118,0.34200423575658656,0.34446826281521437,0.346203896303648,0.347751910510102,0.3491396239789495,0.35127605802486517,0.3525461878948619,0.3540820721862544,0.3551968008645485,0.35529628463274565,0.3549505599782773,0.3550352516049853,0.3542952286816273,0.3544685475119381,0.3550799841447476,0.35526507125829476,0.35565095355472975,0.35656858296826444,0.35716780038484164,0.35855224821122456,0.359700203669177,0.36156764703409194
AVGO,0.4189430976394568,0.4148970438735691,0.41221994026721465,0.4101875693389391,0.4079645139646423,0.4066953108620713,0.4058606000139315,0.4047155304307333,0.4018804695556618,0.39981580877604345,0.39780435548641435,0.3956901061243907,0.39302177601325383,0.3907797973213441,0.3875087645832082,0.3851731879813549,0.38081918919004026,0.3767040441546386,0.3718881414173645,0.3687359642678937,0.36477583717788364,0.36150435983438844,0.35891471515030404,0.3560319669506884,0.3527114690834433,0.350303441615448,0.34729644558940553,0.3455418405517898,0.3450873082473005,0.3432846242941776,0.34241108271395826,0.34201115447445474,0.3412356136253777,0.34272527349214477,0.3436210691906174,0.3445192985607114
MU,0.29832588254440673,0.30373597849778505,0.3097856524121745,0.31644917037489656,0.3228241613998336,0.32898650708592303,0.3349806119004755,0.3410827499851907,0.34605460091376894,0.3512863381105983,0.3562067991746414,0.3608915266335078,0.3654617286981135,0.3702927261954602,0.3746633626059761,0.3787813172694113,0.38217594531984683,0.3855955864910329,0.38911658721762304,0.39277520223802476,0.3961298202059812,0.3996250934053585,0.4029464467300248,0.40625128118495524,0.40917113201427946,0.4126633191782063,0.41565544048252306,0.41942948709095046,0.42363408150181237,0.4277475602077897,0.4318925331910657,0.436343117489626,0.4403338039922704,0.44505811680881235,0.44924334539921135,0.4546464705348512
GOOGL,0.38296193774793247,0.38318221093065186,0.384675830650437,0.38648516093304963,0.3884194715467514,0.39041179485131233,0.392125644451415,0.3945783587864845,0.39616124131811986,0.39863559367632667,0.4005645196659506,0.402516436597359,0.40510973444117065,0.4078263540702226,0.4103220820114414,0.412499061942198,0.41437858658663435,0.41589049275669376,0.4176269236317768,0.419706964408492,0.42116737398461407,0.42351164734608804,0.4255530710150058,0.42699083974224544,0.4278058712802756,0.42927159989650576,0.43022705169337044,0.43197785147987733,0.43441621501232475,0.4362736978829308,0.4385149461640557,0.441102779482965,0.4426828637734156,0.44553224741611386,0.4477033558641682,0.4514148763151874
