Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
MSFT,-0.38535986586833104,-0.3869311927768829,-0.38920965873100255,-0.3928125300466301,-0.39546867838196603,-0.3994958720503621,-0.4036022837135137,-0.40705661546979843,-0.40926064902371817,-0.41243625903979103,-0.41513443805673383,-0.41795302137878215,-0.42025126938668733,-0.42338920464808333,-0.4254322943315212,-0.4276034455090386,-0.427819842630797,-0.4290991654716654,-0.42970452621045485,-0.431021689624424,-0.43135349671859,-0.4320383020319288,-0.43182651146233997,-0.43181505768364903,-0.43090518484860296,-0.4307672783023584,-0.4295405245194739,-0.42938706362435153,-0.42899347325317333,-0.4290020019357234,-0.42896066542199435,-0.42914807468964106,-0.42945555970133364,-0.42999867487074667,-0.4309286773727873,-0.4312118728017562
NVDA,-0.3301156590626503,-0.3347089919586348,-0.33853147952648477,-0.3424807127971886,-0.34763945515207656,-0.3530890107772032,-0.3578433751564425,-0.3614975936844941,-0.36615391647652806,-0.37146444983194976,-0.37449718398378834,-0.3780453779850737,-0.3812296112615807,-0.38509384341474523,-0.3891322043418518,-0.3916923521945923,-0.3960244529766733,-0.3986297583452487,-0.4015179107878907,-0.4051502291365665,-0.40726628964643996,-0.4097151382682385,-0.41096860298872817,-0.4108262987650413,-0.41074950351478967,-0.4101967268755361,-0.40934690473878943,-0.40842403684097095,-0.406820539918649,-0.4070499379046772,-0.4067465799832998,-0.40575072060089995,-0.40541715072032036,-0.4047828782075596,-0.40475238000915303,-0.4039822066460399
AMZN,-0.3407206642850762,-0.34126912931759157,-0.342129283627995,-0.34436764717665935,-0.34505606319314724,-0.3471207426923284,-0.3494586368450162,-0.35042003396334753,-0.35132716490420524,-0.35322334440087305,-0.3542654363583327,-0.35639484416433315,-0.3581177765062409,-0.3608344771774164,-0.36350854917371334,-0.3664152620081945,-0.36788497686219535,-0.3704257826322602,-0.37267596927808755,-0.3752156692521724,-0.37649265481806937,-0.37775891791692723,-0.3780261543751914,-0.37833379019187185,-0.37834111564168416,-0.3788061849582671,-0.37833392678471955,-0.3782431222002226,-0.3770007020708373,-0.37683835415902406,-0.3758567614173169,-0.3754128758577738,-0.3756101713040011,-0.3751485438373157,-0.3757267166483371,-0.37419472250241037
INTC,-0.26260070426902193,-0.2611907631238387,-0.2598618739204597,-0.2586553641713706,-0.2577755367912202,-0.2583303063392486,-0.2590663026808683,-0.2587649049192401,-0.25828370601837514,-0.25791040485047784,-0.257417751036278,-0.25713514214753713,-0.2562187054298918,-0.25592426972190746,-0.25503939106096785,-0.2540866079464552,-0.25205506202898686,-0.2507241964692277,-0.2488149342572401,-0.2475864960708748,-0.24558643913698497,-0.2439056416739493,-0.2414647584888462,-0.23925587964711015,-0.23642593141576285,-0.23378802717755853,-0.23081600499914545,-0.22767715962874846,-0.22434883740955408,-0.22184662353233414,-0.21914852140640478,-0.2162992699642961,-0.21390061871080368,-0.2111249727851286,-0.20941470395672646,-0.20589752699818664
AMD,-0.11432962034910943,-0.11831622715399087,-0.12216887806595422,-0.12590184000456728,-0.12964488724912765,-0.1335100243344851,-0.13719058614601398,-0.13995779571020928,-0.14265501124758606,-0.1449040086382412,-0.14656915643236595,-0.14849374383844133,-0.14940976851660248,-0.150513635518353,-0.15149295670294383,-0.1523574809422864,-0.15380551019932542,-0.15607063929585763,-0.15828075468214453,-0.16063894715578608,-0.16288417412935308,-0.16551998789929517,-0.1677831664292806,-0.17182332241622522,-0.17577256081697878,-0.17957705035071247,-0.18396514144896792,-0.18805080573370925,-0.19194504062340106,-0.19724017969245994,-0.201983291667526,-0.20586386130439877,-0.21098479090117228,-0.21508007388117684,-0.218832561761774,-0.221959018243037
TSM,-0.11078233292568862,-0.11104599564627166,-0.1104326062317556,-0.11041498312616616,-0.11008009697978133,-0.11104177675880089,-0.11199325217056744,-0.11321365469642974,-0.11448378750441901,-0.1165422853460179,-0.11943796160329695,-0.12287959953703559,-0.12607442190599738,-0.12982460438651827,-0.13301265426384368,-0.1378325095546894,-0.14206537637494665,-0.1474837952569248,-0.1525617680148017,-0.15859801401059292,-0.16498032808326635,-0.17159394868299133,-0.17758842088164084,-0.1838526895296949,-0.18958692795716037,-0.19608163072406493,-0.20152344493974683,-0.2085076576960312,-0.21481058533878133,-0.22130680694438937,-0.22816700426271824,-0.2352696683340027,-0.2413860835981131,-0.24892112948970951,-0.25669585737155054,-0.26238601768900827
META,-0.031200707333060296,-0.038378847093735124,-0.046159020413887974,-0.053675811578714094,-0.06080635878048013,-0.06852801867427133,-0.07637331271325043,-0.08183801429367549,-0.08724563142286318,-0.09080833471342636,-0.09470075682931717,-0.097733643860405,-0.09989820361252899,-0.10209721611430761,-0.1045793371623358,-0.10541672914897715,-0.10544503005519057,-0.10638797725677673,-0.10678476855762675,-0.10686587157697802,-0.10656324069134104,-0.10566623609186027,-0.10526907628513049,-0.10602837978621071,-0.10614995509849479,-0.10658535358661658,-0.10764190729128476,-0.10783675845961405,-0.1082527263160023,-0.10932851825891815,-0.11029803800295629,-0.1118642993209939,-0.11334665236903219,-0.11437350771963789,-0.11619144838739681,-0.11694616033849448
IBM,-0.07643655691519208,-0.07673387287769395,-0.07740925127797782,-0.07875059524402633,-0.07931617324905688,-0.08065730622390027,-0.08217881116328096,-0.08255045804810668,-0.0828993706967398,-0.0832208098527275,-0.08354832515491517,-0.08405346550742177,-0.08394546469357772,-0.08409008486407155,-0.08342805857493463,-0.08313518269382425,-0.08161594632714897,-0.08134725496156336,-0.08056490223150536,-0.07974563159955883,-0.0788073088237281,-0.07795622984567435,-0.07662971059779145,-0.07651877305090338,-0.07595462487032567,-0.07573202669737311,-0.07524529583784656,-0.0749185161124134,-0.07391348910842571,-0.07373693067742865,-0.0733097118672646,-0.07257949172137662,-0.072287759316492,-0.07144642665952211,-0.0712284737036103,-0.06964422576766427
AVGO,0.033583231771125766,0.0279658510966862,0.023010281536212096,0.01737503929230899,0.012495835582676251,0.007199438811709202,0.002258316300417784,-0.0023410850390651605,-0.007380179468056358,-0.012620450263747585,-0.017330082570319483,-0.022262915254391447,-0.0272294933734335,-0.032609407326739226,-0.03792352974831298,-0.0424302575276837,-0.04700065344075671,-0.05239512131702678,-0.05781638479309037,-0.06228572535653032,-0.06657765954070638,-0.07053394219754033,-0.07291179631203593,-0.07578309073296063,-0.07819371576515965,-0.08046383668691037,-0.08224407893006835,-0.0838452230725617,-0.08390616500587283,-0.0857173776415458,-0.08654958270803609,-0.08713692021518632,-0.08821994607595596,-0.0872734013786019,-0.08730760818216987,-0.08669257424104482
MU,-0.08703398332392431,-0.08319521427909787,-0.07942400631882807,-0.07636335967173352,-0.07264451698213242,-0.07050936496443905,-0.06862167181303819,-0.06597386548460771,-0.06320604810994923,-0.06114992092919275,-0.05892763888209246,-0.05706149474527433,-0.054789540688573835,-0.05309647845262311,-0.050768931725545086,-0.04882212823962734,-0.04564389731095014,-0.04350357898063245,-0.04058793899283181,-0.03824648738639924,-0.035223676512608826,-0.03241320862657027,-0.02888006473231519,-0.02556377649869379,-0.021734052834323503,-0.01810395912415208,-0.013885084036950823,-0.009957576533401069,-0.005359391751360965,-0.0012544417279337083,0.002931867769071339,0.007195042799984952,0.010878244290936756,0.015059441938065687,0.018314668026424064,0.023434597733094975
