Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
MSFT,-0.05524420680568076,-0.05222220081824813,-0.05067817920451778,-0.05033181724944147,-0.04782922322988947,-0.04640686127315885,-0.04575890855707121,-0.045559021785304354,-0.04310673254719011,-0.04097180920784127,-0.040637254072945495,-0.03990764339370845,-0.039021658125106606,-0.0382953612333381,-0.03630008998966938,-0.03591109331444631,-0.03179538965412365,-0.03046940712641666,-0.028186615422564176,-0.02587146048785749,-0.024087207072150063,-0.022323163763690257,-0.020857908473611797,-0.02098875891860774,-0.02015568133381329,-0.020570551426822292,-0.020193619780684458,-0.02096302678338058,-0.022172933334524303,-0.021952064031046215,-0.02221408543869452,-0.023397354088741107,-0.02403840898101328,-0.025215796663187073,-0.02617629736363425,-0.027229666155716314
AMZN,-0.010605005222425912,-0.006560137358956775,-0.003597804101510227,-0.0018869343794707394,0.0025833919589293153,0.005968268084874828,0.008384738311426276,0.011077559721146546,0.014826751572322827,0.01824110543107671,0.020231747625455654,0.02165053382074056,0.023111834755339844,0.024259366237328828,0.02562365516813847,0.025277090186397788,0.02813947611447798,0.028203975712988494,0.028841941509803126,0.029934559884394085,0.03077363482837059,0.03195622035131129,0.03294244861353679,0.03249250857316943,0.032408387873105515,0.03139054191726898,0.031012977954069876,0.030180914640748346,0.029819837847811725,0.030211583745653137,0.03088981856598294,0.030337844743126174,0.029806979416319268,0.029634334370243876,0.029025663360815912,0.029787484143629528
INTC,0.06751495479362835,0.07351822883479608,0.0786696056060251,0.08382534862581803,0.08986391836085639,0.09475870443795464,0.09877707247557421,0.10273268876525399,0.10787021045815293,0.11355404498147192,0.11707943294751033,0.12091023583753657,0.12501090583168895,0.12916957369283777,0.13409281328088396,0.1376057442481371,0.14396939094768646,0.147905561876021,0.15270297653065057,0.1575637330656917,0.161679850509455,0.16580949659428923,0.16950384449988198,0.17157041911793114,0.17432357209902682,0.17640869969797757,0.17853089973964398,0.1807468772122225,0.18247170250909495,0.18520331437234305,0.18759805857689504,0.18945145063660385,0.19151653200951668,0.193657905422431,0.19533767605242658,0.19808467964785326
AMD,0.21578603871354085,0.21639276480464392,0.21636260146053055,0.21657887279262134,0.2179945679029489,0.21957898644271812,0.2206527890104285,0.2215397979742848,0.223498905228942,0.22656044119370855,0.22792802755142239,0.22955163414663238,0.23181984274497824,0.23458020789639222,0.23763924763890798,0.2393348712523059,0.2422189427773479,0.2425591190493911,0.24323715610574614,0.24451128198078043,0.24438211551708688,0.24419515036894335,0.24318543655944758,0.23900297634881607,0.2349769426978109,0.23061967652482362,0.2253817632898215,0.2203732311072617,0.21487549929524796,0.20980975821221726,0.20476328831577384,0.19988685929650118,0.19443235981914808,0.18970280432638276,0.18591981824737902,0.1820231884030029
TSM,0.21933332613696166,0.22366299631236314,0.22809887329472917,0.23206572967102246,0.23755935817229523,0.24204723401840234,0.24585012298587505,0.24828393898806433,0.25167012897210905,0.25492216448593186,0.2550592223804914,0.2551657784480381,0.25515518935558335,0.25526923902822696,0.25611955007800813,0.2538598426399029,0.2539590766017267,0.25114596308832393,0.24895614277308897,0.24655221512597358,0.2422859615631736,0.2381211895852472,0.23338018210708733,0.22697360923534637,0.2211625755576293,0.21411509615147117,0.2078234597990426,0.19991637914493976,0.1920099545798677,0.18574313096028783,0.17857957572058158,0.17048105226689725,0.16403106712220727,0.15586174871785008,0.1480565226376025,0.14159618895703163
META,0.29891495172959,0.29633014486489967,0.2923724591125968,0.2888049012184745,0.28683309637159643,0.2845609921029319,0.28147006244319206,0.2796595793908186,0.2789082850536649,0.2806561151185234,0.2797964271544712,0.2803117341246687,0.28133140764905173,0.2829966273004376,0.284552867179516,0.28627562304561516,0.29057942292148276,0.292241781088472,0.2947331422302639,0.2982843575595885,0.3007030489550989,0.30404890217637826,0.3056995267035977,0.3047979189788306,0.3045995484162949,0.3036113732889195,0.3017049974475047,0.3005872783813569,0.2985678136026467,0.29772141964575904,0.29644854198034354,0.29388642127990605,0.2920704983512882,0.2904093704879217,0.2885609316217562,0.2870360463075454
IBM,0.2536791021474582,0.25797511908094084,0.26112222824850695,0.2637301175531623,0.2683232819030197,0.27243170455330296,0.2756645639931615,0.2789471356363874,0.28325454577978826,0.28824363997922225,0.29094885882887317,0.29399191247765194,0.297284146568003,0.3010037585506737,0.3057041457669172,0.30855716950076806,0.31440850664952436,0.31728250338368535,0.3209530085563853,0.3254045975370077,0.32845898082271185,0.33175890842256417,0.3343388923909367,0.3343075257141379,0.334794878644464,0.334464700178163,0.33410160890094287,0.33350552072855755,0.3329070508102233,0.33331300722724855,0.33343686811603523,0.33317122887952333,0.33312939140382836,0.3333364515480375,0.33352390630554274,0.33433798087837563
AVGO,0.36369889083377605,0.362674843055321,0.36154176106269686,0.3598557520894976,0.3601352907347528,0.36028844958891243,0.3601016914568603,0.3591565086454289,0.3587737370084717,0.3588439995682022,0.35716710141346886,0.35578246273068226,0.3540001178881472,0.352484436088006,0.3512086745935388,0.3492620946669086,0.3490237995359166,0.34623463702822194,0.3437015259948003,0.3428645037800362,0.3406886301057336,0.3391811960706982,0.33805680667669225,0.33504320803208065,0.33255578774963,0.3297328901886257,0.3271028258087211,0.32457881376840925,0.3229143749127762,0.3213325602631314,0.32019699727526374,0.31861380038571363,0.3171972046443644,0.3175094768289577,0.31744477182698316,0.3172896324049951
MU,0.24308167573872597,0.2515137776795369,0.2591074732076567,0.2661173531254551,0.27499493816994414,0.2825796458127642,0.2892217033434043,0.29552372819988637,0.30294786836657883,0.310314528902757,0.3155695451016959,0.3209838832397994,0.3264400705730069,0.3319973649621221,0.3383632726163067,0.34287022395496497,0.3503805556657232,0.35512617936461627,0.36092997179505887,0.36690374175016727,0.37204261313383113,0.37730192964166825,0.382088538256413,0.3852625222663475,0.38901545068046617,0.392092767751384,0.3954618207018386,0.3984664603075699,0.40146114816728806,0.4057954961767435,0.40967844775237117,0.4129457634008849,0.4162953950112571,0.4198423201456253,0.4230670480355771,0.4274168043791349
GOOGL,0.3277177309422517,0.3309600101124037,0.3339976514459192,0.33615334368360816,0.3405902483168619,0.3440049335781535,0.3463667358943438,0.34901933700118015,0.35305450877092975,0.3576637844684854,0.3599272655930051,0.3626087932036505,0.36608807631606405,0.3695309928368845,0.374021992021772,0.3765879686277517,0.3825831969325107,0.3854210856302771,0.3894403082092126,0.3938355039206345,0.397080166912464,0.4011884835823978,0.404695162541394,0.4060020808236377,0.4076501899464623,0.40870104846968347,0.410033431912686,0.41101482469649675,0.41224328167780044,0.4143216338518846,0.41630086072536115,0.4177054253942239,0.4186444547924023,0.4203164507529268,0.42152705850053396,0.4241852101594711
NOW,0.3301156590626503,0.3347089919586348,0.33853147952648477,0.3424807127971886,0.34763945515207656,0.3530890107772032,0.3578433751564425,0.3614975936844941,0.36615391647652806,0.37146444983194976,0.37449718398378834,0.3780453779850737,0.3812296112615807,0.38509384341474523,0.3891322043418518,0.3916923521945923,0.3960244529766733,0.3986297583452487,0.4015179107878907,0.4051502291365665,0.40726628964643996,0.4097151382682385,0.41096860298872817,0.4108262987650413,0.41074950351478967,0.4101967268755361,0.40934690473878943,0.40842403684097095,0.406820539918649,0.4070499379046772,0.4067465799832998,0.40575072060089995,0.40541715072032036,0.4047828782075596,0.40475238000915303,0.4039822066460399
SAP,0.3227766664716746,0.3296961324141473,0.3356534514794655,0.3409808159951756,0.34756542778148936,0.3529459765930695,0.3571616515737702,0.3614012878059816,0.3667014626213101,0.3719760055361794,0.37534437832765116,0.3788186184094075,0.38248316755523837,0.38576536000894945,0.3898933972614405,0.39220872022997094,0.3975090610100563,0.40012958573196167,0.40357608580432236,0.4069597424244952,0.40985976198887475,0.4126957560465932,0.4152122159679036,0.4161998087558283,0.41784922187691753,0.418478433338908,0.4196923398823241,0.42059953375791925,0.42122360858479535,0.42294961776163453,0.4245065686662539,0.4256365426779073,0.42673629948623776,0.42801989853307026,0.428852141656511,0.4307053690463434
CRM,0.35066219408488286,0.3537893424313502,0.35582406910300646,0.35812188607566997,0.36231543219710366,0.3657906657027552,0.36858018124041564,0.3717933928377861,0.3757098262798872,0.38077027484321413,0.38412624783132193,0.3877147843632962,0.39141668621379166,0.39533444774394066,0.3992923416026572,0.4022137737387173,0.40707570127166554,0.4089079045053795,0.41096119230702643,0.41361330127588863,0.4156442265355095,0.4175554127106131,0.41865951855231864,0.4179227977412393,0.41716458292998493,0.4160125731540931,0.4143663720115889,0.41314062195993645,0.41127548769522204,0.4105895642685091,0.40949670086472556,0.4081783877536302,0.40612329667396163,0.4049793011446054,0.4045844463444944,0.4039537366571838
QCOM,0.30215582061396395,0.31201883254346124,0.3208354597072061,0.32928431411458176,0.3390682367830092,0.3475731238447634,0.35513791276038065,0.3621697113569778,0.370048354044033,0.37792097559037274,0.3837644562197374,0.3894693544764354,0.3952062151824496,0.4009440588862414,0.4074479490271869,0.4121016130775129,0.41949323036886577,0.42458120477730754,0.43038145176447123,0.4361099080093777,0.4410421447059726,0.4455231076997476,0.4499646703314455,0.4528843061161907,0.4562317315250397,0.458769340668144,0.4613889414966168,0.4637827271621995,0.46586913228345705,0.4686471301110162,0.471300816041233,0.4734848331800782,0.4757841719223645,0.4781226000131319,0.4797848017418082,0.4829260765128662
AAPL,0.33201199411207405,0.33924907230103657,0.3454470287544449,0.3511251747116816,0.35841110694522804,0.36466456952167065,0.370078736041475,0.37523270011262444,0.381282654672295,0.38742027930754086,0.39154266787632747,0.39586393730649305,0.40027326014678,0.40474146944341116,0.4099837214622482,0.41350360036049233,0.4200421905036887,0.42410234074816056,0.42892940116837924,0.43415559911023116,0.4385712331746777,0.4430839005919576,0.447198333944,0.4497044218915586,0.4526418163475428,0.45474899177835604,0.4571632835420793,0.4592840459291999,0.4614358981922161,0.46483221923590734,0.46801389821034467,0.4706025580880019,0.47337169733981377,0.4765063758800213,0.4792120091910478,0.48283741951181314
