Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
MSFT,-0.527928885117613,-0.5229168445065152,-0.519120437636849,-0.5153796283104602,-0.5125667411341941,-0.5109938773144412,-0.5092996538046779,-0.5083013425002817,-0.5069566227546771,-0.5069842333975078,-0.5059056769383634,-0.505906173079941,-0.506001388239746,-0.506976125386875,-0.5073482465566617,-0.507891078707388,-0.5081093929655185,-0.5079749613741633,-0.5077605189482204,-0.508751712112669,-0.5084056218168769,-0.509250942319128,-0.5092230125415564,-0.5080735577774265,-0.5067841499893682,-0.5059202945066075,-0.5042530396737596,-0.5030274799938774,-0.5022383118679221,-0.5016729421426886,-0.5012260464504297,-0.499974744259947,-0.498756566690292,-0.49892663575263185,-0.49897547075690923,-0.4994866387266387
NVDA,-0.4726846783119323,-0.4706946436882671,-0.4684422584323313,-0.4650478110610188,-0.4647375179043046,-0.4645870160412824,-0.46354074524760674,-0.46274232071497734,-0.463849890207487,-0.4660124241896665,-0.46526842286541786,-0.4659985296862326,-0.4669797301146395,-0.4686807641535368,-0.4710481565669922,-0.4719799853929418,-0.4763140033113949,-0.47750555424774666,-0.47957390352565615,-0.4828802516248115,-0.48431841474472676,-0.48692777855543773,-0.48836510406794464,-0.4870847988588187,-0.48662846865555487,-0.48534974307978523,-0.4840594198930751,-0.4820644532104969,-0.48006537853339776,-0.4797208781116424,-0.4790119610117351,-0.4765773901712059,-0.4747181577092787,-0.4737108390894448,-0.472799173393275,-0.47225697257092236
AMZN,-0.4832896835343582,-0.47725478104722385,-0.4720400625338415,-0.4669347454404895,-0.4621541259453753,-0.45861874795640756,-0.45515600693618047,-0.4516647609938308,-0.4490231386351642,-0.4477713187585898,-0.4450366752399622,-0.44434799586549206,-0.44386789535929966,-0.444421397916208,-0.44542450139885376,-0.446702895206544,-0.4481745271969169,-0.44930157853475816,-0.450731962015853,-0.45294569174041743,-0.45354477991635617,-0.45497155820412644,-0.45542265545440785,-0.4545922902856493,-0.45422008078244935,-0.45395920116251626,-0.45304644193900523,-0.45188353856974856,-0.45024554068558603,-0.44950929436598924,-0.44812214244575216,-0.4462395454280797,-0.44491117829295945,-0.4440765047192009,-0.4437735100324591,-0.44246948842729283
INTC,-0.40516972351830394,-0.397176414853471,-0.3897726528263062,-0.38122246243520075,-0.37487359954344823,-0.36982831160332774,-0.36476367277203253,-0.36000963194972335,-0.3559796797493341,-0.35245837920819456,-0.34818898991790753,-0.34508829384869605,-0.34196882428295056,-0.33951119046069905,-0.33695534328610827,-0.3343742411448047,-0.33234461236370844,-0.32959999237172566,-0.3268709269950056,-0.3253165185591198,-0.32263856423527176,-0.3211182819611485,-0.31886125956806266,-0.3155143797408876,-0.31230489655652804,-0.30894104338180767,-0.3055285201534311,-0.3013175759982744,-0.2975936760243028,-0.2945175637392993,-0.29141390243484006,-0.287125939534602,-0.28320162569976204,-0.2800529336670138,-0.2774614973408484,-0.2741722929230691
AMD,-0.25689863959839143,-0.2543018788836231,-0.25207965697180074,-0.24846893826839744,-0.2467429500013557,-0.24500802959856427,-0.24288795623717824,-0.24120252274069254,-0.240350984978545,-0.23945198299595793,-0.23734039531399548,-0.23644689553960024,-0.23515988736966126,-0.2341005562571446,-0.23340890892808425,-0.23264511414063588,-0.234095060534047,-0.23494643519835556,-0.23633674741991,-0.2383689696440311,-0.23993629922763987,-0.24273262818649438,-0.24517966750849707,-0.24808182251000266,-0.251651525957744,-0.2547300665549616,-0.2586776566032536,-0.2616912221032352,-0.2651898792381498,-0.2699111198994251,-0.27424867269596126,-0.2766905308747047,-0.28028579789013064,-0.284008034763062,-0.28687935514589596,-0.29023378416791945
TSM,-0.2533513521749706,-0.2470316473759039,-0.24034338513760212,-0.23298208138999632,-0.2271781597320094,-0.22253978202288005,-0.2176906222617317,-0.214458381726913,-0.21217976123537796,-0.21109025970373463,-0.21020920048492647,-0.2108327512381945,-0.21182454075905616,-0.21341152512530986,-0.2149286064889841,-0.21812014275303887,-0.22235492670966822,-0.22635959115942272,-0.23061776075256718,-0.23632803649883793,-0.24203245318155314,-0.24880658897019053,-0.2549849219608573,-0.26011118962347235,-0.26546589309792556,-0.27123464692831406,-0.2762359600940325,-0.28214807406555714,-0.28805542395353007,-0.29397774715135455,-0.3004323852911535,-0.3060963379043086,-0.31068709058707145,-0.3178490903715947,-0.3247426507556725,-0.33066078361389073
META,-0.17376972658234227,-0.17436449882336738,-0.1760697993197345,-0.17624290984254426,-0.1779044215327082,-0.1800260239383505,-0.18207068280441469,-0.18308274132415875,-0.18494160515382213,-0.1853563090711431,-0.1854719957109467,-0.18568679556156392,-0.18564832246558777,-0.1856841368530992,-0.18649528938747623,-0.18570436234732662,-0.18573458038991214,-0.18526377315927467,-0.18484076129539223,-0.18459589406522303,-0.18361536578962784,-0.18287887637905947,-0.18266557736434696,-0.18228687987998815,-0.18202892023925998,-0.18173836979086572,-0.18235442244557043,-0.18147717482914,-0.18149756493075103,-0.18199945846588333,-0.18256341903139156,-0.18269096889129982,-0.18264765935799054,-0.18330146860152308,-0.18423824177151876,-0.18522092626337694
IBM,-0.21900557616447405,-0.2127195246073262,-0.20732003018382433,-0.2013176935078565,-0.19641423600128494,-0.19215531148797943,-0.18787618125444522,-0.18379518507858994,-0.18059534442769876,-0.17776878421044423,-0.1743195640365447,-0.17200661720858068,-0.1696955835466365,-0.16767700560286314,-0.16534401080007505,-0.16342281589217372,-0.16190549666187054,-0.1602230508640613,-0.15862089496927084,-0.15747565408780384,-0.1558594339220149,-0.15516887013287356,-0.15402621167700792,-0.15277727314468081,-0.15183359001109087,-0.15088504290162225,-0.14995781099213223,-0.14855893248193935,-0.14715832772317444,-0.14640787088439383,-0.14557509289569986,-0.14340616129168254,-0.14158876630545036,-0.1403743875414073,-0.13927526708773225,-0.13791899169254673
AVGO,-0.10898578747815621,-0.10801980063294606,-0.10690049736963442,-0.10519205897152117,-0.10460222716955181,-0.10429856645236996,-0.10343905379074647,-0.10358581206954842,-0.10507615319901531,-0.10716842462146431,-0.108101321451949,-0.11021606695555036,-0.11297961222649228,-0.11619632806553082,-0.1198394819734534,-0.12271789072603317,-0.12729020377547828,-0.13127091721952472,-0.13587237753085585,-0.14001574784477533,-0.14362978463899317,-0.14774658248473954,-0.1503082973912524,-0.15204159082673807,-0.15407268090592485,-0.1556168528911595,-0.15695659408435403,-0.15748563944208765,-0.15715100362062157,-0.15838831784851098,-0.15881496373647136,-0.15796358978549224,-0.15752095306491432,-0.1562013622604871,-0.15535440156629182,-0.15496734016592728
MU,-0.2296030025732063,-0.21918086600873013,-0.20933478522467458,-0.1989304579355637,-0.18974257973436048,-0.1820073702285182,-0.17431904190420244,-0.16721859251509097,-0.16090202184090818,-0.15569789528690947,-0.14969887776372198,-0.14501464644643325,-0.1405396595416326,-0.1366833991914147,-0.1326848839506855,-0.1291097614379768,-0.12593344764567171,-0.12237937488313039,-0.11864393173059729,-0.11597650987464425,-0.11227580161089562,-0.10962584891376947,-0.10627656581153166,-0.10182227659247123,-0.0976130179750887,-0.09325697532840121,-0.0885975991912365,-0.08359799290292702,-0.0786042303661097,-0.07392538193489889,-0.06933351325936393,-0.06363162677032097,-0.0584227626980216,-0.0538685189438195,-0.04973212535769789,-0.04484016819178749
