Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
MSFT,-0.3574000274196447,-0.3642410333617094,-0.3715136389117239,-0.3796161313640232,-0.38689746001289865,-0.39397998511792226,-0.40089682131745186,-0.40772873314228214,-0.41315508659122313,-0.418892784798214,-0.4244017102926829,-0.42937699787014383,-0.4342278733075562,-0.4392394201195795,-0.4437480390168563,-0.4480127063919592,-0.4512886200229894,-0.4550506119037242,-0.4585680671870354,-0.4619813684972352,-0.46512935177812265,-0.4678462714634379,-0.4708225788050573,-0.4738730650347984,-0.476387412858853,-0.4793398920949663,-0.48158256127730126,-0.48474575394558006,-0.48804206561798136,-0.49059919414206243,-0.4935149014799275,-0.49688218726881933,-0.4998225809033778,-0.503338396676319,-0.5059610991054424,-0.5101557426685825
NVDA,-0.30215582061396395,-0.31201883254346124,-0.3208354597072061,-0.32928431411458176,-0.3390682367830092,-0.3475731238447634,-0.35513791276038065,-0.3621697113569778,-0.370048354044033,-0.37792097559037274,-0.3837644562197374,-0.3894693544764354,-0.3952062151824496,-0.4009440588862414,-0.4074479490271869,-0.4121016130775129,-0.41949323036886577,-0.42458120477730754,-0.43038145176447123,-0.4361099080093777,-0.4410421447059726,-0.4455231076997476,-0.4499646703314455,-0.4528843061161907,-0.4562317315250397,-0.458769340668144,-0.4613889414966168,-0.4637827271621995,-0.46586913228345705,-0.4686471301110162,-0.471300816041233,-0.4734848331800782,-0.4757841719223645,-0.4781226000131319,-0.4797848017418082,-0.4829260765128662
AMZN,-0.31276082583638987,-0.318578969902418,-0.32443326380871634,-0.3311712484940525,-0.33648484482407987,-0.3416048557598886,-0.34675317444895437,-0.35109215163583124,-0.3552216024717102,-0.35967987015929603,-0.3635327085942818,-0.3678188206556948,-0.37209438042710974,-0.3766846926489126,-0.3818242938590484,-0.38682452289111513,-0.3913537542543878,-0.39637722906431905,-0.4015395102546681,-0.4061753481249836,-0.410268509877602,-0.41356688734843633,-0.4170222217179087,-0.42039179754302125,-0.4238233436519342,-0.42737879875087503,-0.4303759635425469,-0.43360181252145114,-0.43604929443564533,-0.4384355463653631,-0.44041099747525003,-0.44314698843695205,-0.44597719250604523,-0.448488265642888,-0.4507591383809923,-0.45313859236923665
INTC,-0.2346408658203356,-0.23850060370866516,-0.24216585410118102,-0.24545896548876373,-0.2492043184221528,-0.25281441940680877,-0.25636084028480643,-0.2594370225917238,-0.2621781435858801,-0.2643669306089008,-0.2666850232722271,-0.2685591186388988,-0.27019530935076064,-0.27177448519340364,-0.27335513574630294,-0.2744958688293758,-0.2755238394211793,-0.27667564290128654,-0.27767847523382067,-0.278546174943686,-0.2793622941965176,-0.2797136111054584,-0.2804608258315635,-0.28131388699825954,-0.2819081594260129,-0.28236064097016644,-0.2828580417569728,-0.283035849949977,-0.2833974297743621,-0.28344381573867317,-0.28370275746433793,-0.2840333825434744,-0.2842676399128478,-0.2844646945907009,-0.28444712568938163,-0.2848413968650129
AMD,-0.0863697819004231,-0.09562606773881732,-0.10447285824667557,-0.11270544132196042,-0.12107366888006027,-0.1279941374020453,-0.13448512374995214,-0.14062991338269298,-0.14654944881509102,-0.1513605343966642,-0.15583642866831504,-0.159917720329803,-0.16338637243747134,-0.16636385098984918,-0.16980870138827892,-0.17276674182520702,-0.17727428759151787,-0.18202208572791645,-0.1871442956587251,-0.19159862602859729,-0.1966600291888857,-0.20132795733080427,-0.20677923377199792,-0.21388132976737462,-0.22125478882722882,-0.22814966414332039,-0.2360071782067953,-0.24340949605493778,-0.2509936329882091,-0.25883737189879896,-0.26653752772545913,-0.27359797388357704,-0.2813518121032164,-0.28841979568674914,-0.2938649834944292,-0.30090288810986326
TSM,-0.0828224944770023,-0.0883558362310981,-0.09273658641247695,-0.0972185844435593,-0.10150887861071395,-0.10552588982636107,-0.1092877897745056,-0.11388577236891345,-0.11837822507192397,-0.12299881110444089,-0.12870523383924604,-0.13430357602839726,-0.14005102582686624,-0.14567481985801445,-0.15132839894917877,-0.15824177043761,-0.1655341537671391,-0.1734352416889836,-0.18142530899138226,-0.18955769288340413,-0.19875618314279897,-0.20740191811450043,-0.21658448822435816,-0.2259106968808443,-0.2350691559674104,-0.24465424451667284,-0.2535654816975742,-0.2638663480172597,-0.27385917770358936,-0.2829039991507284,-0.2927212403206514,-0.303003780913181,-0.3117531048001572,-0.3222608512952818,-0.3317282791042057,-0.34132988755583454
META,-0.003240868884373971,-0.015688687678561575,-0.028463000594609322,-0.040479412896107236,-0.05223514041141275,-0.06301213174183151,-0.07366785031718859,-0.0825101319661592,-0.09114006899036814,-0.09726486047184935,-0.10396802906526625,-0.10915762035176668,-0.11387480753339785,-0.11794743158580379,-0.1228950818476709,-0.12582599003189776,-0.128913807447383,-0.13233942368883556,-0.1356483095342073,-0.13782555044978922,-0.14033909575087367,-0.14147420552336937,-0.1442651436278478,-0.1480863871373601,-0.15163218310874482,-0.1551579673792245,-0.15968394404911213,-0.16319544878084258,-0.16730131868081033,-0.17092571046525717,-0.17485227406088943,-0.17959841190017217,-0.18371367357107632,-0.1877132295252102,-0.191223870120052,-0.19589003020532075
IBM,-0.04847671846650575,-0.054043713462520404,-0.05971323145869917,-0.06555419656141948,-0.0707449548799895,-0.07514141929146045,-0.07947334876721912,-0.08322257572059039,-0.08679380826424477,-0.08967733561115049,-0.09281559739086426,-0.09547744199878344,-0.09792206861444658,-0.09994030033556772,-0.10174380326026972,-0.10354444357674486,-0.10508472371934141,-0.10729870139362219,-0.10942844320808592,-0.11070531047237003,-0.11258316388326073,-0.11376419927718345,-0.11562577794050877,-0.11857678040205277,-0.12143685288057571,-0.12430464048998102,-0.12728733259567393,-0.13027720643364193,-0.13296208147323374,-0.13533412288376767,-0.13786394792519774,-0.1403136043005549,-0.14265478051853614,-0.1447861484650944,-0.14626089543626547,-0.14858809563449055
AVGO,0.06154307021981209,0.05065601051185975,0.04070630135549075,0.03057143797491585,0.02106705395174363,0.01271532574414902,0.004963778696479626,-0.003013202711548868,-0.011274617035561318,-0.019076976022170566,-0.02659735480626857,-0.03368689174575312,-0.04120609729430236,-0.0484596227982354,-0.05623927443364807,-0.06283951841060431,-0.07046943083294915,-0.0783465677490856,-0.08667992576967093,-0.09324540422934152,-0.100353514600239,-0.10634191162904943,-0.11190786365475325,-0.11784109808411003,-0.12367594377540969,-0.12903645047951828,-0.13428611568789572,-0.13920391339379024,-0.14295475737068086,-0.14731456984788482,-0.15110381876596923,-0.1548710327943646,-0.1585869672780001,-0.1606131231841742,-0.16234002991482505,-0.1656364441078711
MU,-0.05907414487523799,-0.060505054863924324,-0.061727986499549414,-0.06316696098912666,-0.06407329861306504,-0.06499347803199923,-0.06591620941697635,-0.06664598315709142,-0.06710048567745419,-0.06760644668761573,-0.06819491111804155,-0.06848547123663601,-0.06876614460944269,-0.06894669392411928,-0.06908467641088017,-0.06923138912254795,-0.06911267470314258,-0.06945502541269127,-0.06945147996941237,-0.06920616625921044,-0.06899953157214145,-0.06822117805807937,-0.06787613207503251,-0.06762178384984319,-0.06721628084457354,-0.06667657291675999,-0.0659271207947782,-0.0653162668546296,-0.06440798411616899,-0.06285163393427273,-0.061622368288861806,-0.06053906977919332,-0.05948877691110738,-0.05828027986750661,-0.05671775370623111,-0.0555092721337313
GOOGL,0.02556191032828775,0.01894117756894248,0.01316219173871308,0.006869029569026408,0.0015220115338527296,-0.0035681902666099274,-0.008771176866036845,-0.013150374355797634,-0.01699384527310327,-0.02025719112188734,-0.02383719062673234,-0.026860561272784855,-0.029118138866385535,-0.0314130660493569,-0.0334259570054149,-0.03551364444976124,-0.03691003343635507,-0.03916011914703044,-0.04094114355525863,-0.04227440408874322,-0.04396197779350858,-0.04433462411734984,-0.04526950779005151,-0.04688222529255298,-0.048581541578577414,-0.05006829219846054,-0.051355509583930814,-0.05276790246570273,-0.05362585060565661,-0.054325496259131634,-0.05499995531587182,-0.05577940778585433,-0.057139717129962186,-0.05780614926020511,-0.05825774324127425,-0.058740866353395094
