Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
MSFT,-0.37802087327735534,-0.38191833323239543,-0.3863316306839833,-0.39131263324461707,-0.39539465101137883,-0.3993528378662283,-0.40292056013084143,-0.40696030959128593,-0.4098081951685002,-0.41294781474402065,-0.41598163240059666,-0.41872626180311595,-0.421504825680345,-0.42406072124228755,-0.4261934872511099,-0.42811981354441725,-0.42930445066417994,-0.4305989928583783,-0.43176270122688654,-0.43283120291235266,-0.4339469690610248,-0.43501891981028346,-0.4360701244415154,-0.43718856767443603,-0.4380049032107308,-0.4390489847657303,-0.43988595966300853,-0.44156256054129983,-0.44339654191931965,-0.44490168179268075,-0.44672065410494843,-0.4490338967666484,-0.45077470846725104,-0.45323569519625734,-0.4550284390201452,-0.4579350352020597
NVDA,-0.3227766664716746,-0.3296961324141473,-0.3356534514794655,-0.3409808159951756,-0.34756542778148936,-0.3529459765930695,-0.3571616515737702,-0.3614012878059816,-0.3667014626213101,-0.3719760055361794,-0.37534437832765116,-0.3788186184094075,-0.38248316755523837,-0.38576536000894945,-0.3898933972614405,-0.39220872022997094,-0.3975090610100563,-0.40012958573196167,-0.40357608580432236,-0.4069597424244952,-0.40985976198887475,-0.4126957560465932,-0.4152122159679036,-0.4161998087558283,-0.41784922187691753,-0.418478433338908,-0.4196923398823241,-0.42059953375791925,-0.42122360858479535,-0.42294961776163453,-0.4245065686662539,-0.4256365426779073,-0.42673629948623776,-0.42801989853307026,-0.428852141656511,-0.4307053690463434
AMZN,-0.3333816716941005,-0.3362562697731041,-0.33925125558097574,-0.34286775037464634,-0.34498203582256004,-0.34697770850819465,-0.34877691326234395,-0.35032372808483503,-0.35187471104898727,-0.35373490010510267,-0.3551126307021955,-0.35716808458866695,-0.3593713327998985,-0.3615059937716206,-0.36426974209330204,-0.36693163004357315,-0.3693695848955783,-0.3719256100189732,-0.37473414429451923,-0.3770251825401011,-0.37908612716050416,-0.3807395356952819,-0.3822697673543668,-0.38370730018265886,-0.385440834003812,-0.387087891421639,-0.3886793619282542,-0.3904186191171709,-0.3914037707369836,-0.3927380340159814,-0.393616750100271,-0.3952986979347811,-0.3969293200699185,-0.3983855641628264,-0.39982647829569506,-0.40091788490271385
INTC,-0.25526171167804623,-0.2561779035793512,-0.2569838458734404,-0.25715546736935757,-0.25770150942063297,-0.25818727215511483,-0.258384579098196,-0.2586685990407276,-0.25883125216315717,-0.25842196055470745,-0.25826494538014083,-0.25790838257187093,-0.2574722617235494,-0.2565957863161117,-0.25580058398055655,-0.25460297598183385,-0.2535396700623698,-0.25222402385594067,-0.2508731092736718,-0.24939600935880346,-0.24817991147941976,-0.24688625945230397,-0.2457083714680216,-0.24462938963789715,-0.2435256497778907,-0.24206973364093043,-0.2411614401426801,-0.23985265654569676,-0.2387519060757004,-0.23774630338929148,-0.23690851008935887,-0.23618509204130345,-0.23521976747672108,-0.23436199311063927,-0.2335144656040844,-0.23262068939849012
AMD,-0.10699062775813373,-0.11330336760950338,-0.11929085001893497,-0.12440194320255427,-0.12957085987854045,-0.13336699015035136,-0.13650886256334172,-0.13986148983169677,-0.1432025573923681,-0.14541556434247083,-0.14741635077622878,-0.14926698426277513,-0.15066332481026012,-0.15118515211255723,-0.15225414962253253,-0.15287384897766504,-0.15529011823270839,-0.15757046668257058,-0.16033892969857622,-0.16244846044371475,-0.16547764647178786,-0.16850060567764985,-0.172026779408456,-0.17719683240701223,-0.18287227917910664,-0.18785875681408437,-0.19431057659250256,-0.20022630265065755,-0.2063481092895474,-0.21313985954941728,-0.21974328035048007,-0.2257496833814061,-0.23230393966708968,-0.2383170942066875,-0.24293232340913196,-0.24868218064334047
TSM,-0.10344334033471292,-0.10603313610178416,-0.10755457818473635,-0.10891508632415314,-0.11000606960919412,-0.11089874257466714,-0.11131152858789517,-0.11311734881791724,-0.11503133364920104,-0.11705384105024752,-0.12028515594715977,-0.12365283996136939,-0.12732797819965502,-0.1304961209807225,-0.13377384718343238,-0.13834887759006803,-0.1435499844083296,-0.14898362264363774,-0.1546199430312334,-0.1604075272985216,-0.16757380042570114,-0.174574566461346,-0.18183203386081626,-0.18922619952048192,-0.19668664631928823,-0.20436333718743682,-0.21186888008328147,-0.2206831546129795,-0.22921365400492766,-0.2372064868013467,-0.24592699294567233,-0.25515549041101004,-0.2627052323640305,-0.2721581498152202,-0.2807956190189085,-0.28910918008931175
META,-0.023861714742084594,-0.03336598754924763,-0.04328099236686872,-0.05217591477670108,-0.060732331409892926,-0.06838498449013758,-0.07569158913057816,-0.08174170841516298,-0.08779317756764521,-0.09131989041765598,-0.09554795117317999,-0.0985068842847388,-0.10115175990618663,-0.10276873270851183,-0.10534053008192451,-0.10593309718435578,-0.10692963808857353,-0.10788780464348968,-0.10884294357405844,-0.10867538486490669,-0.10915671303377583,-0.10864685387021494,-0.1095126892643059,-0.11140188977699772,-0.11324967346062265,-0.11486706004998848,-0.1179873424348194,-0.12001225537656235,-0.12265579498214862,-0.1252281981158755,-0.12805802668591038,-0.13175012139800124,-0.13466580113494958,-0.13761052804514856,-0.14029121003475475,-0.14366932273879796
IBM,-0.06909756432421638,-0.07172101333320646,-0.07453122323095857,-0.07725069844201332,-0.07924214587846967,-0.08051427203976652,-0.0814970875806087,-0.08245415216959417,-0.08344691684152183,-0.08373236555695712,-0.084395519498778,-0.08482670593175556,-0.08519902098723536,-0.08476160145827577,-0.08418925149452333,-0.08365155072920288,-0.08310055436053193,-0.08284708234827631,-0.08262307724793705,-0.0815551448874875,-0.0814007811661629,-0.08093684762402903,-0.08087332357696686,-0.08189228304169038,-0.08305434323245353,-0.08401373316074501,-0.0855907309813812,-0.0870940130293617,-0.08831655777457204,-0.08963661053438599,-0.09106970055021868,-0.09246531379838396,-0.0936069080824094,-0.09468344698503278,-0.09532823535096824,-0.09636738816796775
AVGO,0.04092222436210147,0.03297871064117369,0.02588830958323135,0.018874936094322003,0.012569862953263455,0.007342472995842952,0.002940039883090051,-0.002244779160552657,-0.007927725612838388,-0.0131320059679772,-0.018177276914182305,-0.023036155678725245,-0.028483049667091143,-0.03328092392094345,-0.03868472266790168,-0.042946625563062335,-0.048485261474139674,-0.05389494870373973,-0.059874559809522054,-0.06409523864445899,-0.06917113188314117,-0.07351455997589501,-0.07715540929121134,-0.08115660072374764,-0.08529343412728752,-0.08874554315028227,-0.092589514073603,-0.09602071998951,-0.09830923367201916,-0.10161705749850314,-0.10430957139099017,-0.10702274229219366,-0.10953909484187335,-0.11051042170411257,-0.11140736982952781,-0.1134157366413483
MU,-0.07969499073294861,-0.07818235473461038,-0.07654597827180881,-0.07486346286972051,-0.07257048961154522,-0.0703663307803053,-0.06793994823036592,-0.0658775596060952,-0.06375359425473126,-0.06166147663342236,-0.05977483322595528,-0.05783473516960813,-0.05604309698223148,-0.05376799504682733,-0.05153012464513379,-0.04933849627500597,-0.047128505344333105,-0.0450034063673454,-0.04264611400926349,-0.04005600067432791,-0.037817148855043614,-0.035393826404924944,-0.03312367771149061,-0.030937286489480798,-0.028833771196451363,-0.026385665587523977,-0.024230519180485466,-0.022133073450349372,-0.019762460417507288,-0.017154121584891047,-0.014828120913882747,-0.01269077927702239,-0.010440904474980639,-0.008177578387444984,-0.005785093620933879,-0.0032885646672085045
GOOGL,0.004941064470577128,0.0012638776982564215,-0.0016558000335463174,-0.004827472311567438,-0.006975179464627446,-0.008941043014915995,-0.01079491567942642,-0.012381950804801423,-0.013646953850380339,-0.014312221067693975,-0.015417112734646077,-0.016209825205756978,-0.01639509123917432,-0.016234367172064945,-0.015871405239668512,-0.015620751602219263,-0.014925864077545592,-0.014708500101684563,-0.014135777595109755,-0.013124238503860686,-0.012779595076410744,-0.011507272464195417,-0.010517053426509604,-0.010197727932190592,-0.010199031930455238,-0.009777384869224526,-0.009658907969638086,-0.009584709061422503,-0.008980326906994907,-0.008627983909749948,-0.008205707940892759,-0.007931117283683398,-0.008091844693835448,-0.00770344778014348,-0.007325083155977019,-0.006520158886872296
NOW,0.0073389925909757014,0.005012859544487491,0.0028780280470192543,0.0014998968020130121,7.40273705872041e-05,0.00014303418413375013,0.0006817235826722667,9.630587851250372e-05,-0.0005475461447820296,-0.0005115557042296159,-0.0008471943438628227,-0.0007732404243337987,-0.0012535562936576428,-0.0006715165942042245,-0.0007611929195887046,-0.0005163680353786337,-0.0014846080333829614,-0.0014998273867129486,-0.0020581750164316848,-0.0018095132879286657,-0.0025934723424347883,-0.0029806177783546772,-0.004243612979175415,-0.0053735099907870065,-0.00709971836212786,-0.008281706463371896,-0.010345435143534643,-0.012175496916948303,-0.014403068666146324,-0.01589967985695734,-0.017759988682954087,-0.019885822077007342,-0.021319148765917395,-0.02323702032551067,-0.024099761647357942,-0.02672316240030348
CRM,0.027885527613208283,0.024093210017202882,0.020170617623540943,0.01714107008049437,0.014750004415614304,0.012844689109685725,0.011418529666645416,0.010392105031804544,0.009008363658577101,0.008794269307034752,0.00878186950367077,0.008896165953888702,0.008933518658553297,0.00956908773499121,0.009398944341216686,0.010005053508746364,0.00956664026160925,0.008778318773417837,0.007385106502704075,0.00665355885139346,0.005784464546634727,0.004859656664019885,0.0034473025844150573,0.0017229889854110114,-0.0006846389469326031,-0.002465860184814872,-0.005325967870735193,-0.0074589117979828035,-0.009948120889573309,-0.012360053493125411,-0.015009867801528354,-0.017458154924277103,-0.020613002812276127,-0.023040597388464867,-0.024267695312016557,-0.026751632389159563
QCOM,-0.020620845857710624,-0.01767729987068606,-0.014817991772259398,-0.011696501880593846,-0.008497190998480175,-0.005372852748306067,-0.002023738813389575,0.0007684235509962112,0.0033468914227229307,0.005944970054193366,0.008420077892086264,0.010650736067027877,0.012723047627211215,0.015178698877291952,0.017554551765746385,0.019892892847541976,0.02198416935880948,0.024451619045345874,0.026805365960148875,0.029150165584882537,0.031182382717097834,0.032827351653154424,0.03475245436354191,0.03668449736036239,0.038382509648122176,0.040290907329236014,0.04169660161429273,0.04318319340428023,0.044645523698661704,0.045697512349381686,0.04679424737497906,0.04784829050217093,0.04904787243612674,0.05010270148006163,0.05093266008529723,0.0522207074665228
AAPL,0.009235327640399471,0.009552939886889267,0.00979357727497937,0.010144358716505986,0.010845679163738686,0.011718592928601168,0.012917084467704787,0.013831412306642865,0.014581192050984904,0.015444273771361483,0.016198289548676303,0.01704531889708555,0.01779009259154163,0.018976109434461708,0.020090324200807697,0.021294880130521388,0.022533129493632398,0.023972755016198888,0.025353315364056883,0.027195856685735986,0.028711471185802973,0.030388144545364426,0.031986117976096407,0.03350461313573033,0.03479259447062527,0.03627055843944804,0.03747094365975523,0.03868451217128066,0.04021228960742074,0.04188260147427281,0.043507329544090756,0.044966015410094595,0.04663539785357601,0.04848647734695105,0.050359867534536806,0.05213205046546976
CSCO,0.05621826598034252,0.05509283990929498,0.05380779949094805,0.05328713166983057,0.0523282735937437,0.05242784994492167,0.052950183505231896,0.05299074081319555,0.05227566652459109,0.05152863683782216,0.0506135185242762,0.049962794669387134,0.04837246117553823,0.04743939761910382,0.045841957597361205,0.04430335159561155,0.042259647386328536,0.04051223129884196,0.038377132235077105,0.03717680582175381,0.03540634586032787,0.03364877785699816,0.031475111742415796,0.029485908056501198,0.02655720116061394,0.02407451271519162,0.020965147582007793,0.018060565711809085,0.01496352633128667,0.012316238122560719,0.009888724971389817,0.0066747309981989855,0.004399424241749106,0.0014575142544487885,-0.0008808022320431208,-0.004075588758821969
TSLA,0.05466497959251382,0.055100956998500816,0.0551967022076531,0.05518961762661578,0.05549038924759031,0.05560296401274456,0.055840526019230174,0.05587347346844046,0.05600572149110272,0.05605392237520701,0.055715542039675714,0.055428735894762604,0.05481652161262618,0.05441124346086551,0.05399410248062536,0.053661072695259104,0.05352147957800946,0.05307325484592207,0.052284311869665034,0.051971146488495934,0.0514164566203405,0.05076963697619791,0.050074688777097864,0.04943011199132441,0.04908496543684243,0.0485397393258723,0.04823763297126127,0.0476777282012828,0.04742321309168229,0.047846932556337984,0.04773340269400972,0.04740107615471023,0.0475293048021021,0.0475781187862504,0.04808185770889384,0.04794375381171312
ADBE,0.06778463732686502,0.06586133289742924,0.06479843993517509,0.06321251415569346,0.06297049968104251,0.062159138762831356,0.06167969272609164,0.06144729790433612,0.06115102864527794,0.061073491733382,0.06090795772291796,0.06035936899811356,0.06026388676302613,0.06034811438244936,0.06075706931365321,0.06098206243501869,0.061322364006317576,0.061116159461367836,0.06105973861945557,0.061029122750050624,0.06055164485038539,0.06029075791140259,0.0603923695853279,0.059717859633287185,0.05936857685967695,0.059102478009896375,0.05893180120715236,0.0583057208857789,0.0588976592938647,0.05828721089580391,0.05748047828433284,0.05700246144086274,0.05654581975165884,0.05662900114657832,0.05630837599730992,0.05654207267957184
ASML,0.07193933394768232,0.07043417834634358,0.06899816446493473,0.06756894165346533,0.06584659000112553,0.06481599272620259,0.0640078771076939,0.06321676339481636,0.062024486098079035,0.06094566587874911,0.060143482954715555,0.05974049399332754,0.05912837417170608,0.05869391885930714,0.05813050797547198,0.05855088136145198,0.05827970183407283,0.05891201507911781,0.059294376271788796,0.06000113906983434,0.06059175972713948,0.06126379357434836,0.061699463671327004,0.06232809853392107,0.06280508976270588,0.06340394350464335,0.06358162700264747,0.06387773718758583,0.06402880420058271,0.06400358369771902,0.06388357141116086,0.06354262090452167,0.06381904081421269,0.06401095678917873,0.06427473518048843,0.06372337164358144
ADI,0.025164448766973047,0.027669633135727456,0.03020343430746647,0.03311928443066431,0.03619674064727807,0.03935983775371671,0.042748951813830705,0.04583137840164864,0.048674278952142824,0.05168463215782071,0.05442401475907627,0.05718378911715971,0.05969145972467199,0.06267707818233226,0.06543690233714317,0.068328736834954,0.07092847962710652,0.07358969640102514,0.07629831753194521,0.07939109908474357,0.08212706912273282,0.08490913247085663,0.08756938944708298,0.09016167256876806,0.0925094979551121,0.09529490586758343,0.0976509602402062,0.10026967251496444,0.10307576075199654,0.10612443960143719,0.10900799971300457,0.11175022168936727,0.11463911985088177,0.11778411471088018,0.12102997093446549,0.12427781841610519
AMAT,0.01858075646056112,0.022371904799353692,0.026009532591642237,0.029986457953571855,0.034088710599091465,0.03826947783240531,0.04262045385714103,0.04644135345769701,0.04980649365201256,0.05319337414879033,0.056182744159013365,0.05947697083323028,0.06211863742122831,0.06538582288656558,0.06822730210006867,0.07144646988281494,0.0741641465963297,0.07717528911717281,0.0797387160669975,0.08291076759383376,0.08553472673134688,0.08811992374936306,0.09061689263179606,0.09305525729173131,0.09538026719450149,0.09808933781785328,0.10003729784452497,0.10257050883323132,0.10524045277841015,0.10811206719045352,0.11098149866427531,0.11346484259882966,0.11629571211348444,0.11966096298375473,0.12300668101437506,0.12604752890379717
