Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
MSFT,-0.5102543029047482,-0.5148435510288161,-0.5199047760916446,-0.5258447587596412,-0.5313914911596638,-0.5369600575892155,-0.5424608798365,-0.5480080607194626,-0.5522406738323593,-0.5569506754094116,-0.5614451199105224,-0.5655774727325015,-0.569394911104192,-0.5736940805665289,-0.5772929799347641,-0.5807692873771046,-0.5831430997019723,-0.585884778587308,-0.5883176694921359,-0.5912187315849412,-0.5937616969555713,-0.5964324097205409,-0.5990609308526975,-0.6016735895210755,-0.604061788383528,-0.6070183898928252,-0.6092302120858477,-0.6126502865746265,-0.6165724299788298,-0.6203843222842458,-0.6244488264159216,-0.6288142646508755,-0.6328389308710238,-0.6377777907702722,-0.6422284875615619,-0.6479049420698446
NVDA,-0.45501009609906734,-0.4626213502105679,-0.46922659688712687,-0.47551294151019974,-0.4835622679297743,-0.49055319631605665,-0.4967019712794288,-0.5024490389341583,-0.5091339412851692,-0.5159788662015703,-0.520807865837577,-0.525669829338793,-0.5303732529790854,-0.5353987193331908,-0.5409928899450948,-0.5448581940626583,-0.5513477100478487,-0.5554153714608914,-0.5601310540695716,-0.5653472710970837,-0.5696744898834213,-0.5741092459568506,-0.5782030223790857,-0.5806848306024678,-0.5839061070497147,-0.5864478384660028,-0.5890365923051633,-0.5916872597912459,-0.5943994966443055,-0.5984322582531996,-0.6022347409772271,-0.6054169105621344,-0.6088005218900105,-0.6125619941070851,-0.6160521901979277,-0.6206752759141283
AMZN,-0.46561510132149325,-0.46918148756952466,-0.4728244009886371,-0.4773998758896705,-0.480978875970845,-0.4845849282311818,-0.4883172329680025,-0.49137147921301166,-0.4943071897128463,-0.4977377607704936,-0.5005761182121213,-0.5040192955180525,-0.5072614182237456,-0.511139353095862,-0.5153692347769563,-0.5195811038762606,-0.5232082339333707,-0.5272113957479028,-0.5312891125597685,-0.5354127112126896,-0.5389008550550507,-0.5421530256055394,-0.5452605737655489,-0.5481923220292984,-0.5514977191766091,-0.5550572965487339,-0.5580236143510934,-0.5615063451504976,-0.5645796587964937,-0.5682206745075464,-0.5713449224112441,-0.5750790658190083,-0.5789935424736913,-0.5829276597368412,-0.5870265268371118,-0.5908877917704988
INTC,-0.387495141305439,-0.3891031213757718,-0.3905569912811018,-0.3916875928843817,-0.3936983495689179,-0.395794491878102,-0.39792489880385457,-0.3997163501689042,-0.4012637308270162,-0.40242482122009837,-0.4037284328900666,-0.40475959350125645,-0.40536234714739644,-0.40622914564035306,-0.4069000766642108,-0.40725244981452124,-0.4073783191001622,-0.4075098095848703,-0.40742807753892113,-0.407783538031392,-0.4079946393739663,-0.40829974936256147,-0.40869917787920373,-0.40911441148453664,-0.4095825349506878,-0.4100391387680253,-0.4105056925655193,-0.41094038257902343,-0.4119277941352105,-0.41322894388085657,-0.414636682400332,-0.4159654599255306,-0.41728398988049387,-0.4189040886846541,-0.4207145141455011,-0.42259059626627504
AMD,-0.2392240573855265,-0.24622858540592396,-0.2528639954265963,-0.2589340687175784,-0.2655677000268254,-0.27097420987333853,-0.27604918226900027,-0.2809092409598734,-0.28563503605622714,-0.28941842500786175,-0.29287983828615455,-0.29611819519216065,-0.29855341023410714,-0.3008185114367986,-0.3033536423061868,-0.30552332281035244,-0.30912876727050076,-0.3128562524115002,-0.31689389796382555,-0.3208359891163033,-0.3252923743663344,-0.32991409558790735,-0.33501758581963814,-0.3416818542536517,-0.34892916435190374,-0.3558281619411792,-0.36365482901534174,-0.3713140286839842,-0.3795239973490575,-0.38862250004098237,-0.39747145266145323,-0.40553005126563324,-0.41436816207086247,-0.42285918978070236,-0.43013237195054865,-0.4386520875111254
TSM,-0.23567676996210568,-0.23895835389820475,-0.2411277235923977,-0.24344721183917728,-0.24600290975747907,-0.24850596229765431,-0.2508518482935537,-0.2541650999460939,-0.2574638123130601,-0.26105670171563844,-0.26574864345708554,-0.2705040508907549,-0.27521806362350204,-0.2801294803049639,-0.28487333986708663,-0.29099835142275543,-0.297388633446122,-0.3042694083725674,-0.3111749112964827,-0.31879505597111013,-0.3273885283202477,-0.3359880563716035,-0.3448228402719984,-0.3537112213671214,-0.3627435314920853,-0.3723327423145317,-0.38121313250612066,-0.39177088064630616,-0.4023895420644378,-0.4126891272929118,-0.4236551652566455,-0.4349358582952372,-0.4447694547678033,-0.45670024538923504,-0.4679956675603252,-0.47907908695709667
META,-0.15609514436947736,-0.1662912053456682,-0.17685413777453007,-0.18670804029172522,-0.19672917155817787,-0.20599220421312475,-0.21523190883623672,-0.22278945954333962,-0.23022565623150426,-0.2353227510830469,-0.24101143868310576,-0.24535809521412433,-0.24904184533003365,-0.2524020920327532,-0.25644002276557876,-0.2585825710170432,-0.2607682871263659,-0.26317359037241933,-0.2653979118393078,-0.26706291353749523,-0.26897144092832237,-0.27006034378047244,-0.27250349567548804,-0.2758869116236372,-0.27930655863341974,-0.28283646517708333,-0.2873315948576586,-0.291099981409889,-0.29583168304165874,-0.3007108386074406,-0.30578619899688353,-0.3115304892822284,-0.31673002353872237,-0.3221526236191634,-0.32749125857617145,-0.3336392296065829
IBM,-0.20133099395160914,-0.20464623112962704,-0.20810436863861992,-0.21178282395703746,-0.21523898602675462,-0.2181214917627537,-0.22103740728626725,-0.2235019032977708,-0.2258793955053809,-0.22773522622234804,-0.22985900700870376,-0.2316779168611411,-0.23308910641108238,-0.23439496078251715,-0.23528874417817758,-0.23630102456189028,-0.2369392033983243,-0.23813286807720596,-0.2391780455131864,-0.23994267356007604,-0.24121550906070943,-0.24235033753428653,-0.243864129988149,-0.24637730488832987,-0.24911122840525063,-0.25198313828783986,-0.2549349834042204,-0.2581817390626884,-0.26149244583408215,-0.2651192510259511,-0.26879787286119183,-0.2722456816826111,-0.2756711304861822,-0.27922554255904763,-0.28252828389238493,-0.28633729503575267
AVGO,-0.0913112052652913,-0.09994650715524689,-0.10768483582443,-0.11565718942070213,-0.12342697719502149,-0.13026474672714422,-0.1366002798225685,-0.1432925302887293,-0.15036020427669744,-0.15713486663336812,-0.16364076442410808,-0.16988736660811077,-0.17637313509093816,-0.18291428324518483,-0.18978421535155593,-0.19559609939574973,-0.20232391051193205,-0.20918073443266938,-0.2164295280747714,-0.22248276731704753,-0.2289858597776877,-0.2349280498861525,-0.24014621570239347,-0.24564162257038713,-0.2513503193000846,-0.2567149482773771,-0.2619337664964422,-0.2671084460228367,-0.2714851217315293,-0.27709969799006823,-0.28203774370196333,-0.2868031101764208,-0.29160331724564614,-0.2950525172781274,-0.2986074183709445,-0.3033856435091332
MU,-0.21192842036034137,-0.21110757253103096,-0.21011912367947017,-0.20939558838474465,-0.20856732975983017,-0.20797355050329247,-0.20748026793602448,-0.20692531073427184,-0.2061860729185903,-0.20566433729881328,-0.20523832073588105,-0.20468594609899365,-0.2039331824060785,-0.2034013543710687,-0.20262961732878804,-0.20198797010769337,-0.20096715438212548,-0.20028919209627505,-0.19920108227451283,-0.19844352934691645,-0.19763187674959015,-0.19680731631518245,-0.19611448412267274,-0.1954223083361203,-0.19489065636924846,-0.19435507071461883,-0.19357477160332465,-0.19322079948367604,-0.1929383484770174,-0.19263676207645614,-0.1925562932248559,-0.19247114716124952,-0.19250512687875343,-0.19271967396145984,-0.19298514216235058,-0.19325847153499343
