Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
MSFT,-0.43268585286986916,-0.43701929023089625,-0.4415283328916364,-0.44650225087123285,-0.45088504025896914,-0.4549558018789729,-0.4587610861500716,-0.4628337830597264,-0.4658139166596029,-0.46900173711922766,-0.47169717444027237,-0.47415499769787856,-0.47632134729297115,-0.47847196470315306,-0.48018758973173525,-0.48178088623967635,-0.4828259302421894,-0.4836722477043004,-0.48404701309655157,-0.4848023494008486,-0.4853634256813653,-0.48578855678648136,-0.48614481321861325,-0.48661867966576045,-0.48708986864757325,-0.4875887240916026,-0.4881235926342698,-0.48924028874258263,-0.49081975501100195,-0.49274861434901873,-0.49445405679895815,-0.49643497292135863,-0.49830401326935314,-0.5008138139825078,-0.5031102967290391,-0.5058787890137728
NVDA,-0.3774416460641884,-0.3847970894126481,-0.3908501536871186,-0.3961704336217914,-0.40305581702907967,-0.40854894060581404,-0.4130021775930004,-0.41727476127442203,-0.4227071841124128,-0.4280299279113864,-0.4310599203673269,-0.4342473543041701,-0.43729968916786455,-0.44017660346981496,-0.44388749974206587,-0.44586979292523005,-0.45103054058806574,-0.45320284057788374,-0.4558603976739874,-0.4589308889129911,-0.46127621860921525,-0.4634653930227911,-0.46528690474500145,-0.4656299207471527,-0.46693418731375996,-0.4670181726647803,-0.46792997285358534,-0.46827726195920205,-0.46864682167647764,-0.4707965503179725,-0.47223997136026363,-0.4730376188326175,-0.47426560428833986,-0.47559801731932067,-0.4769339993654048,-0.4786491228580565
AMZN,-0.3880466512866143,-0.3913572267716049,-0.39444795778862884,-0.3980573680012621,-0.40047242507015035,-0.4025806725209392,-0.4046174392815741,-0.4061972015532755,-0.40788043254009,-0.4097888224803097,-0.4108281727418712,-0.41259682048342955,-0.4141878544125247,-0.41591723723248614,-0.4182638445739274,-0.42059270273883226,-0.42289106447358776,-0.42499886486489524,-0.42701845616418427,-0.428996329028597,-0.43050258378084466,-0.4315091726714798,-0.43234445613146466,-0.43313741217398327,-0.43452579944065445,-0.4356276307475113,-0.43691699489951547,-0.4380963473184537,-0.4388269838286659,-0.4405849665723194,-0.4413501527942807,-0.44269977408949135,-0.4444586248720206,-0.4459636829490768,-0.4479083360045889,-0.44886163871442697
INTC,-0.30992669127056005,-0.31127886057785203,-0.3121805480810935,-0.31234508499597335,-0.3131918986682233,-0.3137902361678594,-0.3142251051174262,-0.31454207250916805,-0.3148369736542599,-0.31447588292991446,-0.31398048741981655,-0.31333711846663354,-0.3122887833361756,-0.3110070297769772,-0.3097946864611819,-0.30826404867709295,-0.3070611496403793,-0.30529727870186274,-0.3031574211433368,-0.3013671558472994,-0.29959636809976026,-0.2976558964285019,-0.29578306024511947,-0.29405950162922156,-0.29261061521473314,-0.29060947296680273,-0.28939907311394136,-0.28753038474697956,-0.2861751191673827,-0.28559323594562946,-0.2846419127833686,-0.2835861681960137,-0.2827490722788232,-0.28194011189688967,-0.28159632331297824,-0.28056444321020324
AMD,-0.16165560735064755,-0.1684043246080042,-0.17448755222658807,-0.17959156082917005,-0.18506124912613076,-0.18896995416309592,-0.1923493885825719,-0.19573496330013723,-0.1992082788834708,-0.20146948671767784,-0.2031318928159045,-0.20469572015753773,-0.2054798464228863,-0.20559639557342274,-0.2062482521031579,-0.20653492167292414,-0.20881159781071784,-0.21064372152849264,-0.21262324156824125,-0.21441960693221068,-0.21689410309212837,-0.21927024265384776,-0.22210146818555387,-0.22662694439833664,-0.23195724461594908,-0.23639849613995667,-0.24254820956376383,-0.24790403085194035,-0.2537713223812297,-0.26098679210575526,-0.2674766830444898,-0.27315075953611634,-0.2798332444691918,-0.2858952129929379,-0.2910141811180258,-0.2966259344550536
TSM,-0.15810831992722674,-0.16113409310028498,-0.16275128039238945,-0.16410470395076893,-0.16549645885678443,-0.1665017065874117,-0.16715205460712534,-0.1689908222863577,-0.17103705514030376,-0.17310776342545453,-0.17600069798683549,-0.179081575856132,-0.1821444998122812,-0.184907364441588,-0.18776794966405774,-0.19200995028532714,-0.19707146398633907,-0.2020568774895598,-0.20690425490089842,-0.21237867378701752,-0.21899025704604164,-0.2253442034375439,-0.23190672263791412,-0.23865631151180633,-0.24577161175613066,-0.2529030765133091,-0.26010651305454274,-0.2683608828142623,-0.27663686709660995,-0.2850534193576847,-0.29366039563968205,-0.3025565665657203,-0.3102345371661326,-0.3197362686014706,-0.3288774767278023,-0.33705293390102486
META,-0.07852669433459841,-0.08846694454774845,-0.09847769457452182,-0.10736553240331687,-0.11622272065748324,-0.12398794850288214,-0.13153211514980834,-0.13761518188360344,-0.14379889905874793,-0.147373812792863,-0.1512634932128557,-0.1539356201795014,-0.1559682815188128,-0.15717997616937734,-0.15933463256254987,-0.1595941698796149,-0.160451117666583,-0.16096105948941175,-0.16112725544372347,-0.16064653135340262,-0.16057316965411633,-0.15941649084641285,-0.15958737804140377,-0.16083200176832213,-0.16233463889746508,-0.16340679937586078,-0.16622497540608067,-0.16768998357784515,-0.17007900807383092,-0.17307513067221347,-0.1757914293799201,-0.17915119755271147,-0.18219510593705168,-0.18518864683139896,-0.1883730677436486,-0.19161307655051107
IBM,-0.1237625439167302,-0.12682197033170728,-0.12972792543861167,-0.1324403160686291,-0.13473253512605998,-0.13611723605251108,-0.13733761359983887,-0.13832762563803463,-0.13945263833262456,-0.13978628793216413,-0.1401110615384537,-0.14025544182651817,-0.14001554259986154,-0.13917284491914128,-0.1381833539751487,-0.137312623424462,-0.1366220339385414,-0.13592033719419838,-0.13490738911760208,-0.13352629137598343,-0.1328172377865034,-0.13170648460022694,-0.13094801235406472,-0.1313223950330148,-0.13213930866929596,-0.1325534724866173,-0.13382836395264247,-0.1347717412306445,-0.13573977086625433,-0.13748354309072397,-0.1388031032442284,-0.1398663899530942,-0.1411362128845115,-0.14226156577128318,-0.14341009305986208,-0.14431114197968087
AVGO,-0.013742755230412351,-0.022122246357327124,-0.029308392624421753,-0.03631468153229378,-0.042920526294326855,-0.04826049101690161,-0.052900486136140124,-0.05811825262899312,-0.06393344710394111,-0.06918592834318421,-0.07389281895385802,-0.07846489157348785,-0.08329957127971732,-0.08769216738180896,-0.09267882514852704,-0.09660769825832144,-0.10200674105214913,-0.1069682035496618,-0.11215887167918709,-0.11606638513295492,-0.12058758850348167,-0.12428419695209292,-0.1272300980683092,-0.13058671271507205,-0.13437839956412995,-0.13728528247615457,-0.14082714704486426,-0.1436984481907928,-0.14573244676370145,-0.14946399005484112,-0.1520429740849999,-0.1544238184469039,-0.15706839964397545,-0.15808854049036297,-0.15948922753842165,-0.16135949045306142
MU,-0.13435997032546243,-0.1332833117331112,-0.13174268047946192,-0.1300530804963363,-0.12806087885913553,-0.12596929479304986,-0.1237804742495961,-0.12175103307453566,-0.11975931574583398,-0.11771539900862937,-0.115490375265631,-0.11326347106437074,-0.11085961859485766,-0.10817923850769284,-0.10552422712575915,-0.10299956897026508,-0.10064998492234256,-0.09807666121326747,-0.09493042587892853,-0.09202714716282384,-0.08923360547538411,-0.08616346338112285,-0.08319836648858847,-0.08036739848080521,-0.0779187366332938,-0.07492540491339628,-0.07246815215174673,-0.06981080165163217,-0.06718567350918958,-0.06500105414122903,-0.06256152360789247,-0.06009185543173262,-0.05797020927708274,-0.055755697173695384,-0.05386695132982772,-0.051232318478921623
GOOGL,-0.04972391512193669,-0.053837079300244395,-0.05685250224119942,-0.06001708993818322,-0.062465568712217756,-0.06454400702766055,-0.0666354416986566,-0.06825542427324188,-0.06965267534148306,-0.07036614344290099,-0.07113265477432179,-0.07163856110051958,-0.0712116128518005,-0.07064561063293046,-0.06986550772029387,-0.06928182429747837,-0.06844734365555505,-0.06778175494760663,-0.06642008946477479,-0.06509538499235662,-0.06419605169675124,-0.062276909440393324,-0.06059174220360747,-0.059627839923515,-0.05928399736729767,-0.058317124195096826,-0.057896540940899355,-0.0572624372627053,-0.0564035399986772,-0.05647491646608793,-0.05593911063490248,-0.05533219343839363,-0.05562114949593755,-0.05528156656639388,-0.05540694086487086,-0.054463912698585415
NOW,-0.04732598700153812,-0.050088097454013325,-0.05231867416063385,-0.05368972082460277,-0.055416361877003106,-0.05545992982861081,-0.05515880243655791,-0.055777167589927956,-0.05655326763588475,-0.056565478079436626,-0.05656273638353854,-0.0562019763190964,-0.05607007790628382,-0.055082760055069735,-0.054755295400214066,-0.05417744073063774,-0.05500608761139242,-0.05457308223263502,-0.05434248688609672,-0.0537806597764246,-0.05400992896277529,-0.053750254754552584,-0.05431830175627328,-0.05480362198211142,-0.05618468379897029,-0.056821445789244196,-0.05858306811479591,-0.0598532251182311,-0.061826281757828616,-0.06374661241329532,-0.0654933913769638,-0.06728689823171757,-0.0688484535680195,-0.07081513911176107,-0.07218161935625178,-0.0746669162120166
SAP,-0.05466497959251382,-0.055100956998500816,-0.0551967022076531,-0.05518961762661578,-0.05549038924759031,-0.05560296401274456,-0.055840526019230174,-0.05587347346844046,-0.05600572149110272,-0.05605392237520701,-0.055715542039675714,-0.055428735894762604,-0.05481652161262618,-0.05441124346086551,-0.05399410248062536,-0.053661072695259104,-0.05352147957800946,-0.05307325484592207,-0.052284311869665034,-0.051971146488495934,-0.0514164566203405,-0.05076963697619791,-0.050074688777097864,-0.04943011199132441,-0.04908496543684243,-0.0485397393258723,-0.04823763297126127,-0.0476777282012828,-0.04742321309168229,-0.047846932556337984,-0.04773340269400972,-0.04740107615471023,-0.0475293048021021,-0.0475781187862504,-0.04808185770889384,-0.04794375381171312
