Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
MSFT,-0.2745775329426424,-0.27588519713061127,-0.27877705249924695,-0.2823975469204639,-0.2853885814021847,-0.2884540952915612,-0.29160903154294626,-0.2938429607733687,-0.29477686151929916,-0.2958939736937731,-0.2956964764534369,-0.29507342184174656,-0.29417684748068995,-0.29356460026156506,-0.2924196400676775,-0.2897709359543492,-0.2857544662558503,-0.2816153702147406,-0.27714275819565315,-0.2724236756138311,-0.2663731686353237,-0.26044435334893745,-0.2542380905806991,-0.24796236815395412,-0.2413182568914426,-0.23468564757829347,-0.22801707957972706,-0.22087940592832034,-0.214182887914392,-0.20769519499133404,-0.2007936611592761,-0.19387840635563836,-0.18806947610322056,-0.18107754538103715,-0.17423282000123674,-0.16882585511274795
NVDA,-0.21933332613696166,-0.22366299631236314,-0.22809887329472917,-0.23206572967102246,-0.23755935817229523,-0.24204723401840234,-0.24585012298587505,-0.24828393898806433,-0.25167012897210905,-0.25492216448593186,-0.2550592223804914,-0.2551657784480381,-0.25515518935558335,-0.25526923902822696,-0.25611955007800813,-0.2538598426399029,-0.2539590766017267,-0.25114596308832393,-0.24895614277308897,-0.24655221512597358,-0.2422859615631736,-0.2381211895852472,-0.23338018210708733,-0.22697360923534637,-0.2211625755576293,-0.21411509615147117,-0.2078234597990426,-0.19991637914493976,-0.1920099545798677,-0.18574313096028783,-0.17857957572058158,-0.17048105226689725,-0.16403106712220727,-0.15586174871785008,-0.1480565226376025,-0.14159618895703163
AMZN,-0.22993833135938757,-0.2302231336713199,-0.2316966773962394,-0.2339526640504932,-0.23497596621336592,-0.2360789659335275,-0.23746538467444878,-0.2372063792669178,-0.23684337739978623,-0.23668105905485515,-0.23482747475503574,-0.23351524462729756,-0.2320433546002435,-0.23100987279089813,-0.23049589490986966,-0.22858275245350512,-0.2258196004872487,-0.22294198737533544,-0.22011420126328585,-0.2166176552415795,-0.21151232673480302,-0.2061649692339359,-0.20043773349355054,-0.19448110066217694,-0.1887541876845238,-0.1827245542342022,-0.17681048184497272,-0.1697354645041914,-0.16219011673205597,-0.1555315472146347,-0.14768975715459864,-0.14014320752377107,-0.134224087705888,-0.1262274143476062,-0.11903085927678658,-0.1118087048134021
INTC,-0.1518183713433333,-0.15014476747756705,-0.14942926768870407,-0.14824038104520443,-0.14769543981143884,-0.1472885295804477,-0.14707305051030084,-0.14555125022281035,-0.14379991851395613,-0.14136811950445993,-0.13797978943298106,-0.13425554261050154,-0.1301442835238944,-0.1260996653353892,-0.12202673679712417,-0.11625409839176581,-0.10998968565404021,-0.10324040121230293,-0.0962531662424384,-0.08898848206028187,-0.08060611105371862,-0.07231169299095797,-0.06387633760720535,-0.055403190117415235,-0.04683900345860248,-0.03770639645349361,-0.02929256005939862,-0.01916950193271727,-0.009538252070772746,-0.0005398165879447747,0.009018482856313459,0.018970398369706598,0.027485464887309408,0.03779615670458092,0.047281153414824084,0.056488490690821624
AMD,-0.0035472874234208085,-0.007270231507719216,-0.01173627183419862,-0.015486856878401123,-0.01956479026934632,-0.02246824757568422,-0.025197333975446545,-0.026744141013779532,-0.02817122374316705,-0.028361723292223306,-0.027131194829069005,-0.02561414430140574,-0.0233353466106051,-0.020689031131834734,-0.01848030243910015,-0.014524971387597008,-0.011740133824378773,-0.00858684403893284,-0.005718986667342829,-0.002040933145193158,0.002096153953913271,0.006073960783696153,0.009805254452360246,0.012029367113469691,0.013814367140181583,0.01650458037335245,0.017558303490778915,0.020456851962321942,0.02286554471538027,0.02406662725192943,0.026183712595192254,0.029405807029603936,0.030401292696940807,0.03384105560853268,0.037863295609776526,0.04042699944597128
META,0.07958162559262832,0.07266714855253653,0.06427358581786763,0.05673917154745206,0.0492737381993012,0.04251375808452956,0.03561993945731701,0.03137564040275426,0.02723815608155583,0.02573395063259154,0.024737204773979782,0.025145955676630583,0.02617621829346839,0.027727388272210662,0.02843331710150787,0.03241578040571225,0.03662034631975608,0.041095818000148054,0.04577699945717495,0.0517321424336149,0.058417087391925304,0.06592771259113106,0.07231934459651035,0.0778243097434842,0.08343697285866558,0.08949627713744834,0.09388153764846208,0.10067089923641714,0.10655785902277903,0.11197828868547122,0.11786896625976195,0.1234053690130088,0.1280394312290809,0.13454762177007162,0.14050440898415373,0.1454398573505138
IBM,0.03434577601049654,0.0343121227685777,0.033023354953777784,0.03166438788213982,0.030763923730724452,0.03038447053490062,0.029814441007286474,0.030663196648323066,0.031584416807679205,0.0333214754932904,0.03588963644838178,0.038826134029613824,0.04212895721241966,0.045734519522446726,0.04958459568890905,0.05469732686086515,0.06044943004779768,0.06613654029536142,0.07199686578329634,0.0788523824110341,0.08617301925953824,0.09363771883731697,0.1009587102838494,0.10733391647879154,0.1136323030868347,0.12034960402669181,0.12627814910190027,0.1335891415836178,0.14089709623035562,0.14756987626696072,0.15485729239545365,0.16269017661262608,0.16909832428162108,0.1774747028301874,0.18546738366794024,0.192741791921344
AVGO,0.14436556469681439,0.13901184674295786,0.1334428877679677,0.12779002241847515,0.12257593256245758,0.1182412155705101,0.11425156847098522,0.11087256965736458,0.10710360803636265,0.10392183508227032,0.10210787903297747,0.10061668428264414,0.09884492853256388,0.09721519705977905,0.0950891245155307,0.0954022520270057,0.09506472293418994,0.095088673939898,0.09474538322171133,0.0963122886540626,0.09840266854255997,0.10106000648545099,0.10467662456960491,0.10806959879673428,0.11139321219200071,0.11561779403715455,0.11927936600967848,0.12466243462346949,0.1309044203329085,0.13558942930284357,0.14161742155468215,0.14813274811881638,0.15316613752215713,0.1616477281111076,0.16938824918938067,0.17569344344796345
MU,0.023748349601764307,0.027850781367173782,0.031008599912927537,0.034051623454432633,0.037435579997648905,0.040532411794361844,0.04337158035752925,0.047239789211822036,0.05127773939446978,0.05539236441682516,0.06051032272120449,0.06581810479176126,0.07128488121742355,0.07672812593389516,0.08224372253829859,0.08901038131506206,0.0964214790639965,0.10398021627629234,0.1119738290219699,0.12035152662419368,0.12975665157065752,0.13918074005642106,0.14870835614932565,0.15828891303100112,0.16785287512283686,0.17797767159991285,0.187638360902796,0.19855008116263012,0.20945119358742037,0.22005236521645566,0.23109887203178958,0.24246471113398765,0.25226432788904984,0.2639805714277752,0.2750105253979746,0.28582061542210324
GOOGL,0.10838440480529005,0.10729701380004059,0.10589877815119003,0.1040876140125857,0.10303089014456668,0.10195769955975115,0.10051661290846875,0.10073539801311582,0.1013843797988207,0.10274161998255354,0.1048680432125137,0.10744301475561241,0.1109328869604807,0.11426175380865755,0.11790244194376387,0.12272812598784877,0.12862412033078402,0.13427512254195317,0.14048416543612363,0.1472832887946609,0.1547942053492904,0.1630672939971506,0.17131498043430665,0.17902847158829133,0.186487614388833,0.1945859523182123,0.2022099721136434,0.211098445551557,0.22023332709793275,0.22857850289159676,0.23772128500477957,0.24722437312732665,0.25461338767019503,0.2644547020350767,0.27347053586293146,0.28258902120243945
