Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
MSFT,-0.4670909054189317,-0.4717282986017918,-0.47606260857760324,-0.48042098225036733,-0.4840697006912055,-0.48793937407123517
AMZN,-0.4140521429308468,-0.4178446711221272,-0.4217270553281747,-0.42533507779618007,-0.4284371397251523,-0.43192611134478515
NVDA,-0.4011085968414575,-0.4085101250345119,-0.4153715929339303,-0.4219157851979528,-0.42751252492033587,-0.4332457656150274
INTC,-0.31916547820150076,-0.321169675641947,-0.32303792149794114,-0.3252938644461407,-0.327385517121066,-0.3296749422009753
AMD,-0.13965552523328606,-0.14923485896011712,-0.15931460408262116,-0.16849373398905243,-0.1765818642512763,-0.1868862312209782
TSM,-0.1365721942161131,-0.14047852853664844,-0.14421053931140132,-0.1479188940139301,-0.1510261599352769,-0.15449614868694145
IBM,-0.09495692455414595,-0.09997316841745507,-0.10514767672525666,-0.11098277600672224,-0.11523962677734445,-0.12019113718667868
MU,-0.10737454966700932,-0.10598034233285514,-0.10446379480165685,-0.10317211999348397,-0.1020391646084986,-0.10064982181694643
META,-0.038414210345053934,-0.051021007453420864,-0.0637883671026182,-0.07640441841830792,-0.08671314926507656,-0.09792459979522178
QCOM,-0.03636758282091057,-0.033641787262413625,-0.030107017215965703,-0.0276982766142157,-0.0261736894849412,-0.023986329664477946
GOOGL,-0.005143928836355616,-0.009680538075829026,-0.014285762891818432,-0.018953230645962216,-0.02244739867634682,-0.026360638778703538
SAP,-0.01153865509091756,-0.012165258363176057,-0.012579730378842302,-0.013462707237339444,-0.014072690229507412,-0.014613842988925763
NOW,-0.002487620566162918,-0.006423943057990489,-0.010376430689714,-0.014443690789354702,-0.0176777857843069,-0.02128804098466419
CRM,0.022562765316696987,0.016747027205089193,0.01076108492196931,0.0048686278912029035,-0.00019407665780540873,-0.0057885186917776554
AVGO,0.036848182452250855,0.026218565501093638,0.015563603580113605,0.004910540060224289,-0.0038294079965267014,-0.013594646641323316
AMAT,0.011061511607372176,0.014503573654189972,0.018314407582133152,0.021323479967776948,0.02374113942009981,0.026570390534290167
ADI,0.01913323357838831,0.021380899350397664,0.024063894936105334,0.026101463530119273,0.027749951791578353,0.029900052793453535
CSCO,0.05610661076472612,0.053144766803380594,0.04999803833145311,0.04701579684820156,0.044412534220161115,0.041061284843260326
TSLA,0.05483726707265352,0.055021692393457666,0.05557253768746839,0.05580874227086985,0.05608888028198622,0.056701121223777684
ADBE,0.06998138933078657,0.06738005544852094,0.0647983896878156,0.06185274070661273,0.0594831080865289,0.056970211731529496
ASML,0.07547514813036571,0.07296989024257106,0.0707539764902061,0.06813565472561056,0.06595213647988546,0.06385805680177858
PANW,0.08865877653464471,0.08809829539703068,0.08743515732665463,0.08677275791665195,0.08625674431164604,0.08532407192333386
TXN,0.10199537286473281,0.1032923529508073,0.10490471532404277,0.10606804327107783,0.10699482423986084,0.10839673768044783
ADSK,0.12797334956389872,0.12947733971715825,0.13151286717842797,0.1328536417489244,0.1338253370381488,0.1352929611030539
ORCL,0.17046938976745846,0.157531466877541,0.14387967684856778,0.13085390287999116,0.11946305611434194,0.10542918044561661
STX,0.1485238079668026,0.14875012241981017,0.14909551361004258,0.14932948312289396,0.14953734587235745,0.1498365347687916
LRCX,0.1913233323664018,0.18988672020960906,0.18866935572949023,0.18709629109199605,0.1859356888258492,0.18456427656625268
KLAC,0.3013051529544968,0.30344197319190225,0.305791668117668,0.30776820235850755,0.30943374153645187,0.3114387524962291
INTU,0.33006389269055625,0.3329156467182096,0.3358582238800297,0.33843587257913876,0.3406993969290453,0.343240330985649
