Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
MSFT,-0.5370722947497183,-0.5391083540503128,-0.5408609982654189,-0.5422737229569801,-0.5435528087777344,-0.5449095858027646
AMZN,-0.48403353226163337,-0.48522472657064813,-0.4865254450159903,-0.4871878185027928,-0.4879202478116812,-0.48889632307631464
NVDA,-0.47108998617224407,-0.47589018048303283,-0.48016998262174587,-0.48376852590456554,-0.48699563300686477,-0.4902159773465569
INTC,-0.38914686753228733,-0.3885497310904679,-0.38783631118575673,-0.38714660515275345,-0.3868686252075949,-0.3866451539325048
AMD,-0.20963691456407263,-0.21661491440863806,-0.22411299377043675,-0.23034647469566516,-0.2360649723378052,-0.2438564429525077
TSM,-0.20655358354689968,-0.20785858398516938,-0.20900892899921691,-0.20977163472054283,-0.2105092680218058,-0.21146636041847094
IBM,-0.16493831388493252,-0.167353223865976,-0.16994606641307225,-0.17283551671333497,-0.17472273486387335,-0.17716134891820817
MU,-0.1773559389977959,-0.17336039778137607,-0.16926218448947244,-0.1650248607000967,-0.1615222726950275,-0.15762003354847592
META,-0.1083955996758405,-0.1184010629019418,-0.1285867567904338,-0.13825715912492065,-0.14619625735160546,-0.15489481152675127
QCOM,-0.10634897215169714,-0.10102184271093456,-0.0949054069037813,-0.08955101732082843,-0.0856567975714701,-0.08095654139600744
GOOGL,-0.07512531816714219,-0.07706059352434996,-0.07908415257963403,-0.08080597135257495,-0.08193050676287572,-0.08333085051023303
SAP,-0.08152004442170413,-0.079545313811697,-0.0773781200666579,-0.07531544794395217,-0.07355579831603631,-0.07158405472045526
NOW,-0.07246900989694949,-0.07380399850651143,-0.0751748203775296,-0.07629643149596743,-0.0771608938708358,-0.07825825271619369
AAPL,-0.06998138933078657,-0.06738005544852094,-0.0647983896878156,-0.06185274070661273,-0.0594831080865289,-0.056970211731529496
CRM,-0.04741862401408958,-0.050633028243431744,-0.054037304765846284,-0.056984112815409826,-0.05967718474433431,-0.06275873042330715
AVGO,-0.033133206878535715,-0.0411614899474273,-0.04923478610770199,-0.05694220064638844,-0.0633125160830556,-0.07056485837285281
AMAT,-0.05891987772341439,-0.052876481794330965,-0.04648398210568244,-0.04052926073883578,-0.03574196866642909,-0.03039982119723933
ADI,-0.05084815575239826,-0.04599915609812327,-0.04073449475171026,-0.03575127717649346,-0.03173315629495055,-0.02707015893807596
CSCO,-0.013874778566060453,-0.014235288645140343,-0.014800351356362484,-0.014836943858411167,-0.015070573866367787,-0.01590892688826917
TSLA,-0.015144122258133053,-0.01235836305506327,-0.009225852000347201,-0.006043998435742881,-0.003394227804542682,-0.0002690905077518124
ASML,0.00549375879957914,0.005589834794050119,0.0059555868023905,0.006282914018997832,0.006469028393356557,0.006887845070249088
PANW,0.018677387203858142,0.020718239948509742,0.02263676763883904,0.024920017210039225,0.026773636225117137,0.02835386019180436
TXN,0.032013983533946244,0.03591229750228636,0.04010632563622718,0.0442153025644651,0.04751171615333194,0.051426525948918334
ADSK,0.05799196023311215,0.06209728426863731,0.06671447749061238,0.07100090104231166,0.0743422289516199,0.07832274937152439
ORCL,0.10048800043667189,0.09015141142902006,0.07908128716075219,0.06900116217337843,0.059979948027813035,0.048458968714087114
STX,0.07854241863601602,0.08137006697128923,0.08429712392222699,0.08747674241628123,0.09005423778582855,0.09286632303726211
LRCX,0.12134194303561524,0.12250666476108812,0.12387096604167463,0.12524355038538332,0.1264525807393203,0.1275940648347232
KLAC,0.23132376362371018,0.2360619177433813,0.24099327842985238,0.24591546165189482,0.24995063344992294,0.2544685407646996
INTU,0.2600825033597697,0.2655355912696887,0.27105983419221413,0.27658313187252603,0.28121628884251637,0.2862701192541195
