Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
MSFT,-0.48622413899732003,-0.49310919795218944,-0.5001265035137086,-0.5065224457804867,-0.5118196524827838,-0.5178394268646886
AMZN,-0.4331853765092351,-0.43922557047252486,-0.44579095026428006,-0.45143654132629935,-0.45618709151673065,-0.4618261641382387
NVDA,-0.4202418304198458,-0.42989102438490956,-0.4394354878700356,-0.4480172487280721,-0.4552624767119142,-0.46314581840848096
INTC,-0.33829871177988907,-0.34255057499234465,-0.3471018164340465,-0.35139532797626,-0.35513546891264436,-0.35957499499442885
AMD,-0.15878875881167437,-0.1706157583105148,-0.1833784990187265,-0.1945951975191717,-0.20433181604285466,-0.21678628401443173
TSM,-0.15570542779450142,-0.1618594278870461,-0.16827443424750665,-0.17402035754404938,-0.17877611172685526,-0.18439620148039498
IBM,-0.11409015813253426,-0.12135406776785274,-0.129211571661362,-0.1370842395368415,-0.1429895785689228,-0.1500911899801322
MU,-0.12650778324539763,-0.1273612416832528,-0.12852768973776219,-0.12927358352360324,-0.12978911640007695,-0.13054987461039996
META,-0.05754744392344224,-0.07240190680381853,-0.08785226203872354,-0.10250588194842719,-0.11446310105665491,-0.1278246525886753
QCOM,-0.05550081639929888,-0.05502268661281129,-0.05417091215207104,-0.05379974014433497,-0.05392364127651955,-0.05388638245793148
GOOGL,-0.024277162414743925,-0.03106143742622669,-0.03834965782792377,-0.04505469417608149,-0.05019735046792517,-0.05626069157215707
SAP,-0.03067188866930587,-0.03354615771357372,-0.036643625314947637,-0.03956417076745872,-0.041822642021085765,-0.0445138957823793
NOW,-0.021620854144551227,-0.027804842408388153,-0.034440325625819335,-0.040545154319473975,-0.04542773757588525,-0.05118809377811773
AAPL,-0.01913323357838831,-0.021380899350397664,-0.024063894936105334,-0.026101463530119273,-0.027749951791578353,-0.029900052793453535
CRM,0.0034295317383086776,-0.004633872145308471,-0.013302810014136024,-0.02123283563891637,-0.027944028449383762,-0.03568857148523119
AVGO,0.017714948873862546,0.004837666150695974,-0.00850029135599173,-0.021190923469894984,-0.031579359788105055,-0.04349469943477685
AMAT,-0.008071721971016133,-0.006877325696207692,-0.0057494873539721825,-0.004777983562342325,-0.004008812371478543,-0.0033296622591633684
CSCO,0.03697337718633781,0.03176386745298293,0.025934143395347775,0.02091433331808229,0.01666258242858276,0.01116123204980679
TSLA,0.03570403349426521,0.03364079304306,0.03150864275136306,0.029707278740750576,0.028338928490407866,0.02680106843032415
ADBE,0.05084815575239826,0.04599915609812327,0.04073449475171026,0.03575127717649346,0.03173315629495055,0.02707015893807596
ASML,0.0563419145519774,0.05158899089217339,0.04669008155410076,0.04203419119549129,0.038202184688307106,0.03395800400832505
PANW,0.0695255429562564,0.06671739604663302,0.0633712623905493,0.06067129438653268,0.058506792520067685,0.05542401912988032
TXN,0.0828621392863445,0.08191145360040963,0.08084082038793744,0.07996657974095855,0.07924487244828249,0.0784966848869943
ADSK,0.10884011598551041,0.10809644036676058,0.10744897224232264,0.10675217821880512,0.10607538524657045,0.10539290830960035
ORCL,0.15133615618907015,0.13615056752714333,0.11981578191246245,0.10475243934987188,0.09171310432276358,0.07552912765216308
STX,0.12939057438841428,0.1273692230694125,0.12503161867393725,0.12322801959277468,0.1217873940807791,0.11993648197533807
LRCX,0.1721900987880135,0.1685058208592114,0.1646054607933849,0.16099482756187677,0.15818573703427086,0.15466422377279915
KLAC,0.2821719193761084,0.2820610738415046,0.2817277731815626,0.2816667388283883,0.2816837897448735,0.28153869970277556
INTU,0.31093065911216794,0.31153474736781195,0.31179432894392434,0.31233440904901955,0.3129494451374669,0.31334027819219545
