Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
MSFT,-0.5950642549828304,-0.60120563831895,-0.6075754757560312,-0.6132746239992917,-0.6178950377293543,-0.623232335174289
AMZN,-0.5420254924947455,-0.5473220108392854,-0.5532399225066027,-0.5581887195451045,-0.5622624767633011,-0.567219072447839
NVDA,-0.5290819464053562,-0.5379874647516701,-0.5468844601123583,-0.5547694269468773,-0.5613378619584847,-0.5685387267180813
INTC,-0.4471388277653995,-0.45064701535910523,-0.4545507886763691,-0.4581475061950651,-0.4612108541592148,-0.4649679033040292
AMD,-0.2676288747971848,-0.27871219867727537,-0.29082747126104913,-0.3013473757379768,-0.3104072012894251,-0.3221791923240321
TSM,-0.2645455437800118,-0.2699558682538067,-0.2757234064898293,-0.2807725357628545,-0.2848514969734257,-0.28978910978999534
IBM,-0.22293027411804467,-0.22945050813461332,-0.23666054390368463,-0.24383641775564663,-0.24906496381549326,-0.25548409828973256
MU,-0.23534789923090804,-0.23545768205001338,-0.23597666198008482,-0.23602576174240836,-0.2358645016466474,-0.23594278292000032
META,-0.16638755990895265,-0.1804983471705791,-0.19530123428104618,-0.2092580601672323,-0.22053848630322537,-0.23321756089827567
QCOM,-0.1643409323848093,-0.16311912697957187,-0.16161988439439368,-0.1605519183631401,-0.15999902652309,-0.15927929076753183
GOOGL,-0.13311727840025434,-0.13915787779298727,-0.1457986300702464,-0.1518068723948866,-0.15627273571449563,-0.16165359988175743
SAP,-0.13951200465481628,-0.1416425980803343,-0.14409259755727027,-0.14631634898626383,-0.14789802726765622,-0.14990680409197965
NOW,-0.13046097013006164,-0.13590128277514874,-0.14188929786814197,-0.1472973325382791,-0.1515031228224557,-0.15658100208771808
AAPL,-0.12797334956389872,-0.12947733971715825,-0.13151286717842797,-0.1328536417489244,-0.1338253370381488,-0.1352929611030539
CRM,-0.10541058424720173,-0.11273031251206905,-0.12075178225645866,-0.12798501385772149,-0.13401941369595421,-0.14108147979483154
AVGO,-0.09112516711164786,-0.10325877421606461,-0.11594926359831437,-0.1279431016887001,-0.1376547450346755,-0.1488876077443772
AMAT,-0.11691183795652654,-0.11497376606296827,-0.11319845959629482,-0.11153016178114744,-0.110084197618049,-0.10872257056876372
ADI,-0.10884011598551041,-0.10809644036676058,-0.10744897224232264,-0.10675217821880512,-0.10607538524657045,-0.10539290830960035
CSCO,-0.0718667387991726,-0.07633257291377765,-0.08151482884697486,-0.08583784490072283,-0.08941280281798769,-0.09423167625979356
TSLA,-0.0731360824912452,-0.07445564732370058,-0.07594032949095958,-0.07704489947805454,-0.07773645675616259,-0.0785918398792762
ADBE,-0.05799196023311215,-0.06209728426863731,-0.06671447749061238,-0.07100090104231166,-0.0743422289516199,-0.07832274937152439
ASML,-0.05249820143353301,-0.05650744947458719,-0.06075889068822188,-0.06471798702331383,-0.06787320055826335,-0.0714349043012753
PANW,-0.03931457302925401,-0.04137904432012757,-0.04407770985177334,-0.046080883832272435,-0.04756859272650277,-0.04996888917972003
TXN,-0.025977976699165906,-0.02618498676635095,-0.026608151854385198,-0.02678559847784656,-0.026830512798287964,-0.026896223422606058
ORCL,0.04249604020355974,0.028054127160382747,0.012366809670139811,-0.001999738868933232,-0.01436228092380687,-0.029863780657437278
STX,0.02055045840290387,0.019272782702651925,0.017582646431614612,0.01647584137396957,0.015712008834208646,0.014543573665737719
LRCX,0.06334998280250309,0.060409380492450815,0.05715648855106226,0.05424264934307166,0.052110351787700404,0.049271315463198795
KLAC,0.17333180339059803,0.173964633474744,0.17427880093924,0.17491456060958316,0.17560840449830303,0.17614579139317518
INTU,0.20209054312665753,0.20343830700105137,0.20434535670160173,0.2055822308302144,0.20687405989089647,0.2079473698825951
