Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
MSFT,-0.4781524170263039,-0.48623187225598175,-0.4943770161597364,-0.5017444622181443,-0.5078108401113053,-0.5145097646055253
AMZN,-0.425113654538219,-0.43234824477631717,-0.4400414629103079,-0.446658557763957,-0.4521782791452521,-0.4584965018790753
NVDA,-0.4121701084488297,-0.42301369868870187,-0.43368600051606343,-0.44323926516572976,-0.4512536643404357,-0.4598161561493176
INTC,-0.33022698980887294,-0.33567324929613696,-0.3413523290800743,-0.34661734441391767,-0.3511266565411658,-0.3562453327352655
AMD,-0.15071703684065824,-0.1637384326143071,-0.1776290116647543,-0.18981721395682938,-0.20032300367137612,-0.21345662175526836
TSM,-0.14763370582348528,-0.1549821021908384,-0.16252494689353447,-0.16924237398170705,-0.17476729935537672,-0.18106653922123161
IBM,-0.10601843616151813,-0.11447674207164504,-0.12346208430738981,-0.1323062559744992,-0.13898076619744426,-0.14676152772096884
MU,-0.1184360612743815,-0.12048391598704511,-0.12277820238379,-0.12449559996126092,-0.1257803040285984,-0.1272202123512366
META,-0.04947572195242611,-0.06552458110761084,-0.08210277468475136,-0.09772789838608487,-0.11045428868517637,-0.12449499032951195
QCOM,-0.04742909442828275,-0.0481453609166036,-0.048421424798098855,-0.04902175658199265,-0.04991482890504101,-0.05055672019876811
GOOGL,-0.016205440443727792,-0.024184111730018998,-0.032600170473951584,-0.040276710613739164,-0.04618853809644663,-0.052931029312993705
SAP,-0.022600166698289736,-0.02666883201736603,-0.030894137960975454,-0.03478618720511639,-0.03781382964960722,-0.04118423352321593
NOW,-0.013549132173535094,-0.02092751671218046,-0.028690838271847152,-0.03576717075713165,-0.04141892520440671,-0.04785843151895436
AAPL,-0.011061511607372176,-0.014503573654189972,-0.018314407582133152,-0.021323479967776948,-0.02374113942009981,-0.026570390534290167
CRM,0.01150125370932481,0.0022434535508992215,-0.0075533226601638415,-0.016454852076574045,-0.02393521607790522,-0.03235890922606782
AVGO,0.02578667084487868,0.011714991846903666,-0.0027508040020195468,-0.01641293990755266,-0.027570547416626512,-0.04016503717561348
ADI,0.008071721971016133,0.006877325696207692,0.0057494873539721825,0.004777983562342325,0.004008812371478543,0.0033296622591633684
CSCO,0.04504509915735394,0.03864119314919062,0.03168363074931996,0.025692316880424615,0.020671394800061305,0.01449089430897016
TSLA,0.04377575546528134,0.040518118739267694,0.03725813010533524,0.0344852623030929,0.03234774086188641,0.030130730689487517
ADBE,0.05891987772341439,0.052876481794330965,0.04648398210568244,0.04052926073883578,0.03574196866642909,0.03039982119723933
ASML,0.06441363652299353,0.058466316588381084,0.05243956890807294,0.04681217475783361,0.04221099705978565,0.03728766626748842
PANW,0.07759726492727254,0.07359472174284071,0.06912074974452148,0.065449277948875,0.06251560489154623,0.05875368138904369
TXN,0.09093386125736064,0.08878877929661733,0.08659030774190962,0.08474456330330088,0.08325368481976103,0.08182634714615766
ADSK,0.11691183795652654,0.11497376606296827,0.11319845959629482,0.11153016178114744,0.110084197618049,0.10872257056876372
ORCL,0.15940787816008628,0.14302789322335102,0.12556526926643463,0.10953042291221421,0.09572191669424213,0.07885878991132644
STX,0.1374622963594304,0.1342465487656202,0.13078110602790943,0.128006003155117,0.12579620645225764,0.12326614423450144
LRCX,0.18026182075902963,0.1753831465554191,0.17035494814735708,0.1657728111242191,0.1621945494057494,0.15799388603196252
KLAC,0.29024364134712455,0.2889383995377123,0.2874772605355348,0.2864447223907306,0.28569260211635206,0.2848683619619389
INTU,0.3190023810831841,0.31841207306401964,0.3175438162978965,0.3171123926113618,0.31695825750894546,0.3166699404513588
