Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
MSFT,-0.32743538018564566,-0.32249343964167465,-0.3167480044949821,-0.3119272482613149,-0.30748783643992916,-0.30105314285025697
AMZN,-0.27439661769756074,-0.2686098121620101,-0.26241245124555357,-0.25684134380712764,-0.251855275473876,-0.24503988012380695
NVDA,-0.26145307160817144,-0.2592752660743948,-0.2560569888513091,-0.2534220512089004,-0.25093066066905956,-0.24635953439404923
INTC,-0.1795099529682147,-0.17193481668182986,-0.16372331741531998,-0.1568001304570883,-0.1508036528697897,-0.14278871097999712
TSM,0.003083331017172952,0.008756330423468683,0.015104064771219838,0.020574839975122328,0.025555704315999406,0.032390082534036746
IBM,0.04469860067914011,0.04926169054266205,0.0541669273573645,0.05751095798233019,0.06134223747393186,0.06669509403429952
MU,0.03228097556627674,0.043254516627261985,0.05485080928096431,0.06532161399556846,0.07454269964277771,0.08623640940403177
META,0.10124131488823213,0.09821385150669626,0.09552623698000295,0.09208931557074451,0.08986871498619975,0.08896163142575642
QCOM,0.10328794241237549,0.1155930716977035,0.12920758686665546,0.14079545737483673,0.1504081747663351,0.16289990155650025
GOOGL,0.13451159639693044,0.1395543208842881,0.14502884119080273,0.14954050334309021,0.1541344655749295,0.16052559244227466
SAP,0.1281168701423685,0.13706960059694107,0.14673487370377886,0.15503102675171299,0.1625091740217689,0.17227238823205243
NOW,0.13716790466712314,0.14281091590212663,0.14893817339290716,0.15405004319969773,0.1589040784669694,0.165598190236314
AAPL,0.13965552523328606,0.14923485896011712,0.15931460408262116,0.16849373398905243,0.1765818642512763,0.1868862312209782
CRM,0.16221829054998305,0.16598188616520632,0.17007568900459047,0.17336236188025533,0.1763877875934709,0.18109771252920054
AVGO,0.17650370768553691,0.17545342446121076,0.17487820766273476,0.17340427404927672,0.1727524562547496,0.17329158457965488
AMAT,0.15071703684065824,0.1637384326143071,0.1776290116647543,0.18981721395682938,0.20032300367137612,0.21345662175526836
ADI,0.15878875881167437,0.1706157583105148,0.1833784990187265,0.1945951975191717,0.20433181604285466,0.21678628401443173
CSCO,0.19576213599801218,0.20237962576349772,0.20931264241407427,0.215509530837254,0.22099439847143743,0.22794751606423852
TSLA,0.19449279230593958,0.2042565513535748,0.21488714177008955,0.22430247625992228,0.23267074453326253,0.24358735244475588
ADBE,0.20963691456407263,0.21661491440863806,0.22411299377043675,0.23034647469566516,0.2360649723378052,0.2438564429525077
ASML,0.21513067336365177,0.22220474920268818,0.23006858057282725,0.236629388714663,0.24253400073116177,0.2507442880227568
PANW,0.22831430176793077,0.2373331543571478,0.2467497614092758,0.2552664919057044,0.26283860856292235,0.27221030314431205
TXN,0.24165089809801887,0.2525272119109244,0.26421931940666393,0.27456177726013026,0.28357668849113715,0.295282968901426
ADSK,0.2676288747971848,0.27871219867727537,0.29082747126104913,0.3013473757379768,0.3104072012894251,0.3221791923240321
ORCL,0.3101249150007445,0.3067663258376581,0.30319428093118894,0.2993476368690436,0.29604492036561825,0.2923154116665948
STX,0.28817933320008865,0.2979849813799273,0.30841011769266374,0.3178232171119464,0.32611921012363376,0.3367227659897698
LRCX,0.33097885759968787,0.3391215791697262,0.3479839598121114,0.3555900250810485,0.3625175530771255,0.3714505077872309
KLAC,0.44096067818778284,0.45267683215201937,0.4651062722002891,0.47626193634756,0.4860156057877282,0.49832498371720724
INTU,0.4697194179238423,0.48215050567832674,0.49517282796265083,0.5069296065681912,0.5172812611803216,0.5301265622066271
