Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
MSFT,-0.05303876248808492,-0.053883627479664575,-0.054335553249428514,-0.05508590445418726,-0.05563256096605318,-0.05601326272645002
NVDA,0.012943546089389302,0.009334546087615303,0.006355462394244449,0.0034192925982272637,0.000924614804816426,-0.0013196542702422764
INTC,0.09488666472934604,0.09667499548018021,0.09868913383023359,0.10004121335003935,0.10105162260408629,0.10225116914380983
AMD,0.27439661769756074,0.2686098121620101,0.26241245124555357,0.25684134380712764,0.251855275473876,0.24503988012380695
TSM,0.2774799487147337,0.27736614258547876,0.2775165160167734,0.27741618378224997,0.2774109797898754,0.2774299626578437
IBM,0.31909521837670085,0.3178715027046721,0.31657937860291807,0.31435230178945783,0.31319751294780784,0.31173497415810647
MU,0.3066775932638375,0.31186432878927206,0.3172632605265179,0.3221629578026961,0.3263979751166537,0.3312762895278387
META,0.37563793258579287,0.36682366366870633,0.3579386882255565,0.34893065937787215,0.34172399046007573,0.33400151154956337
QCOM,0.37768456010993623,0.3842028838597136,0.391620038112209,0.39763680118196437,0.4022634502402111,0.4079397816803072
GOOGL,0.4089082140944912,0.40816413304629817,0.4074412924363563,0.40638184715021786,0.4059897410488055,0.4055654725660816
SAP,0.40251348783992924,0.40567941275895114,0.4091473249493324,0.41187237055884063,0.4143644494956449,0.4173122683558594
NOW,0.4115645223646839,0.4114207280641367,0.4113506246384607,0.41089138700682537,0.4107593539408454,0.41063807036012095
AAPL,0.4140521429308468,0.4178446711221272,0.4217270553281747,0.42533507779618007,0.4284371397251523,0.43192611134478515
CRM,0.4366149082475438,0.4345916983272164,0.43248814025014404,0.430203705687383,0.4282430630673469,0.4261375926530075
AVGO,0.45090032538309766,0.44406323662322084,0.43729065890828833,0.43024561785640436,0.4246077317286256,0.41833146470346183
AMAT,0.425113654538219,0.43234824477631717,0.4400414629103079,0.446658557763957,0.4521782791452521,0.4584965018790753
ADI,0.4331853765092351,0.43922557047252486,0.44579095026428006,0.45143654132629935,0.45618709151673065,0.4618261641382387
CSCO,0.4701587536955729,0.4709894379255078,0.47172509365962784,0.47235087464438164,0.4728496739453134,0.4729873961880455
TSLA,0.4688894100035003,0.47286636351558486,0.4772995930156431,0.4811438200670499,0.4845260200071385,0.48862723256856283
ADBE,0.48403353226163337,0.48522472657064813,0.4865254450159903,0.4871878185027928,0.4879202478116812,0.48889632307631464
ASML,0.4895272910612125,0.49081456136469825,0.4924810318183808,0.49347073252179063,0.49438927620503775,0.49578416814656373
PANW,0.5027109194654915,0.5059429665191579,0.5091622126548294,0.512107835712832,0.5146938840367983,0.517250183268119
TXN,0.5160475157955796,0.5211370240729345,0.5266317706522174,0.5314031210672578,0.5354319639650131,0.540322849025233
ADSK,0.5420254924947455,0.5473220108392854,0.5532399225066027,0.5581887195451045,0.5622624767633011,0.567219072447839
ORCL,0.5845215326983053,0.5753761379996682,0.5656067321767425,0.5561889806761713,0.5479001958394942,0.5373552917904018
STX,0.5625759508976493,0.5665947935419373,0.5708225689382174,0.574664560919074,0.5779744855975097,0.5817626461135768
LRCX,0.6053754752972487,0.6077313913317363,0.610396411057665,0.6124313688881762,0.6143728285510015,0.6164903879110378
KLAC,0.7153572958853436,0.7212866443140294,0.7275187234458427,0.7331032801546876,0.7378708812616042,0.7433648638410142
INTU,0.744116035621403,0.7507603178403368,0.7575852792082044,0.7637709503753188,0.7691365366541976,0.7751664423304341
