Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
MSFT,-0.5425660535492974,-0.5446981888443628,-0.5468165850678093,-0.5485566369759779,-0.550021837171091,-0.5517974308730138
AMZN,-0.4895272910612125,-0.49081456136469825,-0.4924810318183808,-0.49347073252179063,-0.49438927620503775,-0.49578416814656373
NVDA,-0.4765837449718232,-0.48148001527708295,-0.4861255694241364,-0.49005143992356337,-0.4934646614002213,-0.497103822416806
INTC,-0.3946406263318665,-0.39413956588451804,-0.39379189798814723,-0.3934295191717513,-0.39333765360095146,-0.3935329990027539
AMD,-0.21513067336365177,-0.22220474920268818,-0.23006858057282725,-0.236629388714663,-0.24253400073116177,-0.2507442880227568
TSM,-0.21204734234647882,-0.2134484187792195,-0.21496451580160741,-0.21605454873954066,-0.21697829641516236,-0.21835420548872003
IBM,-0.17043207268451166,-0.17294305866002613,-0.17590165321546275,-0.1791184307323328,-0.1811917632572299,-0.18404919398845726
MU,-0.18284969779737503,-0.1789502325754262,-0.17521777129186294,-0.17130777471909453,-0.16799130108838406,-0.164507878618725
META,-0.11388935847541964,-0.12399089769599192,-0.1345423435928243,-0.14454007314391848,-0.15266528574496202,-0.16178265659700036
QCOM,-0.11184273095127628,-0.10661167750498468,-0.1008609937061718,-0.09583393133982626,-0.09212582596482666,-0.08784438646625653
GOOGL,-0.08061907696672133,-0.08265042831840008,-0.08503973938202453,-0.08708888537157278,-0.08839953515623228,-0.09021869558048212
SAP,-0.08701380322128327,-0.08513514860574711,-0.0833337068690484,-0.08159836196295,-0.08002482670939287,-0.07847189979070435
NOW,-0.07796276869652863,-0.07939383330056154,-0.0811304071799201,-0.08257934551496526,-0.08362992226419236,-0.08514609778644278
AAPL,-0.07547514813036571,-0.07296989024257106,-0.0707539764902061,-0.06813565472561056,-0.06595213647988546,-0.06385805680177858
CRM,-0.052912382813668724,-0.05622286303748186,-0.059992891568236784,-0.06326702683440766,-0.06614621313769087,-0.06964657549355624
AVGO,-0.038626965678114855,-0.04675132474147742,-0.05519037291009249,-0.06322511466538627,-0.06978154447641216,-0.0774527034431019
AMAT,-0.06441363652299353,-0.058466316588381084,-0.05243956890807294,-0.04681217475783361,-0.04221099705978565,-0.03728766626748842
ADI,-0.0563419145519774,-0.05158899089217339,-0.04669008155410076,-0.04203419119549129,-0.038202184688307106,-0.03395800400832505
CSCO,-0.019368537365639593,-0.019825123439190462,-0.020755938158752985,-0.021119857877409,-0.021539602259724344,-0.022796771958518258
TSLA,-0.020637881057712193,-0.01794819784911339,-0.015181438802737701,-0.012326912454740713,-0.00986325619789924,-0.0071569355780009
ADBE,-0.00549375879957914,-0.005589834794050119,-0.0059555868023905,-0.006282914018997832,-0.006469028393356557,-0.006887845070249088
PANW,0.013183628404279002,0.015128405154459623,0.01668118083644854,0.018637103191041393,0.02030460783176058,0.02146601512155527
TXN,0.026520224734367104,0.030322462708236242,0.03415073883383668,0.037932388545467266,0.04104268775997538,0.044538680878669246
ADSK,0.05249820143353301,0.05650744947458719,0.06075889068822188,0.06471798702331383,0.06787320055826335,0.0714349043012753
ORCL,0.09499424163709275,0.08456157663496994,0.07312570035836169,0.0627182481543806,0.05351091963445648,0.041571123643838026
STX,0.07304865983643688,0.07578023217723912,0.07834153711983649,0.0811938283972834,0.08358520939247199,0.08597847796701302
LRCX,0.1158481842360361,0.116916829967038,0.11791537923928413,0.11896063636638549,0.11998355234596375,0.1207062197644741
KLAC,0.22583000482413104,0.2304720829493312,0.23503769162746188,0.239632547632897,0.24348160505656638,0.2475806956944505
INTU,0.25458874456019054,0.25994575647563856,0.26510424738982363,0.2703002178535282,0.2747472604491598,0.2793822741838704
