Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
MSFT,-0.5039390878711826,-0.4979468641028854,-0.49162621215771685,-0.4853315223105916,-0.48024029269467877,-0.47434472742991185
AMZN,-0.45090032538309766,-0.44406323662322084,-0.43729065890828833,-0.43024561785640436,-0.4246077317286256,-0.41833146470346183
NVDA,-0.43795677929370835,-0.43472869053560553,-0.4309351965140439,-0.4268263252581771,-0.42368311692380917,-0.4196511189737041
INTC,-0.3560136606537516,-0.3473882411430406,-0.33860152507805474,-0.330204404506365,-0.3235561091245393,-0.316080295559652
AMD,-0.17650370768553691,-0.17545342446121076,-0.17487820766273476,-0.17340427404927672,-0.1727524562547496,-0.17329158457965488
TSM,-0.17342037666836396,-0.16669709403774208,-0.15977414289151493,-0.1528294340741544,-0.1471967519387502,-0.14090150204561813
IBM,-0.1318051070063968,-0.1261917339185487,-0.12071128030537026,-0.11589331606694653,-0.11141021878081775,-0.10659649054535536
MU,-0.14422273211926018,-0.13219890783394878,-0.12002739838177046,-0.10808266005370826,-0.0982097566119719,-0.08705517517562311
META,-0.07526239279730479,-0.0772395729545145,-0.07935197068273181,-0.0813149584785322,-0.08288374126854986,-0.08432995315389846
QCOM,-0.07321576527316143,-0.05986035276350726,-0.04567062079607931,-0.03260881667443999,-0.022344281488414497,-0.01039168302315463
GOOGL,-0.04199211128860647,-0.035899103576922664,-0.029849366471932037,-0.023863770706186505,-0.018617990679820118,-0.012765992137380222
SAP,-0.048386837543168415,-0.038383823864269695,-0.028143333958955907,-0.018373247297563733,-0.01024328223298071,-0.0010191963476024468
NOW,-0.03933580301841377,-0.03264250855908413,-0.025940034269827605,-0.01935423084957899,-0.013848377787780197,-0.007693394343340876
AAPL,-0.036848182452250855,-0.026218565501093638,-0.015563603580113605,-0.004910540060224289,0.0038294079965267014,0.013594646641323316
CRM,-0.014285417135553868,-0.009471538296004445,-0.004802518658144295,-4.191216902138528e-05,0.0036353313387212927,0.00780612794954566
AMAT,-0.02578667084487868,-0.011714991846903666,0.0027508040020195468,0.01641293990755266,0.027570547416626512,0.04016503717561348
ADI,-0.017714948873862546,-0.004837666150695974,0.00850029135599173,0.021190923469894984,0.031579359788105055,0.04349469943477685
CSCO,0.019258428312475262,0.026926201302286956,0.034434434751339504,0.042105256787977274,0.048241942216687816,0.05465593148458364
TSLA,0.017989084620402662,0.028803126892364028,0.04000893410735479,0.05089820221064556,0.05991828827851292,0.070295767865101
ADBE,0.033133206878535715,0.0411614899474273,0.04923478610770199,0.05694220064638844,0.0633125160830556,0.07056485837285281
ASML,0.038626965678114855,0.04675132474147742,0.05519037291009249,0.06322511466538627,0.06978154447641216,0.0774527034431019
PANW,0.05181059408239386,0.06187972989593704,0.07187155374654103,0.08186221785642767,0.09008615230817274,0.09891871856465717
TXN,0.06514719041248196,0.07707378744971366,0.08934111174392917,0.10115750321085354,0.11082423223638754,0.12199138432177115
ADSK,0.09112516711164786,0.10325877421606461,0.11594926359831437,0.1279431016887001,0.1376547450346755,0.1488876077443772
ORCL,0.1336212073152076,0.13131290137644736,0.12831607326845418,0.12594336281976687,0.12329246411086864,0.11902382708693993
STX,0.11167562551455174,0.12253155691871653,0.13353191002992898,0.14441894306266967,0.15336675386888415,0.16343118141011492
LRCX,0.15447514991415096,0.16366815470851542,0.17310575214937662,0.18218575103177176,0.1897650968223759,0.198158923207576
KLAC,0.2644569705022459,0.2772234076908086,0.29022806453755434,0.30285766229828326,0.3132631495329785,0.32503339913755236
INTU,0.2932157102383054,0.306697081217116,0.32029462029991607,0.3335253325189145,0.344528804925572,0.3568349776269723
