Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
MSFT,-0.4896536707356287,-0.48847532580688097,-0.48682369349957255,-0.48528961014157024,-0.48387562403340006,-0.4821508553794575
AMZN,-0.4366149082475438,-0.4345916983272164,-0.43248814025014404,-0.430203705687383,-0.4282430630673469,-0.4261375926530075
NVDA,-0.4236713621581545,-0.4252571522396011,-0.4261326778558996,-0.4267844130891557,-0.42731844826253046,-0.42745724692324977
INTC,-0.34172824351819775,-0.3379167028470362,-0.33379900641991045,-0.3301624923373436,-0.3271914404632606,-0.32388642350919766
AMD,-0.16221829054998305,-0.16598188616520632,-0.17007568900459047,-0.17336236188025533,-0.1763877875934709,-0.18109771252920054
TSM,-0.1591349595328101,-0.15722555574173763,-0.15497162423337063,-0.152787521905133,-0.1508320832774715,-0.1487076299951638
IBM,-0.11751968987084294,-0.11672019562254426,-0.11590876164722597,-0.11585140389792514,-0.11504555011953904,-0.11440261849490102
MU,-0.1299373149837063,-0.12272736953794433,-0.11522487972362616,-0.10804074788468687,-0.10184508795069319,-0.09486130312516877
META,-0.06097697566175092,-0.06776803465851006,-0.07454945202458751,-0.08127304630951082,-0.08651907260727115,-0.09213608110344412
QCOM,-0.05893034813760756,-0.05038881446750282,-0.040868102137935014,-0.032566904505418603,-0.02597961282713579,-0.01819781097270029
GOOGL,-0.027706694153052602,-0.02642756528091822,-0.025046847813787743,-0.02382185853716512,-0.02225332201854141,-0.020572120086925882
SAP,-0.03410142040761455,-0.02891228556826525,-0.023340815300811613,-0.018331335128542348,-0.013878613571702003,-0.008825324297148107
NOW,-0.025050385882859905,-0.023170970263079682,-0.02113751561168331,-0.019312318680557605,-0.01748370912650149,-0.015499522292886536
AAPL,-0.022562765316696987,-0.016747027205089193,-0.01076108492196931,-0.0048686278912029035,0.00019407665780540873,0.0057885186917776554
AVGO,0.014285417135553868,0.009471538296004445,0.004802518658144295,4.191216902138528e-05,-0.0036353313387212927,-0.00780612794954566
AMAT,-0.01150125370932481,-0.0022434535508992215,0.0075533226601638415,0.016454852076574045,0.02393521607790522,0.03235890922606782
ADI,-0.0034295317383086776,0.004633872145308471,0.013302810014136024,0.02123283563891637,0.027944028449383762,0.03568857148523119
CSCO,0.03354384544802913,0.0363977395982914,0.0392369534094838,0.04214716895699866,0.044606610877966524,0.04684980353503798
TSLA,0.03227450175595653,0.03827466518836847,0.04481145276549908,0.050940114379666945,0.05628295693979163,0.06248963991555534
ADBE,0.04741862401408958,0.050633028243431744,0.054037304765846284,0.056984112815409826,0.05967718474433431,0.06275873042330715
ASML,0.052912382813668724,0.05622286303748186,0.059992891568236784,0.06326702683440766,0.06614621313769087,0.06964657549355624
PANW,0.06609601121794773,0.07135126819194149,0.07667407240468532,0.08190413002544905,0.08645082096945145,0.09111259061511151
TXN,0.07943260754803583,0.0865453257457181,0.09414363040207346,0.10119941537987492,0.10718890089766625,0.11418525637222549
ADSK,0.10541058424720173,0.11273031251206905,0.12075178225645866,0.12798501385772149,0.13401941369595421,0.14108147979483154
ORCL,0.14790662445076147,0.1407844396724518,0.13311859192659847,0.12598527498878825,0.11965713277214735,0.11121769913739427
STX,0.1259610426501056,0.13200309521472098,0.13833442868807327,0.14446085523169105,0.14973142253016286,0.15562505346056926
LRCX,0.16876056704970482,0.17313969300451987,0.17790827080752092,0.18222766320079314,0.18612976548365462,0.19035279525803034
KLAC,0.2787423876377998,0.28669494598681305,0.29503058319569864,0.30289957446730464,0.3096278181942572,0.31722727118800675
INTU,0.30750112737385926,0.3161686195131204,0.32509713895806036,0.33356724468793586,0.3408934735868507,0.34902884967742664
