Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
MSFT,-0.5231975161836578,-0.5248730654051723,-0.5260606469090563,-0.5274367790985689,-0.5284822349113666,-0.5290006589144955
AMZN,-0.4701587536955729,-0.4709894379255078,-0.47172509365962784,-0.47235087464438164,-0.4728496739453134,-0.4729873961880455
NVDA,-0.4572152076061836,-0.4616548918378925,-0.4653696312653834,-0.46893158204615437,-0.471925059140497,-0.47430705045828775
INTC,-0.3752720889662269,-0.3743144424453276,-0.37303595982939425,-0.3723096612943423,-0.3717980513412271,-0.37073622704423564
AMD,-0.19576213599801218,-0.20237962576349772,-0.20931264241407427,-0.215509530837254,-0.22099439847143743,-0.22794751606423852
TSM,-0.19267880498083922,-0.19362329534002903,-0.19420857764285443,-0.19493469086213167,-0.19543869415543802,-0.19555743353020177
IBM,-0.15106353531887207,-0.15311793522083567,-0.15514571505670977,-0.1579985728549238,-0.15965216099750557,-0.161252422029939
MU,-0.16348116043173544,-0.15912510913623573,-0.15446183313310996,-0.15018791684168553,-0.14645169882865972,-0.14171110666020675
META,-0.09452082110978005,-0.10416577425680146,-0.11378640543407131,-0.12342021526650948,-0.13112568348523768,-0.1389858846384821
QCOM,-0.09247419358563669,-0.08678655406579422,-0.08010505554741881,-0.07471407346241726,-0.07058622370510231,-0.06504761450773827
GOOGL,-0.06125053960108173,-0.06282530487920962,-0.06428380122327154,-0.06596902749416378,-0.06685993289650793,-0.06742192362196386
SAP,-0.06764526585564368,-0.06531002516655665,-0.06257776871029541,-0.06047850408554101,-0.05848522444966853,-0.05567512783218609
NOW,-0.058594231330889035,-0.05956870986137108,-0.06037446902116711,-0.061459487637556265,-0.062090320004468014,-0.06234932582792452
AAPL,-0.05610661076472612,-0.053144766803380594,-0.04999803833145311,-0.04701579684820156,-0.044412534220161115,-0.041061284843260326
CRM,-0.03354384544802913,-0.0363977395982914,-0.0392369534094838,-0.04214716895699866,-0.044606610877966524,-0.04684980353503798
AVGO,-0.019258428312475262,-0.026926201302286956,-0.034434434751339504,-0.042105256787977274,-0.048241942216687816,-0.05465593148458364
AMAT,-0.04504509915735394,-0.03864119314919062,-0.03168363074931996,-0.025692316880424615,-0.020671394800061305,-0.01449089430897016
ADI,-0.03697337718633781,-0.03176386745298293,-0.025934143395347775,-0.02091433331808229,-0.01666258242858276,-0.01116123204980679
TSLA,-0.0012693436920725998,0.001876925590077072,0.005574499356015283,0.008792945422668286,0.011676346061825105,0.015639836380517358
ADBE,0.013874778566060453,0.014235288645140343,0.014800351356362484,0.014836943858411167,0.015070573866367787,0.01590892688826917
ASML,0.019368537365639593,0.019825123439190462,0.020755938158752985,0.021119857877409,0.021539602259724344,0.022796771958518258
PANW,0.032552165769918595,0.034953528593650085,0.037437118995201524,0.03975696106845039,0.041844210091484924,0.04426278708007353
TXN,0.0458887621000067,0.050147586147426704,0.054906676992589665,0.059052246422876264,0.06258229001969973,0.0673354528371875
ADSK,0.0718667387991726,0.07633257291377765,0.08151482884697486,0.08583784490072283,0.08941280281798769,0.09423167625979356
ORCL,0.11436277900273234,0.1043867000741604,0.09388163851711467,0.0838381060317896,0.07505052189418082,0.06436789560235628
STX,0.09241719720207647,0.09560535561642958,0.09909747527858948,0.1023136862746924,0.10512481165219634,0.10877524992553128
LRCX,0.1352167216016757,0.13674195340622847,0.13867131739803712,0.14008049424379448,0.1415231546056881,0.14350299172299236
KLAC,0.24519854218977064,0.25029720638852165,0.2557936297862149,0.260752405510306,0.26502120731629075,0.2703774676529688
INTU,0.27395728192583013,0.279770879914829,0.2858601855485766,0.2914200757309372,0.29628686270888416,0.30217904614238866
