Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
MSFT,-0.4619469765825761,-0.46204776052596275,-0.4617768456857848,-0.4614677516044051,-0.46162230201485865,-0.46157873529253163
AMZN,-0.4089082140944912,-0.40816413304629817,-0.4074412924363563,-0.40638184715021786,-0.4059897410488055,-0.4055654725660816
NVDA,-0.3959646680051019,-0.39882958695868287,-0.40108583004211185,-0.4029625545519906,-0.40506512624398905,-0.4068851268363239
INTC,-0.31402154936514515,-0.31148913756611796,-0.3087521586061227,-0.3063406338001785,-0.3049381184447192,-0.3033143034222718
AMD,-0.13451159639693044,-0.1395543208842881,-0.14502884119080273,-0.14954050334309021,-0.1541344655749295,-0.16052559244227466
TSM,-0.1314282653797575,-0.1307979904608194,-0.1299247764195829,-0.1289656633679679,-0.12857876125893009,-0.1281355099082379
IBM,-0.08981299571779033,-0.09029263034162605,-0.09086191383343822,-0.09202954536076002,-0.09279222810099763,-0.09383049840797514
MU,-0.1022306208306537,-0.09629980425702611,-0.09017803190983842,-0.08421888934752175,-0.07959176593215178,-0.07428918303824289
META,-0.03327028150869832,-0.04134046937759184,-0.04950260421079977,-0.0574511877723457,-0.06426575058872974,-0.07156396101651824
QCOM,-0.031223653984554955,-0.0239612491865846,-0.01582125432414727,-0.008745045968253484,-0.003726290808594379,0.0023743091142255923
SAP,-0.006394726254561944,-0.002484720287347031,0.00170603251297613,0.005490523408622772,0.008374708446839407,0.011746795789777775
NOW,0.0026563082701926977,0.0032565950178385372,0.003909332202104432,0.004509539856607514,0.0047696128920399206,0.005072597794039346
AAPL,0.005143928836355616,0.009680538075829026,0.014285762891818432,0.018953230645962216,0.02244739867634682,0.026360638778703538
CRM,0.027706694153052602,0.02642756528091822,0.025046847813787743,0.02382185853716512,0.02225332201854141,0.020572120086925882
AVGO,0.04199211128860647,0.035899103576922664,0.029849366471932037,0.023863770706186505,0.018617990679820118,0.012765992137380222
AMAT,0.016205440443727792,0.024184111730018998,0.032600170473951584,0.040276710613739164,0.04618853809644663,0.052931029312993705
ADI,0.024277162414743925,0.03106143742622669,0.03834965782792377,0.04505469417608149,0.05019735046792517,0.05626069157215707
CSCO,0.06125053960108173,0.06282530487920962,0.06428380122327154,0.06596902749416378,0.06685993289650793,0.06742192362196386
TSLA,0.05998119590900913,0.06470223046928669,0.06985830057928683,0.07476197291683206,0.07853627895833304,0.08306176000248122
ADBE,0.07512531816714219,0.07706059352434996,0.07908415257963403,0.08080597135257495,0.08193050676287572,0.08333085051023303
ASML,0.08061907696672133,0.08265042831840008,0.08503973938202453,0.08708888537157278,0.08839953515623228,0.09021869558048212
PANW,0.09380270537100033,0.0977788334728597,0.10172092021847307,0.10572598856261417,0.10870414298799286,0.11168471070203739
TXN,0.10713930170108843,0.11297289102663632,0.1191904782158612,0.12502127391704004,0.12944222291620766,0.13475737645915137
ADSK,0.13311727840025434,0.13915787779298727,0.1457986300702464,0.1518068723948866,0.15627273571449563,0.16165359988175743
ORCL,0.17561331860381407,0.16721200495337002,0.15816543974038622,0.14980713352595337,0.14191045479068876,0.13178981922432015
STX,0.1536677368031582,0.1584306604956392,0.16338127650186102,0.16828271376885617,0.17198474454870427,0.17619717354749515
LRCX,0.19646726120275743,0.1995672582854381,0.20295511862130866,0.20604952173795826,0.20838308750219603,0.21092491534495622
KLAC,0.3064490817908524,0.3131225112677313,0.3200774310094864,0.32672143300446976,0.3318811402127987,0.33779939127493264
INTU,0.33520782152691186,0.34259618479403864,0.3501439867718481,0.357389103225101,0.3631467956053921,0.3696009697643525
