Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
MSFT,-0.3721339808647858,-0.3717551301843367,-0.3709149318523466,-0.3694382062436451,-0.368830073913861,-0.3677482368845565
AMZN,-0.31909521837670085,-0.3178715027046721,-0.31657937860291807,-0.31435230178945783,-0.31319751294780784,-0.31173497415810647
NVDA,-0.30615167228731155,-0.3085369566170568,-0.3102239162086736,-0.31093300919123057,-0.3122728981429914,-0.31305462842834875
INTC,-0.2242085536473548,-0.2211965072244919,-0.21789024477268448,-0.21431108843941848,-0.21214589034372155,-0.20948380501429664
AMD,-0.04469860067914011,-0.04926169054266205,-0.0541669273573645,-0.05751095798233019,-0.06134223747393186,-0.06669509403429952
TSM,-0.04161526966196716,-0.04050536011919337,-0.039062862586144664,-0.03693611800720786,-0.035786533157932454,-0.03430501150026277
MU,-0.012417625112863373,-0.006007173915400066,0.000683881923599805,0.007810656013238271,0.01320046216884585,0.01954131536973225
META,0.056542714209092015,0.04895216096403421,0.04135930962263845,0.03457835758841432,0.02852647751226789,0.022266537391456898
QCOM,0.05858934173323538,0.06633138115504145,0.07504065950929095,0.08328449939250654,0.08906593729240325,0.09620480752220073
GOOGL,0.08981299571779033,0.09029263034162605,0.09086191383343822,0.09202954536076002,0.09279222810099763,0.09383049840797514
SAP,0.08341826946322839,0.08780791005427901,0.09256794634641435,0.0975200687693828,0.10116693654783704,0.10557729419775291
NOW,0.09246930398798303,0.09354922535946458,0.09477124603554266,0.09653908521736754,0.09756184099303755,0.09890309620201448
AAPL,0.09495692455414595,0.09997316841745507,0.10514767672525666,0.11098277600672224,0.11523962677734445,0.12019113718667868
CRM,0.11751968987084294,0.11672019562254426,0.11590876164722597,0.11585140389792514,0.11504555011953904,0.11440261849490102
AVGO,0.1318051070063968,0.1261917339185487,0.12071128030537026,0.11589331606694653,0.11141021878081775,0.10659649054535536
AMAT,0.10601843616151813,0.11447674207164504,0.12346208430738981,0.1323062559744992,0.13898076619744426,0.14676152772096884
ADI,0.11409015813253426,0.12135406776785274,0.129211571661362,0.1370842395368415,0.1429895785689228,0.1500911899801322
CSCO,0.15106353531887207,0.15311793522083567,0.15514571505670977,0.1579985728549238,0.15965216099750557,0.161252422029939
TSLA,0.14979419162679947,0.15499486081091274,0.16072021441272505,0.1667915182775921,0.17132850705933067,0.17689225841045636
ADBE,0.16493831388493252,0.167353223865976,0.16994606641307225,0.17283551671333497,0.17472273486387335,0.17716134891820817
ASML,0.17043207268451166,0.17294305866002613,0.17590165321546275,0.1791184307323328,0.1811917632572299,0.18404919398845726
PANW,0.18361570108879066,0.18807146381448575,0.1925828340519113,0.1977555339233742,0.2014963710889905,0.20551520911001253
TXN,0.19695229741887876,0.20326552136826237,0.21005239204929943,0.21705081927780007,0.2222344510172053,0.2285878748671265
ADSK,0.22293027411804467,0.22945050813461332,0.23666054390368463,0.24383641775564663,0.24906496381549326,0.25548409828973256
ORCL,0.2654263143216044,0.25750463529499606,0.24902735357382444,0.2418366788867134,0.2347026828916864,0.2256203176322953
STX,0.24348073252094854,0.24872329083726524,0.25424319033529924,0.2603122591296162,0.2647769726497019,0.2700276719554703
LRCX,0.28628025692054776,0.28985988862706413,0.2938170324547469,0.2980790670987183,0.30117531560319366,0.30475541375293136
KLAC,0.39626207750864273,0.4034151416093573,0.4109393448429246,0.4187509783652298,0.4246733683137963,0.4316298896829077
INTU,0.4250208172447022,0.4328888151356647,0.4410059006052863,0.449418648585861,0.4559390237063897,0.46343146817232767
