Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
MSFT,-0.14792542721743096,-0.1505586229598448,-0.1530246870796621,-0.1551271178042266,-0.15668418357013947,-0.15826443187025985
AMZN,-0.09488666472934604,-0.09667499548018021,-0.09868913383023359,-0.10004121335003935,-0.10105162260408629,-0.10225116914380983
NVDA,-0.08194311863995674,-0.08734044939256491,-0.09233367143598914,-0.09662192075181208,-0.10012700779926986,-0.1035708234140521
AMD,0.1795099529682147,0.17193481668182986,0.16372331741531998,0.1568001304570883,0.1508036528697897,0.14278871097999712
TSM,0.18259328398538766,0.18069114710529854,0.17882738218653982,0.17737497043221062,0.1763593571857891,0.17517879351403387
IBM,0.2242085536473548,0.2211965072244919,0.21789024477268448,0.21431108843941848,0.21214589034372155,0.20948380501429664
MU,0.21179092853449144,0.21518933330909185,0.2185741266962843,0.22212174445265676,0.2253463525125674,0.2290251203840289
META,0.28075126785644683,0.2701486681885261,0.25924955439532293,0.2488894460278328,0.24067236785598944,0.23175034240575354
QCOM,0.2827978953805902,0.28752788837953336,0.29293090428197543,0.297595587831925,0.3012118276361248,0.3056886125364974
GOOGL,0.31402154936514515,0.31148913756611796,0.3087521586061227,0.3063406338001785,0.3049381184447192,0.3033143034222718
SAP,0.3076268231105832,0.3090044172787709,0.31045819111909884,0.3118311572088013,0.3133128268915586,0.31506109921204956
NOW,0.31667785763533784,0.3147457325839565,0.31266149080822714,0.310850173656786,0.3097077313367591,0.3083869012163111
AAPL,0.31916547820150076,0.321169675641947,0.32303792149794114,0.3252938644461407,0.327385517121066,0.3296749422009753
CRM,0.34172824351819775,0.3379167028470362,0.33379900641991045,0.3301624923373436,0.3271914404632606,0.32388642350919766
AVGO,0.3560136606537516,0.3473882411430406,0.33860152507805474,0.330204404506365,0.3235561091245393,0.316080295559652
AMAT,0.33022698980887294,0.33567324929613696,0.3413523290800743,0.34661734441391767,0.3511266565411658,0.3562453327352655
ADI,0.33829871177988907,0.34255057499234465,0.3471018164340465,0.35139532797626,0.35513546891264436,0.35957499499442885
CSCO,0.3752720889662269,0.3743144424453276,0.37303595982939425,0.3723096612943423,0.3717980513412271,0.37073622704423564
TSLA,0.3740027452741543,0.37619136803540465,0.37861045918540953,0.3811026067170106,0.3834743974030522,0.386376063424753
ADBE,0.38914686753228733,0.3885497310904679,0.38783631118575673,0.38714660515275345,0.3868686252075949,0.3866451539325048
ASML,0.3946406263318665,0.39413956588451804,0.39379189798814723,0.3934295191717513,0.39333765360095146,0.3935329990027539
PANW,0.4078242547361455,0.40926797103897766,0.41047307882459577,0.4120666223627927,0.41364226143271204,0.4149990141243092
TXN,0.4211608510662336,0.4244620285927543,0.4279426368219839,0.43136190771721855,0.43438034136092685,0.43807167988142315
ADSK,0.4471388277653995,0.45064701535910523,0.4545507886763691,0.4581475061950651,0.4612108541592148,0.4649679033040292
ORCL,0.4896348679689592,0.478701142519488,0.4669175983465089,0.4561477673261319,0.44684857323540794,0.43510412264659193
STX,0.46768928616830335,0.46991979806175715,0.4721334351079837,0.4746233475690347,0.47692286299342346,0.4795114769697669
LRCX,0.5104888105679026,0.511056395851556,0.5117072772274314,0.5123901555381367,0.5133212059469152,0.514239218767228
KLAC,0.6204706311559975,0.6246116488338492,0.6288295896156091,0.6330620668046483,0.6368192586575179,0.6411136946972044
INTU,0.649229370892057,0.6540853223601566,0.6588961453779708,0.6637297370252795,0.6680849140501113,0.6729152731866244
