Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
MSFT,-0.797154798109488,-0.8046439453200014,-0.8119208324576329,-0.8188568548295061,-0.8247690976202507,-0.8311797050568841
AMZN,-0.744116035621403,-0.7507603178403368,-0.7575852792082044,-0.7637709503753188,-0.7691365366541976,-0.7751664423304341
NVDA,-0.7311724895320137,-0.7414257717527215,-0.75122981681396,-0.7603516577770916,-0.7682119218493811,-0.7764860966006764
INTC,-0.649229370892057,-0.6540853223601566,-0.6588961453779708,-0.6637297370252795,-0.6680849140501113,-0.6729152731866244
AMD,-0.4697194179238423,-0.48215050567832674,-0.49517282796265083,-0.5069296065681912,-0.5172812611803216,-0.5301265622066271
TSM,-0.46663608690666936,-0.47339417525485805,-0.480068763191431,-0.48635476659306887,-0.4917255568643222,-0.49773647967259044
IBM,-0.4250208172447022,-0.4328888151356647,-0.4410059006052863,-0.449418648585861,-0.4559390237063897,-0.46343146817232767
MU,-0.43743844235756557,-0.43889598905106475,-0.4403220186816865,-0.44160799257262273,-0.4427385615375439,-0.4438901528025954
META,-0.3684781030356102,-0.3839366541716305,-0.3996465909826479,-0.4148402909974467,-0.42741254619412183,-0.44116493078087077
QCOM,-0.3664314755114668,-0.36655743398062324,-0.3659652410959954,-0.3661341491933545,-0.36687308641398647,-0.36722666065012693
GOOGL,-0.33520782152691186,-0.34259618479403864,-0.3501439867718481,-0.357389103225101,-0.3631467956053921,-0.3696009697643525
SAP,-0.3416025477814738,-0.34508090508138567,-0.34843795425887203,-0.3518985798164782,-0.3547720871585527,-0.35785417397457475
NOW,-0.33255151325671917,-0.3393395897762001,-0.34623465456974367,-0.35287956336849347,-0.35837718271335217,-0.3645283719703132
AAPL,-0.33006389269055625,-0.3329156467182096,-0.3358582238800297,-0.33843587257913876,-0.3406993969290453,-0.343240330985649
CRM,-0.30750112737385926,-0.3161686195131204,-0.32509713895806036,-0.33356724468793586,-0.3408934735868507,-0.34902884967742664
AVGO,-0.2932157102383054,-0.306697081217116,-0.32029462029991607,-0.3335253325189145,-0.344528804925572,-0.3568349776269723
AMAT,-0.3190023810831841,-0.31841207306401964,-0.3175438162978965,-0.3171123926113618,-0.31695825750894546,-0.3166699404513588
ADI,-0.31093065911216794,-0.31153474736781195,-0.31179432894392434,-0.31233440904901955,-0.3129494451374669,-0.31334027819219545
CSCO,-0.27395728192583013,-0.279770879914829,-0.2858601855485766,-0.2914200757309372,-0.29628686270888416,-0.30217904614238866
TSLA,-0.27522662561790273,-0.27789395432475195,-0.28028568619256133,-0.2826271303082689,-0.28461051664705905,-0.2865392097618713
ADBE,-0.2600825033597697,-0.2655355912696887,-0.27105983419221413,-0.27658313187252603,-0.28121628884251637,-0.2862701192541195
ASML,-0.25458874456019054,-0.25994575647563856,-0.26510424738982363,-0.2703002178535282,-0.2747472604491598,-0.2793822741838704
PANW,-0.24140511615591154,-0.24481735132117893,-0.24842306655337507,-0.2516631146624868,-0.25444265261739923,-0.25791625906231513
TXN,-0.22806851982582343,-0.22962329376740231,-0.23095350855598692,-0.23236782930806096,-0.23370457268918443,-0.23484359330520116
ADSK,-0.20209054312665753,-0.20343830700105137,-0.20434535670160173,-0.2055822308302144,-0.20687405989089647,-0.2079473698825951
ORCL,-0.1595945029230978,-0.17538417984066862,-0.19197854703146192,-0.20758196969914763,-0.22123634081470334,-0.23781115054003238
STX,-0.18154008472375366,-0.18416552429839944,-0.18676271026998711,-0.18910638945624483,-0.19116205105668782,-0.19340379621685738
LRCX,-0.13874056032415444,-0.14302892650860055,-0.14718886815053947,-0.15133958148714274,-0.15476370810319606,-0.1586760544193963
KLAC,-0.028758739736059483,-0.02947367352630735,-0.030066555762361724,-0.030667670220631243,-0.03126565539259343,-0.03180157848941992
