Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
MSFT,-0.7683960583734285,-0.775170271793694,-0.7818542766952712,-0.7881891846088749,-0.7935034422276573,-0.7993781265674642
AMZN,-0.7153572958853436,-0.7212866443140294,-0.7275187234458427,-0.7331032801546876,-0.7378708812616042,-0.7433648638410142
NVDA,-0.7024137497959543,-0.7119520982264141,-0.7211632610515982,-0.7296839875564604,-0.7369462664567877,-0.7446845181112565
INTC,-0.6204706311559975,-0.6246116488338492,-0.6288295896156091,-0.6330620668046483,-0.6368192586575179,-0.6411136946972044
AMD,-0.44096067818778284,-0.45267683215201937,-0.4651062722002891,-0.47626193634756,-0.4860156057877282,-0.49832498371720724
TSM,-0.4378773471706099,-0.4439205017285507,-0.45000220742906927,-0.45568709637243765,-0.46045990147172877,-0.4659349011831705
IBM,-0.39626207750864273,-0.4034151416093573,-0.4109393448429246,-0.4187509783652298,-0.4246733683137963,-0.4316298896829077
MU,-0.4086797026215061,-0.4094223155247574,-0.4102554629193248,-0.4109403223519915,-0.41147290614495047,-0.41208857431317547
META,-0.33971936329955066,-0.3544629806453231,-0.36958003522028615,-0.38417262077681547,-0.39614689080152843,-0.4093633522914508
QCOM,-0.33767273577540735,-0.3370837604543159,-0.33589868533363365,-0.33546647897272325,-0.335607431021393,-0.335425082160707
GOOGL,-0.3064490817908524,-0.3131225112677313,-0.3200774310094864,-0.32672143300446976,-0.3318811402127987,-0.33779939127493264
SAP,-0.31284380804541434,-0.3156072315550783,-0.3183713984965103,-0.321230909595847,-0.3235064317659593,-0.32605259548515486
NOW,-0.3037927735206597,-0.30986591624989274,-0.31616809880738195,-0.32221189314786225,-0.32711152732075877,-0.3327267934808933
AAPL,-0.3013051529544968,-0.30344197319190225,-0.305791668117668,-0.30776820235850755,-0.30943374153645187,-0.3114387524962291
CRM,-0.2787423876377998,-0.28669494598681305,-0.29503058319569864,-0.30289957446730464,-0.3096278181942572,-0.31722727118800675
AVGO,-0.2644569705022459,-0.2772234076908086,-0.29022806453755434,-0.30285766229828326,-0.3132631495329785,-0.32503339913755236
AMAT,-0.29024364134712455,-0.2889383995377123,-0.2874772605355348,-0.2864447223907306,-0.28569260211635206,-0.2848683619619389
ADI,-0.2821719193761084,-0.2820610738415046,-0.2817277731815626,-0.2816667388283883,-0.2816837897448735,-0.28153869970277556
CSCO,-0.24519854218977064,-0.25029720638852165,-0.2557936297862149,-0.260752405510306,-0.26502120731629075,-0.2703774676529688
TSLA,-0.24646788588184323,-0.24842028079844458,-0.2502191304301996,-0.2519594600876377,-0.25334486125446565,-0.2547376312724514
ADBE,-0.23132376362371018,-0.2360619177433813,-0.24099327842985238,-0.24591546165189482,-0.24995063344992294,-0.2544685407646996
ASML,-0.22583000482413104,-0.2304720829493312,-0.23503769162746188,-0.239632547632897,-0.24348160505656638,-0.2475806956944505
PANW,-0.21264637641985204,-0.21534367779487157,-0.21835651079101334,-0.2209954444418556,-0.2231769972248058,-0.22611468057289522
TXN,-0.19930978008976394,-0.20014962024109495,-0.2008869527936252,-0.20170015908742972,-0.202438917296591,-0.20304201481578124
ADSK,-0.17333180339059803,-0.173964633474744,-0.17427880093924,-0.17491456060958316,-0.17560840449830303,-0.17614579139317518
ORCL,-0.1308357631870383,-0.14591050631436125,-0.1619119912691002,-0.1769142994785164,-0.1899706854221099,-0.20600957205061246
STX,-0.15278134498769416,-0.15469185077209208,-0.1566961545076254,-0.1584387192356136,-0.1598963956640944,-0.16160221772743746
LRCX,-0.10998182058809494,-0.11355525298229319,-0.11712231238817775,-0.1206719112665115,-0.12349805271060263,-0.1268744759299764
INTU,0.028758739736059483,0.02947367352630735,0.030066555762361724,0.030667670220631243,0.03126565539259343,0.03180157848941992
