Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
MSFT,-0.6584142377853335,-0.6616150188114008,-0.6647319643070935,-0.6675172733423633,-0.6700053895170547,-0.6725036506374878
AMZN,-0.6053754752972487,-0.6077313913317363,-0.610396411057665,-0.6124313688881762,-0.6143728285510015,-0.6164903879110378
NVDA,-0.5924319292078593,-0.598396845244121,-0.6040409486634205,-0.6090120762899489,-0.6134482137461851,-0.6178100421812801
INTC,-0.5104888105679026,-0.511056395851556,-0.5117072772274314,-0.5123901555381367,-0.5133212059469152,-0.514239218767228
AMD,-0.33097885759968787,-0.3391215791697262,-0.3479839598121114,-0.3555900250810485,-0.3625175530771255,-0.3714505077872309
TSM,-0.3278955265825149,-0.3303652487462575,-0.33287989504089155,-0.33501518510592615,-0.3369618487611261,-0.33906042525319413
IBM,-0.28628025692054776,-0.28985988862706413,-0.2938170324547469,-0.2980790670987183,-0.30117531560319366,-0.30475541375293136
MU,-0.29869788203341113,-0.2958670625424642,-0.2931331505311471,-0.29026841108548,-0.2879748534343478,-0.2852140983831991
META,-0.22973754271145574,-0.24090772766302992,-0.25245772283210843,-0.26350070951030397,-0.27264883809092577,-0.28248887636147446
QCOM,-0.22769091518731238,-0.22352850747202269,-0.21877637294545593,-0.21479456770621175,-0.2121093783107904,-0.20855060623073063
GOOGL,-0.19646726120275743,-0.1995672582854381,-0.20295511862130866,-0.20604952173795826,-0.20838308750219603,-0.21092491534495622
SAP,-0.20286198745731937,-0.20205197857278512,-0.20124908610833253,-0.2005589983293355,-0.20000837905535662,-0.19917811955517845
NOW,-0.19381095293256473,-0.19631066326759955,-0.19904578641920423,-0.20153998188135075,-0.2036134746101561,-0.20585231755091687
AAPL,-0.1913233323664018,-0.18988672020960906,-0.18866935572949023,-0.18709629109199605,-0.1859356888258492,-0.18456427656625268
CRM,-0.16876056704970482,-0.17313969300451987,-0.17790827080752092,-0.18222766320079314,-0.18612976548365462,-0.19035279525803034
AVGO,-0.15447514991415096,-0.16366815470851542,-0.17310575214937662,-0.18218575103177176,-0.1897650968223759,-0.198158923207576
AMAT,-0.18026182075902963,-0.1753831465554191,-0.17035494814735708,-0.1657728111242191,-0.1621945494057494,-0.15799388603196252
ADI,-0.1721900987880135,-0.1685058208592114,-0.1646054607933849,-0.16099482756187677,-0.15818573703427086,-0.15466422377279915
CSCO,-0.1352167216016757,-0.13674195340622847,-0.13867131739803712,-0.14008049424379448,-0.1415231546056881,-0.14350299172299236
TSLA,-0.1364860652937483,-0.1348650278161514,-0.13309681804202184,-0.1312875488211262,-0.129846808543863,-0.127863155342475
ADBE,-0.12134194303561524,-0.12250666476108812,-0.12387096604167463,-0.12524355038538332,-0.1264525807393203,-0.1275940648347232
ASML,-0.1158481842360361,-0.116916829967038,-0.11791537923928413,-0.11896063636638549,-0.11998355234596375,-0.1207062197644741
PANW,-0.1026645558317571,-0.10178842481257838,-0.1012341984028356,-0.10032353317534409,-0.09967894451420317,-0.09924020464291883
TXN,-0.089327959501669,-0.08659436725880176,-0.08376464040544745,-0.08102824782091822,-0.07894086458598837,-0.07616753888580485
ADSK,-0.06334998280250309,-0.060409380492450815,-0.05715648855106226,-0.05424264934307166,-0.052110351787700404,-0.049271315463198795
ORCL,-0.020853942598943354,-0.03235525333206807,-0.044789678880922446,-0.05624238821200489,-0.06647263271150727,-0.07913509612063607
STX,-0.04279952439959922,-0.04113659778979889,-0.039573842119447644,-0.03776680796910209,-0.03639834295349176,-0.034727741797461076
KLAC,0.10998182058809494,0.11355525298229319,0.11712231238817775,0.1206719112665115,0.12349805271060263,0.1268744759299764
INTU,0.13874056032415444,0.14302892650860055,0.14718886815053947,0.15133958148714274,0.15476370810319606,0.1586760544193963
