Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
MSFT,-0.4286766950738778,-0.4207072911483709,-0.41227424147498504,-0.4040165638320594,-0.3973565514261289,-0.3900147742760134
AMZN,-0.37563793258579287,-0.36682366366870633,-0.3579386882255565,-0.34893065937787215,-0.34172399046007573,-0.33400151154956337
NVDA,-0.36269438649640356,-0.35748911758109103,-0.3515832258313121,-0.3455113667796449,-0.3407993756552593,-0.33532116581980564
INTC,-0.28075126785644683,-0.2701486681885261,-0.25924955439532293,-0.2488894460278328,-0.24067236785598944,-0.23175034240575354
AMD,-0.10124131488823213,-0.09821385150669626,-0.09552623698000295,-0.09208931557074451,-0.08986871498619975,-0.08896163142575642
TSM,-0.09815798387105917,-0.08945752108322758,-0.08042217220878312,-0.07151447559562218,-0.06431301067020034,-0.05657154889171967
IBM,-0.056542714209092015,-0.04895216096403421,-0.04135930962263845,-0.03457835758841432,-0.02852647751226789,-0.022266537391456898
MU,-0.06896033932195539,-0.054959334879434274,-0.040675427699038647,-0.02676770157517605,-0.01532601534342204,-0.0027252220217246492
QCOM,0.002046627524143363,0.01737922019100724,0.0336813498866525,0.04870614180409222,0.06053945978013536,0.07393827013074383
GOOGL,0.03327028150869832,0.04134046937759184,0.04950260421079977,0.0574511877723457,0.06426575058872974,0.07156396101651824
SAP,0.026875555254136374,0.03885574909024481,0.0512086367237759,0.06294171118096847,0.07264045903556915,0.08331075680629602
NOW,0.035926589778891016,0.044597064395430375,0.053411936412904204,0.061960727628953216,0.06903536348076966,0.07663655881055759
AAPL,0.038414210345053934,0.051021007453420864,0.0637883671026182,0.07640441841830792,0.08671314926507656,0.09792459979522178
CRM,0.06097697566175092,0.06776803465851006,0.07454945202458751,0.08127304630951082,0.08651907260727115,0.09213608110344412
AVGO,0.07526239279730479,0.0772395729545145,0.07935197068273181,0.0813149584785322,0.08288374126854986,0.08432995315389846
AMAT,0.04947572195242611,0.06552458110761084,0.08210277468475136,0.09772789838608487,0.11045428868517637,0.12449499032951195
ADI,0.05754744392344224,0.07240190680381853,0.08785226203872354,0.10250588194842719,0.11446310105665491,0.1278246525886753
CSCO,0.09452082110978005,0.10416577425680146,0.11378640543407131,0.12342021526650948,0.13112568348523768,0.1389858846384821
TSLA,0.09325147741770745,0.10604269984687853,0.1193609047900866,0.13221316068917777,0.14280202954706278,0.15462572101899946
ADBE,0.1083955996758405,0.1184010629019418,0.1285867567904338,0.13825715912492065,0.14619625735160546,0.15489481152675127
ASML,0.11388935847541964,0.12399089769599192,0.1345423435928243,0.14454007314391848,0.15266528574496202,0.16178265659700036
PANW,0.12707298687969865,0.13911930285045154,0.15122352442927284,0.16317717633495987,0.1729698935767226,0.18324867171855563
TXN,0.14040958320978675,0.15431336040422816,0.16869308242666098,0.18247246168938575,0.1937079735049374,0.2063213374756696
ADSK,0.16638755990895265,0.1804983471705791,0.19530123428104618,0.2092580601672323,0.22053848630322537,0.23321756089827567
ORCL,0.2088836001125124,0.20855247433096186,0.207668043951186,0.20725832129829908,0.2061762053794185,0.2033537802408384
STX,0.18693801831185652,0.19977112987323103,0.2128838807126608,0.22573390154120188,0.236250495137434,0.24776113456401339
LRCX,0.22973754271145574,0.24090772766302992,0.25245772283210843,0.26350070951030397,0.27264883809092577,0.28248887636147446
KLAC,0.33971936329955066,0.3544629806453231,0.36958003522028615,0.38417262077681547,0.39614689080152843,0.4093633522914508
INTU,0.3684781030356102,0.3839366541716305,0.3996465909826479,0.4148402909974467,0.42741254619412183,0.44116493078087077
