Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
AMZN,0.05303876248808492,0.053883627479664575,0.054335553249428514,0.05508590445418726,0.05563256096605318,0.05601326272645002
NVDA,0.06598230857747422,0.06321817356727988,0.06069101564367296,0.058505197052414526,0.056557175770869605,0.05469360845620774
INTC,0.14792542721743096,0.1505586229598448,0.1530246870796621,0.1551271178042266,0.15668418357013947,0.15826443187025985
AMD,0.32743538018564566,0.32249343964167465,0.3167480044949821,0.3119272482613149,0.30748783643992916,0.30105314285025697
TSM,0.3305187112028186,0.33124977006514333,0.3318520692662019,0.33250208823643723,0.33304354075592857,0.3334432253842937
IBM,0.3721339808647858,0.3717551301843367,0.3709149318523466,0.3694382062436451,0.368830073913861,0.3677482368845565
MU,0.3597163557519224,0.36574795626893664,0.3715988137759464,0.37724886225688337,0.3820305360827069,0.38728955225428874
META,0.4286766950738778,0.4207072911483709,0.41227424147498504,0.4040165638320594,0.3973565514261289,0.3900147742760134
QCOM,0.43072332259802115,0.43808651133937815,0.44595559136163754,0.45272270563615163,0.4578960112062643,0.4639530444067572
GOOGL,0.4619469765825761,0.46204776052596275,0.4617768456857848,0.4614677516044051,0.46162230201485865,0.46157873529253163
SAP,0.45555225032801416,0.4595630402386157,0.46348287819876094,0.4669582750130279,0.46999701046169806,0.4733255310823094
NOW,0.4646032848527688,0.4653043555438013,0.46568617788788924,0.46597729146101263,0.4663919149068986,0.466651333086571
AAPL,0.4670909054189317,0.4717282986017918,0.47606260857760324,0.48042098225036733,0.4840697006912055,0.48793937407123517
CRM,0.4896536707356287,0.48847532580688097,0.48682369349957255,0.48528961014157024,0.48387562403340006,0.4821508553794575
AVGO,0.5039390878711826,0.4979468641028854,0.49162621215771685,0.4853315223105916,0.48024029269467877,0.47434472742991185
AMAT,0.4781524170263039,0.48623187225598175,0.4943770161597364,0.5017444622181443,0.5078108401113053,0.5145097646055253
ADI,0.48622413899732003,0.49310919795218944,0.5001265035137086,0.5065224457804867,0.5118196524827838,0.5178394268646886
CSCO,0.5231975161836578,0.5248730654051723,0.5260606469090563,0.5274367790985689,0.5284822349113666,0.5290006589144955
TSLA,0.5219281724915852,0.5267499909952494,0.5316351462650717,0.5362297245212372,0.5401585809731917,0.5446404952950128
ADBE,0.5370722947497183,0.5391083540503128,0.5408609982654189,0.5422737229569801,0.5435528087777344,0.5449095858027646
ASML,0.5425660535492974,0.5446981888443628,0.5468165850678093,0.5485566369759779,0.550021837171091,0.5517974308730138
PANW,0.5557496819535764,0.5598265939988225,0.5634977659042579,0.5671937401670193,0.5703264450028516,0.573263445994569
TXN,0.5690862782836645,0.5750206515525991,0.580967323901646,0.5864890255214452,0.5910645249310663,0.596336111751683
ADSK,0.5950642549828304,0.60120563831895,0.6075754757560312,0.6132746239992917,0.6178950377293543,0.623232335174289
ORCL,0.6375602951863901,0.6292597654793328,0.619942285426171,0.6112748851303584,0.6035327568055474,0.5933685545168518
STX,0.6156147133857344,0.6204784210216019,0.6251581221876459,0.6297504653732613,0.6336070465635629,0.6377759088400268
LRCX,0.6584142377853335,0.6616150188114008,0.6647319643070935,0.6675172733423633,0.6700053895170547,0.6725036506374878
KLAC,0.7683960583734285,0.775170271793694,0.7818542766952712,0.7881891846088749,0.7935034422276573,0.7993781265674642
INTU,0.797154798109488,0.8046439453200014,0.8119208324576329,0.8188568548295061,0.8247690976202507,0.8311797050568841
