Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
MSFT,-0.3597163557519224,-0.36574795626893664,-0.3715988137759464,-0.37724886225688337,-0.3820305360827069,-0.38728955225428874
AMZN,-0.3066775932638375,-0.31186432878927206,-0.3172632605265179,-0.3221629578026961,-0.3263979751166537,-0.3312762895278387
NVDA,-0.2937340471744482,-0.30252978270165676,-0.3109077981322734,-0.31874366520446884,-0.32547336031183727,-0.332595943798081
INTC,-0.21179092853449144,-0.21518933330909185,-0.2185741266962843,-0.22212174445265676,-0.2253463525125674,-0.2290251203840289
AMD,-0.03228097556627674,-0.043254516627261985,-0.05485080928096431,-0.06532161399556846,-0.07454269964277771,-0.08623640940403177
TSM,-0.029197644549103785,-0.0344981862037933,-0.03974674450974447,-0.044746774020446134,-0.048986995326778304,-0.05384632686999502
IBM,0.012417625112863373,0.006007173915400066,-0.000683881923599805,-0.007810656013238271,-0.01320046216884585,-0.01954131536973225
META,0.06896033932195539,0.054959334879434274,0.040675427699038647,0.02676770157517605,0.01532601534342204,0.0027252220217246492
QCOM,0.07100696684609875,0.07233855507044151,0.07435677758569115,0.07547384337926827,0.0758654751235574,0.07666349215246848
GOOGL,0.1022306208306537,0.09629980425702611,0.09017803190983842,0.08421888934752175,0.07959176593215178,0.07428918303824289
SAP,0.09583589457609176,0.09381508396967908,0.09188406442281455,0.08970941275614452,0.08796647437899119,0.08603597882802066
NOW,0.1048869291008464,0.09955639927486465,0.09408736411194285,0.08872842920412927,0.0843613788241917,0.07936178083228224
AAPL,0.10737454966700932,0.10598034233285514,0.10446379480165685,0.10317211999348397,0.1020391646084986,0.10064982181694643
CRM,0.1299373149837063,0.12272736953794433,0.11522487972362616,0.10804074788468687,0.10184508795069319,0.09486130312516877
AVGO,0.14422273211926018,0.13219890783394878,0.12002739838177046,0.10808266005370826,0.0982097566119719,0.08705517517562311
AMAT,0.1184360612743815,0.12048391598704511,0.12277820238379,0.12449559996126092,0.1257803040285984,0.1272202123512366
ADI,0.12650778324539763,0.1273612416832528,0.12852768973776219,0.12927358352360324,0.12978911640007695,0.13054987461039996
CSCO,0.16348116043173544,0.15912510913623573,0.15446183313310996,0.15018791684168553,0.14645169882865972,0.14171110666020675
TSLA,0.16221181673966284,0.1610020347263128,0.16003633248912524,0.15898086226435382,0.15812804489048482,0.1573509430407241
ADBE,0.1773559389977959,0.17336039778137607,0.16926218448947244,0.1650248607000967,0.1615222726950275,0.15762003354847592
ASML,0.18284969779737503,0.1789502325754262,0.17521777129186294,0.17130777471909453,0.16799130108838406,0.164507878618725
PANW,0.19603332620165403,0.19407863772988582,0.19189895212831148,0.18994487791013592,0.18829590892014464,0.18597389374028028
TXN,0.20936992253174214,0.20927269528366244,0.20936851012569963,0.2092401632645618,0.20903398884835944,0.20904655949739426
ADSK,0.23534789923090804,0.23545768205001338,0.23597666198008482,0.23602576174240836,0.2358645016466474,0.23594278292000032
ORCL,0.2778439394344678,0.26351180921039613,0.24834347165022463,0.23402602287347513,0.22150222072284054,0.20607900226256304
STX,0.2558983576338119,0.2547304647526653,0.25355930841169944,0.2525016031163779,0.25157651048085605,0.25048635658573803
LRCX,0.29869788203341113,0.2958670625424642,0.2931331505311471,0.29026841108548,0.2879748534343478,0.2852140983831991
KLAC,0.4086797026215061,0.4094223155247574,0.4102554629193248,0.4109403223519915,0.41147290614495047,0.41208857431317547
INTU,0.43743844235756557,0.43889598905106475,0.4403220186816865,0.44160799257262273,0.4427385615375439,0.4438901528025954
