Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
MSFT,-0.4646032848527688,-0.4653043555438013,-0.46568617788788924,-0.46597729146101263,-0.4663919149068986,-0.466651333086571
AMZN,-0.4115645223646839,-0.4114207280641367,-0.4113506246384607,-0.41089138700682537,-0.4107593539408454,-0.41063807036012095
NVDA,-0.3986209762752946,-0.4020861819765214,-0.4049951622442163,-0.4074720944085981,-0.40983473913602897,-0.41195772463036323
INTC,-0.31667785763533784,-0.3147457325839565,-0.31266149080822714,-0.310850173656786,-0.3097077313367591,-0.3083869012163111
AMD,-0.13716790466712314,-0.14281091590212663,-0.14893817339290716,-0.15405004319969773,-0.1589040784669694,-0.165598190236314
TSM,-0.1340845736499502,-0.13405458547865795,-0.13383410862168732,-0.1334752032245754,-0.13334837415097,-0.13320810770227726
IBM,-0.09246930398798303,-0.09354922535946458,-0.09477124603554266,-0.09653908521736754,-0.09756184099303755,-0.09890309620201448
MU,-0.1048869291008464,-0.09955639927486465,-0.09408736411194285,-0.08872842920412927,-0.0843613788241917,-0.07936178083228224
META,-0.035926589778891016,-0.044597064395430375,-0.053411936412904204,-0.061960727628953216,-0.06903536348076966,-0.07663655881055759
QCOM,-0.03387996225474765,-0.027217844204423136,-0.019730586526251703,-0.013254585824860998,-0.0084959037006343,-0.002698288679813754
GOOGL,-0.0026563082701926977,-0.0032565950178385372,-0.003909332202104432,-0.004509539856607514,-0.0047696128920399206,-0.005072597794039346
SAP,-0.009051034524754642,-0.005741315305185568,-0.002203299689128302,0.0009809835520152577,0.0036050955547994867,0.006674197995738429
AAPL,0.002487620566162918,0.006423943057990489,0.010376430689714,0.014443690789354702,0.0176777857843069,0.02128804098466419
CRM,0.025050385882859905,0.023170970263079682,0.02113751561168331,0.019312318680557605,0.01748370912650149,0.015499522292886536
AVGO,0.03933580301841377,0.03264250855908413,0.025940034269827605,0.01935423084957899,0.013848377787780197,0.007693394343340876
AMAT,0.013549132173535094,0.02092751671218046,0.028690838271847152,0.03576717075713165,0.04141892520440671,0.04785843151895436
ADI,0.021620854144551227,0.027804842408388153,0.034440325625819335,0.040545154319473975,0.04542773757588525,0.05118809377811773
CSCO,0.058594231330889035,0.05956870986137108,0.06037446902116711,0.061459487637556265,0.062090320004468014,0.06234932582792452
TSLA,0.057324887638816435,0.061445635451448155,0.0659489683771824,0.07025243306022455,0.07376666606629312,0.07798916220844188
ADBE,0.07246900989694949,0.07380399850651143,0.0751748203775296,0.07629643149596743,0.0771608938708358,0.07825825271619369
ASML,0.07796276869652863,0.07939383330056154,0.0811304071799201,0.08257934551496526,0.08362992226419236,0.08514609778644278
PANW,0.09114639710080763,0.09452223845502117,0.09781158801636863,0.10121644870600666,0.10393453009595294,0.10661211290799805
TXN,0.10448299343089573,0.10971629600879779,0.11528114601375677,0.12051173406043253,0.12467261002416774,0.12968477866511202
ADSK,0.13046097013006164,0.13590128277514874,0.14188929786814197,0.1472973325382791,0.1515031228224557,0.15658100208771808
ORCL,0.17295701033362137,0.16395540993553148,0.15425610753828178,0.14529759366934586,0.13714084189864884,0.1267172214302808
STX,0.1510114285329655,0.15517406547780066,0.15947194429975659,0.16377317391224866,0.16721513165666435,0.1711245757534558
LRCX,0.19381095293256473,0.19631066326759955,0.19904578641920423,0.20153998188135075,0.2036134746101561,0.20585231755091687
KLAC,0.3037927735206597,0.30986591624989274,0.31616809880738195,0.32221189314786225,0.32711152732075877,0.3327267934808933
INTU,0.33255151325671917,0.3393395897762001,0.34623465456974367,0.35287956336849347,0.35837718271335217,0.3645283719703132
