Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
MSFT,-0.06598230857747422,-0.06321817356727988,-0.06069101564367296,-0.058505197052414526,-0.056557175770869605,-0.05469360845620774
AMZN,-0.012943546089389302,-0.009334546087615303,-0.006355462394244449,-0.0034192925982272637,-0.000924614804816426,0.0013196542702422764
INTC,0.08194311863995674,0.08734044939256491,0.09233367143598914,0.09662192075181208,0.10012700779926986,0.1035708234140521
AMD,0.26145307160817144,0.2592752660743948,0.2560569888513091,0.2534220512089004,0.25093066066905956,0.24635953439404923
TSM,0.2645364026253444,0.26803159649786346,0.27116105362252896,0.2739968911840227,0.27648636498505896,0.278749616928086
IBM,0.30615167228731155,0.3085369566170568,0.3102239162086736,0.31093300919123057,0.3122728981429914,0.31305462842834875
MU,0.2937340471744482,0.30252978270165676,0.3109077981322734,0.31874366520446884,0.32547336031183727,0.332595943798081
META,0.36269438649640356,0.35748911758109103,0.3515832258313121,0.3455113667796449,0.3407993756552593,0.33532116581980564
QCOM,0.3647410140205469,0.37486833777209827,0.3852645757179646,0.3942175085837371,0.40133883543539467,0.4092594359505495
GOOGL,0.3959646680051019,0.39882958695868287,0.40108583004211185,0.4029625545519906,0.40506512624398905,0.4068851268363239
SAP,0.38956994175053994,0.39634486667133584,0.402791862555088,0.40845307796061336,0.41343983469082846,0.41863192262610166
NOW,0.3986209762752946,0.4020861819765214,0.4049951622442163,0.4074720944085981,0.40983473913602897,0.41195772463036323
AAPL,0.4011085968414575,0.4085101250345119,0.4153715929339303,0.4219157851979528,0.42751252492033587,0.4332457656150274
CRM,0.4236713621581545,0.4252571522396011,0.4261326778558996,0.4267844130891557,0.42731844826253046,0.42745724692324977
AVGO,0.43795677929370835,0.43472869053560553,0.4309351965140439,0.4268263252581771,0.42368311692380917,0.4196511189737041
AMAT,0.4121701084488297,0.42301369868870187,0.43368600051606343,0.44323926516572976,0.4512536643404357,0.4598161561493176
ADI,0.4202418304198458,0.42989102438490956,0.4394354878700356,0.4480172487280721,0.4552624767119142,0.46314581840848096
CSCO,0.4572152076061836,0.4616548918378925,0.4653696312653834,0.46893158204615437,0.471925059140497,0.47430705045828775
TSLA,0.455945863914111,0.46353181742796956,0.47094413062139867,0.47772452746882266,0.4836014052023221,0.4899468868388051
ADBE,0.47108998617224407,0.47589018048303283,0.48016998262174587,0.48376852590456554,0.48699563300686477,0.4902159773465569
ASML,0.4765837449718232,0.48148001527708295,0.4861255694241364,0.49005143992356337,0.4934646614002213,0.497103822416806
PANW,0.4897673733761022,0.4966084204315426,0.5028067502605849,0.5086885431146048,0.513769269231982,0.5185698375383613
TXN,0.5031039697061903,0.5118024779853192,0.5202763082579731,0.5279838284690306,0.5345073491601967,0.5416425032954753
ADSK,0.5290819464053562,0.5379874647516701,0.5468844601123583,0.5547694269468773,0.5613378619584847,0.5685387267180813
ORCL,0.5715779866089159,0.5660415919120529,0.5592512697824981,0.552769688077944,0.5469755810346778,0.538674946060644
STX,0.5496324048082601,0.557260247454322,0.5644671065439728,0.5712452683208468,0.5770498707926933,0.583082300383819
LRCX,0.5924319292078593,0.598396845244121,0.6040409486634205,0.6090120762899489,0.6134482137461851,0.6178100421812801
KLAC,0.7024137497959543,0.7119520982264141,0.7211632610515982,0.7296839875564604,0.7369462664567877,0.7446845181112565
INTU,0.7311724895320137,0.7414257717527215,0.75122981681396,0.7603516577770916,0.7682119218493811,0.7764860966006764
