Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
MSFT,-0.6375602951863901,-0.6292597654793328,-0.619942285426171,-0.6112748851303584,-0.6035327568055474,-0.5933685545168518
AMZN,-0.5845215326983053,-0.5753761379996682,-0.5656067321767425,-0.5561889806761713,-0.5479001958394942,-0.5373552917904018
NVDA,-0.5715779866089159,-0.5660415919120529,-0.5592512697824981,-0.552769688077944,-0.5469755810346778,-0.538674946060644
INTC,-0.4896348679689592,-0.478701142519488,-0.4669175983465089,-0.4561477673261319,-0.44684857323540794,-0.43510412264659193
AMD,-0.3101249150007445,-0.3067663258376581,-0.30319428093118894,-0.2993476368690436,-0.29604492036561825,-0.2923154116665948
TSM,-0.30704158398357156,-0.29800999541418943,-0.2880902161599691,-0.27877279689392126,-0.27048921604961884,-0.25992532913255806
IBM,-0.2654263143216044,-0.25750463529499606,-0.24902735357382444,-0.2418366788867134,-0.2347026828916864,-0.2256203176322953
MU,-0.2778439394344678,-0.26351180921039613,-0.24834347165022463,-0.23402602287347513,-0.22150222072284054,-0.20607900226256304
META,-0.2088836001125124,-0.20855247433096186,-0.207668043951186,-0.20725832129829908,-0.2061762053794185,-0.2033537802408384
QCOM,-0.20683697258836903,-0.19117325413995462,-0.1739866940645335,-0.15855217949420686,-0.14563674559928314,-0.12941551011009456
GOOGL,-0.17561331860381407,-0.16721200495337002,-0.15816543974038622,-0.14980713352595337,-0.14191045479068876,-0.13178981922432015
SAP,-0.18200804485837602,-0.16969672524071705,-0.15645940722741009,-0.1443166101173306,-0.13353574634384935,-0.12004302343454237
NOW,-0.17295701033362137,-0.16395540993553148,-0.15425610753828178,-0.14529759366934586,-0.13714084189864884,-0.1267172214302808
AAPL,-0.17046938976745846,-0.157531466877541,-0.14387967684856778,-0.13085390287999116,-0.11946305611434194,-0.10542918044561661
CRM,-0.14790662445076147,-0.1407844396724518,-0.13311859192659847,-0.12598527498878825,-0.11965713277214735,-0.11121769913739427
AVGO,-0.1336212073152076,-0.13131290137644736,-0.12831607326845418,-0.12594336281976687,-0.12329246411086864,-0.11902382708693993
AMAT,-0.15940787816008628,-0.14302789322335102,-0.12556526926643463,-0.10953042291221421,-0.09572191669424213,-0.07885878991132644
ADI,-0.15133615618907015,-0.13615056752714333,-0.11981578191246245,-0.10475243934987188,-0.09171310432276358,-0.07552912765216308
CSCO,-0.11436277900273234,-0.1043867000741604,-0.09388163851711467,-0.0838381060317896,-0.07505052189418082,-0.06436789560235628
TSLA,-0.11563212269480494,-0.10250977448408333,-0.08830713916109939,-0.07504516060912131,-0.06337417583235572,-0.048728059221838926
ADBE,-0.10048800043667189,-0.09015141142902006,-0.07908128716075219,-0.06900116217337843,-0.059979948027813035,-0.048458968714087114
ASML,-0.09499424163709275,-0.08456157663496994,-0.07312570035836169,-0.0627182481543806,-0.05351091963445648,-0.041571123643838026
PANW,-0.08181061323281374,-0.06943317148051031,-0.05644451952191315,-0.0440811449633392,-0.0332063118026959,-0.020105108522282755
TXN,-0.06847401690272564,-0.054239113926733695,-0.03897496152452501,-0.02478585960891333,-0.012468231874481095,0.0029675572348312196
ADSK,-0.04249604020355974,-0.028054127160382747,-0.012366809670139811,0.001999738868933232,0.01436228092380687,0.029863780657437278
STX,-0.021945581800655867,-0.008781344457730822,0.005215836761474801,0.0184755802429028,0.030074289758015516,0.044407354323175
LRCX,0.020853942598943354,0.03235525333206807,0.044789678880922446,0.05624238821200489,0.06647263271150727,0.07913509612063607
KLAC,0.1308357631870383,0.14591050631436125,0.1619119912691002,0.1769142994785164,0.1899706854221099,0.20600957205061246
INTU,0.1595945029230978,0.17538417984066862,0.19197854703146192,0.20758196969914763,0.22123634081470334,0.23781115054003238
