Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
MSFT,-0.5557496819535764,-0.5598265939988225,-0.5634977659042579,-0.5671937401670193,-0.5703264450028516,-0.573263445994569
AMZN,-0.5027109194654915,-0.5059429665191579,-0.5091622126548294,-0.512107835712832,-0.5146938840367983,-0.517250183268119
NVDA,-0.4897673733761022,-0.4966084204315426,-0.5028067502605849,-0.5086885431146048,-0.513769269231982,-0.5185698375383613
INTC,-0.4078242547361455,-0.40926797103897766,-0.41047307882459577,-0.4120666223627927,-0.41364226143271204,-0.4149990141243092
AMD,-0.22831430176793077,-0.2373331543571478,-0.2467497614092758,-0.2552664919057044,-0.26283860856292235,-0.27221030314431205
TSM,-0.22523097075075782,-0.22857682393367912,-0.23164569663805595,-0.23469165193058206,-0.23728290424692294,-0.2398202206102753
IBM,-0.18361570108879066,-0.18807146381448575,-0.1925828340519113,-0.1977555339233742,-0.2014963710889905,-0.20551520911001253
MU,-0.19603332620165403,-0.19407863772988582,-0.19189895212831148,-0.18994487791013592,-0.18829590892014464,-0.18597389374028028
META,-0.12707298687969865,-0.13911930285045154,-0.15122352442927284,-0.16317717633495987,-0.1729698935767226,-0.18324867171855563
QCOM,-0.12502635935555528,-0.1217400826594443,-0.11754217454262034,-0.11447103453086765,-0.11243043379658724,-0.1093104015878118
GOOGL,-0.09380270537100033,-0.0977788334728597,-0.10172092021847307,-0.10572598856261417,-0.10870414298799286,-0.11168471070203739
SAP,-0.10019743162556227,-0.10026355376020674,-0.10001488770549694,-0.1002354651539914,-0.10032943454115345,-0.09993791491225962
NOW,-0.09114639710080763,-0.09452223845502117,-0.09781158801636863,-0.10121644870600666,-0.10393453009595294,-0.10661211290799805
AAPL,-0.08865877653464471,-0.08809829539703068,-0.08743515732665463,-0.08677275791665195,-0.08625674431164604,-0.08532407192333386
CRM,-0.06609601121794773,-0.07135126819194149,-0.07667407240468532,-0.08190413002544905,-0.08645082096945145,-0.09111259061511151
AVGO,-0.05181059408239386,-0.06187972989593704,-0.07187155374654103,-0.08186221785642767,-0.09008615230817274,-0.09891871856465717
AMAT,-0.07759726492727254,-0.07359472174284071,-0.06912074974452148,-0.065449277948875,-0.06251560489154623,-0.05875368138904369
ADI,-0.0695255429562564,-0.06671739604663302,-0.0633712623905493,-0.06067129438653268,-0.058506792520067685,-0.05542401912988032
CSCO,-0.032552165769918595,-0.034953528593650085,-0.037437118995201524,-0.03975696106845039,-0.041844210091484924,-0.04426278708007353
TSLA,-0.033821509461991195,-0.03307660300357301,-0.03186261963918624,-0.030964015645782106,-0.03016786402965982,-0.02862295069955617
ADBE,-0.018677387203858142,-0.020718239948509742,-0.02263676763883904,-0.024920017210039225,-0.026773636225117137,-0.02835386019180436
ASML,-0.013183628404279002,-0.015128405154459623,-0.01668118083644854,-0.018637103191041393,-0.02030460783176058,-0.02146601512155527
TXN,0.013336596330088102,0.015194057553776619,0.01746955799738814,0.019295285354425873,0.020738079928214803,0.023072665757113975
ADSK,0.03931457302925401,0.04137904432012757,0.04407770985177334,0.046080883832272435,0.04756859272650277,0.04996888917972003
ORCL,0.08181061323281374,0.06943317148051031,0.05644451952191315,0.0440811449633392,0.0332063118026959,0.020105108522282755
STX,0.05986503143215788,0.06065182702277949,0.06166035628338795,0.062556725206242,0.06328060156071141,0.06451246284545775
LRCX,0.1026645558317571,0.10178842481257838,0.1012341984028356,0.10032353317534409,0.09967894451420317,0.09924020464291883
KLAC,0.21264637641985204,0.21534367779487157,0.21835651079101334,0.2209954444418556,0.2231769972248058,0.22611468057289522
INTU,0.24140511615591154,0.24481735132117893,0.24842306655337507,0.2516631146624868,0.25444265261739923,0.25791625906231513
