Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
MSFT,-0.43072332259802115,-0.43808651133937815,-0.44595559136163754,-0.45272270563615163,-0.4578960112062643,-0.4639530444067572
AMZN,-0.37768456010993623,-0.3842028838597136,-0.391620038112209,-0.39763680118196437,-0.4022634502402111,-0.4079397816803072
NVDA,-0.3647410140205469,-0.37486833777209827,-0.3852645757179646,-0.3942175085837371,-0.40133883543539467,-0.4092594359505495
INTC,-0.2827978953805902,-0.28752788837953336,-0.29293090428197543,-0.297595587831925,-0.3012118276361248,-0.3056886125364974
AMD,-0.10328794241237549,-0.1155930716977035,-0.12920758686665546,-0.14079545737483673,-0.1504081747663351,-0.16289990155650025
TSM,-0.10020461139520254,-0.10683674127423481,-0.11410352209543562,-0.1202206173997144,-0.1248524704503357,-0.1305098190224635
IBM,-0.05858934173323538,-0.06633138115504145,-0.07504065950929095,-0.08328449939250654,-0.08906593729240325,-0.09620480752220073
MU,-0.07100696684609875,-0.07233855507044151,-0.07435677758569115,-0.07547384337926827,-0.0758654751235574,-0.07666349215246848
META,-0.002046627524143363,-0.01737922019100724,-0.0336813498866525,-0.04870614180409222,-0.06053945978013536,-0.07393827013074383
GOOGL,0.031223653984554955,0.0239612491865846,0.01582125432414727,0.008745045968253484,0.003726290808594379,-0.0023743091142255923
SAP,0.02482892772999301,0.021476528899237568,0.0175272868371234,0.014235569376876256,0.012100999255433786,0.009372486675552183
NOW,0.03387996225474765,0.027217844204423136,0.019730586526251703,0.013254585824860998,0.0084959037006343,0.002698288679813754
AAPL,0.03636758282091057,0.033641787262413625,0.030107017215965703,0.0276982766142157,0.0261736894849412,0.023986329664477946
CRM,0.05893034813760756,0.05038881446750282,0.040868102137935014,0.032566904505418603,0.02597961282713579,0.01819781097270029
AVGO,0.07321576527316143,0.05986035276350726,0.04567062079607931,0.03260881667443999,0.022344281488414497,0.01039168302315463
AMAT,0.04742909442828275,0.0481453609166036,0.048421424798098855,0.04902175658199265,0.04991482890504101,0.05055672019876811
ADI,0.05550081639929888,0.05502268661281129,0.05417091215207104,0.05379974014433497,0.05392364127651955,0.05388638245793148
CSCO,0.09247419358563669,0.08678655406579422,0.08010505554741881,0.07471407346241726,0.07058622370510231,0.06504761450773827
TSLA,0.09120484989356409,0.08866347965587129,0.0856795549034341,0.08350701888508555,0.08226256976692742,0.08068745088825563
ADBE,0.10634897215169714,0.10102184271093456,0.0949054069037813,0.08955101732082843,0.0856567975714701,0.08095654139600744
ASML,0.11184273095127628,0.10661167750498468,0.1008609937061718,0.09583393133982626,0.09212582596482666,0.08784438646625653
PANW,0.12502635935555528,0.1217400826594443,0.11754217454262034,0.11447103453086765,0.11243043379658724,0.1093104015878118
TXN,0.13836295568564339,0.13693414021322092,0.13501173254000848,0.13376631988529353,0.13316851372480204,0.13238306734492578
ADSK,0.1643409323848093,0.16311912697957187,0.16161988439439368,0.1605519183631401,0.15999902652309,0.15927929076753183
ORCL,0.20683697258836903,0.19117325413995462,0.1739866940645335,0.15855217949420686,0.14563674559928314,0.12941551011009456
STX,0.18489139078771316,0.1823919096822238,0.1792025308260083,0.17702775973710966,0.17571103535729865,0.17382286443326955
LRCX,0.22769091518731238,0.22352850747202269,0.21877637294545593,0.21479456770621175,0.2121093783107904,0.20855060623073063
KLAC,0.33767273577540735,0.3370837604543159,0.33589868533363365,0.33546647897272325,0.335607431021393,0.335425082160707
INTU,0.3664314755114668,0.36655743398062324,0.3659652410959954,0.3661341491933545,0.36687308641398647,0.36722666065012693
