Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
MSFT,-0.45555225032801416,-0.4595630402386157,-0.46348287819876094,-0.4669582750130279,-0.46999701046169806,-0.4733255310823094
AMZN,-0.40251348783992924,-0.40567941275895114,-0.4091473249493324,-0.41187237055884063,-0.4143644494956449,-0.4173122683558594
NVDA,-0.38956994175053994,-0.39634486667133584,-0.402791862555088,-0.40845307796061336,-0.41343983469082846,-0.41863192262610166
INTC,-0.3076268231105832,-0.3090044172787709,-0.31045819111909884,-0.3118311572088013,-0.3133128268915586,-0.31506109921204956
AMD,-0.1281168701423685,-0.13706960059694107,-0.14673487370377886,-0.15503102675171299,-0.1625091740217689,-0.17227238823205243
TSM,-0.12503353912519555,-0.12831327017347238,-0.13163080893255902,-0.13445618677659066,-0.1369534697057695,-0.13988230569801569
IBM,-0.08341826946322839,-0.08780791005427901,-0.09256794634641435,-0.0975200687693828,-0.10116693654783704,-0.10557729419775291
MU,-0.09583589457609176,-0.09381508396967908,-0.09188406442281455,-0.08970941275614452,-0.08796647437899119,-0.08603597882802066
META,-0.026875555254136374,-0.03885574909024481,-0.0512086367237759,-0.06294171118096847,-0.07264045903556915,-0.08331075680629602
QCOM,-0.02482892772999301,-0.021476528899237568,-0.0175272868371234,-0.014235569376876256,-0.012100999255433786,-0.009372486675552183
GOOGL,0.006394726254561944,0.002484720287347031,-0.00170603251297613,-0.005490523408622772,-0.008374708446839407,-0.011746795789777775
NOW,0.009051034524754642,0.005741315305185568,0.002203299689128302,-0.0009809835520152577,-0.0036050955547994867,-0.006674197995738429
AAPL,0.01153865509091756,0.012165258363176057,0.012579730378842302,0.013462707237339444,0.014072690229507412,0.014613842988925763
CRM,0.03410142040761455,0.02891228556826525,0.023340815300811613,0.018331335128542348,0.013878613571702003,0.008825324297148107
AVGO,0.048386837543168415,0.038383823864269695,0.028143333958955907,0.018373247297563733,0.01024328223298071,0.0010191963476024468
AMAT,0.022600166698289736,0.02666883201736603,0.030894137960975454,0.03478618720511639,0.03781382964960722,0.04118423352321593
ADI,0.03067188866930587,0.03354615771357372,0.036643625314947637,0.03956417076745872,0.041822642021085765,0.0445138957823793
CSCO,0.06764526585564368,0.06531002516655665,0.06257776871029541,0.06047850408554101,0.05848522444966853,0.05567512783218609
TSLA,0.06637592216357108,0.06718695075663372,0.0681522680663107,0.06927144950820929,0.07016157051149363,0.07131496421270345
ADBE,0.08152004442170413,0.079545313811697,0.0773781200666579,0.07531544794395217,0.07355579831603631,0.07158405472045526
ASML,0.08701380322128327,0.08513514860574711,0.0833337068690484,0.08159836196295,0.08002482670939287,0.07847189979070435
PANW,0.10019743162556227,0.10026355376020674,0.10001488770549694,0.1002354651539914,0.10032943454115345,0.09993791491225962
TXN,0.11353402795565037,0.11545761131398335,0.11748444570288508,0.11953075050841727,0.12106751446936825,0.12301058066937359
ADSK,0.13951200465481628,0.1416425980803343,0.14409259755727027,0.14631634898626383,0.14789802726765622,0.14990680409197965
ORCL,0.18200804485837602,0.16969672524071705,0.15645940722741009,0.1443166101173306,0.13353574634384935,0.12004302343454237
STX,0.16006246305772015,0.16091538078298623,0.1616752439888849,0.1627921903602334,0.16361003610186486,0.16445037775771737
LRCX,0.20286198745731937,0.20205197857278512,0.20124908610833253,0.2005589983293355,0.20000837905535662,0.19917811955517845
KLAC,0.31284380804541434,0.3156072315550783,0.3183713984965103,0.321230909595847,0.3235064317659593,0.32605259548515486
INTU,0.3416025477814738,0.34508090508138567,0.34843795425887203,0.3518985798164782,0.3547720871585527,0.35785417397457475
