Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
MSFT,-0.6156147133857344,-0.6204784210216019,-0.6251581221876459,-0.6297504653732613,-0.6336070465635629,-0.6377759088400268
AMZN,-0.5625759508976493,-0.5665947935419373,-0.5708225689382174,-0.574664560919074,-0.5779744855975097,-0.5817626461135768
NVDA,-0.5496324048082601,-0.557260247454322,-0.5644671065439728,-0.5712452683208468,-0.5770498707926933,-0.583082300383819
INTC,-0.46768928616830335,-0.46991979806175715,-0.4721334351079837,-0.4746233475690347,-0.47692286299342346,-0.4795114769697669
AMD,-0.28817933320008865,-0.2979849813799273,-0.30841011769266374,-0.3178232171119464,-0.32611921012363376,-0.3367227659897698
TSM,-0.2850960021829157,-0.2892286509564586,-0.2933060529214439,-0.29724837713682406,-0.30056350580763436,-0.30433268345573306
IBM,-0.24348073252094854,-0.24872329083726524,-0.25424319033529924,-0.2603122591296162,-0.2647769726497019,-0.2700276719554703
MU,-0.2558983576338119,-0.2547304647526653,-0.25355930841169944,-0.2525016031163779,-0.25157651048085605,-0.25048635658573803
META,-0.18693801831185652,-0.19977112987323103,-0.2128838807126608,-0.22573390154120188,-0.236250495137434,-0.24776113456401339
QCOM,-0.18489139078771316,-0.1823919096822238,-0.1792025308260083,-0.17702775973710966,-0.17571103535729865,-0.17382286443326955
GOOGL,-0.1536677368031582,-0.1584306604956392,-0.16338127650186102,-0.16828271376885617,-0.17198474454870427,-0.17619717354749515
SAP,-0.16006246305772015,-0.16091538078298623,-0.1616752439888849,-0.1627921903602334,-0.16361003610186486,-0.16445037775771737
NOW,-0.1510114285329655,-0.15517406547780066,-0.15947194429975659,-0.16377317391224866,-0.16721513165666435,-0.1711245757534558
AAPL,-0.1485238079668026,-0.14875012241981017,-0.14909551361004258,-0.14932948312289396,-0.14953734587235745,-0.1498365347687916
CRM,-0.1259610426501056,-0.13200309521472098,-0.13833442868807327,-0.14446085523169105,-0.14973142253016286,-0.15562505346056926
AVGO,-0.11167562551455174,-0.12253155691871653,-0.13353191002992898,-0.14441894306266967,-0.15336675386888415,-0.16343118141011492
AMAT,-0.1374622963594304,-0.1342465487656202,-0.13078110602790943,-0.128006003155117,-0.12579620645225764,-0.12326614423450144
ADI,-0.12939057438841428,-0.1273692230694125,-0.12503161867393725,-0.12322801959277468,-0.1217873940807791,-0.11993648197533807
CSCO,-0.09241719720207647,-0.09560535561642958,-0.09909747527858948,-0.1023136862746924,-0.10512481165219634,-0.10877524992553128
TSLA,-0.09368654089414907,-0.0937284300263525,-0.09352297592257419,-0.09352074085202411,-0.09344846559037123,-0.09313541354501392
ADBE,-0.07854241863601602,-0.08137006697128923,-0.08429712392222699,-0.08747674241628123,-0.09005423778582855,-0.09286632303726211
ASML,-0.07304865983643688,-0.07578023217723912,-0.07834153711983649,-0.0811938283972834,-0.08358520939247199,-0.08597847796701302
PANW,-0.05986503143215788,-0.06065182702277949,-0.06166035628338795,-0.062556725206242,-0.06328060156071141,-0.06451246284545775
TXN,-0.046528435102069776,-0.04545776946900287,-0.04419079828599981,-0.04326143985181613,-0.04254252163249661,-0.04143979708834378
ADSK,-0.02055045840290387,-0.019272782702651925,-0.017582646431614612,-0.01647584137396957,-0.015712008834208646,-0.014543573665737719
ORCL,0.021945581800655867,0.008781344457730822,-0.005215836761474801,-0.0184755802429028,-0.030074289758015516,-0.044407354323175
LRCX,0.04279952439959922,0.04113659778979889,0.039573842119447644,0.03776680796910209,0.03639834295349176,0.034727741797461076
KLAC,0.15278134498769416,0.15469185077209208,0.1566961545076254,0.1584387192356136,0.1598963956640944,0.16160221772743746
INTU,0.18154008472375366,0.18416552429839944,0.18676271026998711,0.18910638945624483,0.19116205105668782,0.19340379621685738
