Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
MSFT,-0.5219281724915852,-0.5267499909952494,-0.5316351462650717,-0.5362297245212372,-0.5401585809731917,-0.5446404952950128
AMZN,-0.4688894100035003,-0.47286636351558486,-0.4772995930156431,-0.4811438200670499,-0.4845260200071385,-0.48862723256856283
NVDA,-0.455945863914111,-0.46353181742796956,-0.47094413062139867,-0.47772452746882266,-0.4836014052023221,-0.4899468868388051
INTC,-0.3740027452741543,-0.37619136803540465,-0.37861045918540953,-0.3811026067170106,-0.3834743974030522,-0.386376063424753
AMD,-0.19449279230593958,-0.2042565513535748,-0.21488714177008955,-0.22430247625992228,-0.23267074453326253,-0.24358735244475588
TSM,-0.19140946128876662,-0.1955002209301061,-0.1997830769988697,-0.20372763628479995,-0.20711504021726312,-0.21119726991071913
IBM,-0.14979419162679947,-0.15499486081091274,-0.16072021441272505,-0.1667915182775921,-0.17132850705933067,-0.17689225841045636
MU,-0.16221181673966284,-0.1610020347263128,-0.16003633248912524,-0.15898086226435382,-0.15812804489048482,-0.1573509430407241
META,-0.09325147741770745,-0.10604269984687853,-0.1193609047900866,-0.13221316068917777,-0.14280202954706278,-0.15462572101899946
QCOM,-0.09120484989356409,-0.08866347965587129,-0.0856795549034341,-0.08350701888508555,-0.08226256976692742,-0.08068745088825563
GOOGL,-0.05998119590900913,-0.06470223046928669,-0.06985830057928683,-0.07476197291683206,-0.07853627895833304,-0.08306176000248122
SAP,-0.06637592216357108,-0.06718695075663372,-0.0681522680663107,-0.06927144950820929,-0.07016157051149363,-0.07131496421270345
NOW,-0.057324887638816435,-0.061445635451448155,-0.0659489683771824,-0.07025243306022455,-0.07376666606629312,-0.07798916220844188
AAPL,-0.05483726707265352,-0.055021692393457666,-0.05557253768746839,-0.05580874227086985,-0.05608888028198622,-0.056701121223777684
CRM,-0.03227450175595653,-0.03827466518836847,-0.04481145276549908,-0.050940114379666945,-0.05628295693979163,-0.06248963991555534
AVGO,-0.017989084620402662,-0.028803126892364028,-0.04000893410735479,-0.05089820221064556,-0.05991828827851292,-0.070295767865101
AMAT,-0.04377575546528134,-0.040518118739267694,-0.03725813010533524,-0.0344852623030929,-0.03234774086188641,-0.030130730689487517
ADI,-0.03570403349426521,-0.03364079304306,-0.03150864275136306,-0.029707278740750576,-0.028338928490407866,-0.02680106843032415
CSCO,0.0012693436920725998,-0.001876925590077072,-0.005574499356015283,-0.008792945422668286,-0.011676346061825105,-0.015639836380517358
ADBE,0.015144122258133053,0.01235836305506327,0.009225852000347201,0.006043998435742881,0.003394227804542682,0.0002690905077518124
ASML,0.020637881057712193,0.01794819784911339,0.015181438802737701,0.012326912454740713,0.00986325619789924,0.0071569355780009
PANW,0.033821509461991195,0.03307660300357301,0.03186261963918624,0.030964015645782106,0.03016786402965982,0.02862295069955617
TXN,0.0471581057920793,0.04827066055734963,0.04933217763657438,0.05025930100020798,0.05090594395787462,0.051695616456670146
ADSK,0.0731360824912452,0.07445564732370058,0.07594032949095958,0.07704489947805454,0.07773645675616259,0.0785918398792762
ORCL,0.11563212269480494,0.10250977448408333,0.08830713916109939,0.07504516060912131,0.06337417583235572,0.048728059221838926
STX,0.09368654089414907,0.0937284300263525,0.09352297592257419,0.09352074085202411,0.09344846559037123,0.09313541354501392
LRCX,0.1364860652937483,0.1348650278161514,0.13309681804202184,0.1312875488211262,0.129846808543863,0.127863155342475
KLAC,0.24646788588184323,0.24842028079844458,0.2502191304301996,0.2519594600876377,0.25334486125446565,0.2547376312724514
INTU,0.27522662561790273,0.27789395432475195,0.28028568619256133,0.2826271303082689,0.28461051664705905,0.2865392097618713
