Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
MSFT,-0.3305187112028186,-0.33124977006514333,-0.3318520692662019,-0.33250208823643723,-0.33304354075592857,-0.3334432253842937
AMZN,-0.2774799487147337,-0.27736614258547876,-0.2775165160167734,-0.27741618378224997,-0.2774109797898754,-0.2774299626578437
NVDA,-0.2645364026253444,-0.26803159649786346,-0.27116105362252896,-0.2739968911840227,-0.27648636498505896,-0.278749616928086
INTC,-0.18259328398538766,-0.18069114710529854,-0.17882738218653982,-0.17737497043221062,-0.1763593571857891,-0.17517879351403387
AMD,-0.003083331017172952,-0.008756330423468683,-0.015104064771219838,-0.020574839975122328,-0.025555704315999406,-0.032390082534036746
IBM,0.04161526966196716,0.04050536011919337,0.039062862586144664,0.03693611800720786,0.035786533157932454,0.03430501150026277
MU,0.029197644549103785,0.0344981862037933,0.03974674450974447,0.044746774020446134,0.048986995326778304,0.05384632686999502
META,0.09815798387105917,0.08945752108322758,0.08042217220878312,0.07151447559562218,0.06431301067020034,0.05657154889171967
QCOM,0.10020461139520254,0.10683674127423481,0.11410352209543562,0.1202206173997144,0.1248524704503357,0.1305098190224635
GOOGL,0.1314282653797575,0.1307979904608194,0.1299247764195829,0.1289656633679679,0.12857876125893009,0.1281355099082379
SAP,0.12503353912519555,0.12831327017347238,0.13163080893255902,0.13445618677659066,0.1369534697057695,0.13988230569801569
NOW,0.1340845736499502,0.13405458547865795,0.13383410862168732,0.1334752032245754,0.13334837415097,0.13320810770227726
AAPL,0.1365721942161131,0.14047852853664844,0.14421053931140132,0.1479188940139301,0.1510261599352769,0.15449614868694145
CRM,0.1591349595328101,0.15722555574173763,0.15497162423337063,0.152787521905133,0.1508320832774715,0.1487076299951638
AVGO,0.17342037666836396,0.16669709403774208,0.15977414289151493,0.1528294340741544,0.1471967519387502,0.14090150204561813
AMAT,0.14763370582348528,0.1549821021908384,0.16252494689353447,0.16924237398170705,0.17476729935537672,0.18106653922123161
ADI,0.15570542779450142,0.1618594278870461,0.16827443424750665,0.17402035754404938,0.17877611172685526,0.18439620148039498
CSCO,0.19267880498083922,0.19362329534002903,0.19420857764285443,0.19493469086213167,0.19543869415543802,0.19555743353020177
TSLA,0.19140946128876662,0.1955002209301061,0.1997830769988697,0.20372763628479995,0.20711504021726312,0.21119726991071913
ADBE,0.20655358354689968,0.20785858398516938,0.20900892899921691,0.20977163472054283,0.2105092680218058,0.21146636041847094
ASML,0.21204734234647882,0.2134484187792195,0.21496451580160741,0.21605454873954066,0.21697829641516236,0.21835420548872003
PANW,0.22523097075075782,0.22857682393367912,0.23164569663805595,0.23469165193058206,0.23728290424692294,0.2398202206102753
TXN,0.23856756708084592,0.24377088148745574,0.2491152546354441,0.25398693728500793,0.25802098417513775,0.2628928863673893
ADSK,0.2645455437800118,0.2699558682538067,0.2757234064898293,0.2807725357628545,0.2848514969734257,0.28978910978999534
ORCL,0.30704158398357156,0.29800999541418943,0.2880902161599691,0.27877279689392126,0.27048921604961884,0.25992532913255806
STX,0.2850960021829157,0.2892286509564586,0.2933060529214439,0.29724837713682406,0.30056350580763436,0.30433268345573306
LRCX,0.3278955265825149,0.3303652487462575,0.33287989504089155,0.33501518510592615,0.3369618487611261,0.33906042525319413
KLAC,0.4378773471706099,0.4439205017285507,0.45000220742906927,0.45568709637243765,0.46045990147172877,0.4659349011831705
INTU,0.46663608690666936,0.47339417525485805,0.480068763191431,0.48635476659306887,0.4917255568643222,0.49773647967259044
