Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
MSFT,-0.5690862782836645,-0.5750206515525991,-0.580967323901646,-0.5864890255214452,-0.5910645249310663,-0.596336111751683
AMZN,-0.5160475157955796,-0.5211370240729345,-0.5266317706522174,-0.5314031210672578,-0.5354319639650131,-0.540322849025233
NVDA,-0.5031039697061903,-0.5118024779853192,-0.5202763082579731,-0.5279838284690306,-0.5345073491601967,-0.5416425032954753
INTC,-0.4211608510662336,-0.4244620285927543,-0.4279426368219839,-0.43136190771721855,-0.43438034136092685,-0.43807167988142315
AMD,-0.24165089809801887,-0.2525272119109244,-0.26421931940666393,-0.27456177726013026,-0.28357668849113715,-0.295282968901426
TSM,-0.23856756708084592,-0.24377088148745574,-0.2491152546354441,-0.25398693728500793,-0.25802098417513775,-0.2628928863673893
IBM,-0.19695229741887876,-0.20326552136826237,-0.21005239204929943,-0.21705081927780007,-0.2222344510172053,-0.2285878748671265
MU,-0.20936992253174214,-0.20927269528366244,-0.20936851012569963,-0.2092401632645618,-0.20903398884835944,-0.20904655949739426
META,-0.14040958320978675,-0.15431336040422816,-0.16869308242666098,-0.18247246168938575,-0.1937079735049374,-0.2063213374756696
QCOM,-0.13836295568564339,-0.13693414021322092,-0.13501173254000848,-0.13376631988529353,-0.13316851372480204,-0.13238306734492578
GOOGL,-0.10713930170108843,-0.11297289102663632,-0.1191904782158612,-0.12502127391704004,-0.12944222291620766,-0.13475737645915137
SAP,-0.11353402795565037,-0.11545761131398335,-0.11748444570288508,-0.11953075050841727,-0.12106751446936825,-0.12301058066937359
NOW,-0.10448299343089573,-0.10971629600879779,-0.11528114601375677,-0.12051173406043253,-0.12467261002416774,-0.12968477866511202
AAPL,-0.10199537286473281,-0.1032923529508073,-0.10490471532404277,-0.10606804327107783,-0.10699482423986084,-0.10839673768044783
CRM,-0.07943260754803583,-0.0865453257457181,-0.09414363040207346,-0.10119941537987492,-0.10718890089766625,-0.11418525637222549
AVGO,-0.06514719041248196,-0.07707378744971366,-0.08934111174392917,-0.10115750321085354,-0.11082423223638754,-0.12199138432177115
AMAT,-0.09093386125736064,-0.08878877929661733,-0.08659030774190962,-0.08474456330330088,-0.08325368481976103,-0.08182634714615766
ADI,-0.0828621392863445,-0.08191145360040963,-0.08084082038793744,-0.07996657974095855,-0.07924487244828249,-0.0784966848869943
CSCO,-0.0458887621000067,-0.050147586147426704,-0.054906676992589665,-0.059052246422876264,-0.06258229001969973,-0.0673354528371875
TSLA,-0.0471581057920793,-0.04827066055734963,-0.04933217763657438,-0.05025930100020798,-0.05090594395787462,-0.051695616456670146
ADBE,-0.032013983533946244,-0.03591229750228636,-0.04010632563622718,-0.0442153025644651,-0.04751171615333194,-0.051426525948918334
ASML,-0.026520224734367104,-0.030322462708236242,-0.03415073883383668,-0.037932388545467266,-0.04104268775997538,-0.044538680878669246
PANW,-0.013336596330088102,-0.015194057553776619,-0.01746955799738814,-0.019295285354425873,-0.020738079928214803,-0.023072665757113975
ADSK,0.025977976699165906,0.02618498676635095,0.026608151854385198,0.02678559847784656,0.026830512798287964,0.026896223422606058
ORCL,0.06847401690272564,0.054239113926733695,0.03897496152452501,0.02478585960891333,0.012468231874481095,-0.0029675572348312196
STX,0.046528435102069776,0.04545776946900287,0.04419079828599981,0.04326143985181613,0.04254252163249661,0.04143979708834378
LRCX,0.089327959501669,0.08659436725880176,0.08376464040544745,0.08102824782091822,0.07894086458598837,0.07616753888580485
KLAC,0.19930978008976394,0.20014962024109495,0.2008869527936252,0.20170015908742972,0.202438917296591,0.20304201481578124
INTU,0.22806851982582343,0.22962329376740231,0.23095350855598692,0.23236782930806096,0.23370457268918443,0.23484359330520116
