Iter,hps,sum,rrse,rrae,corr,smape,valid rse,valid r2,valid mase,valid smape,valid mape,valid mse,valid mae,valid rmse,valid rae,valid hist_rse,valid global_rse,valid corr,test rse,test r2,test mase,test smape,test mape,test mse,test mae,test rmse,test rae,test hist_rse,test global_rse,test corr,best_epoch
0,"[2, 0.0005, 12, 8, 24, 32, 9, 0.6, 2, 10, 0.2, 3, 3, True]",1.5047992,1.5047992,1.5009562,0.40049523,0.017203884,1.5047992,-2.4474792,0.545479,0.017203884,0.034587726,0.027362706,0.11979087,0.150846,1.5009562,0.151989,1.328372,0.40049523,1.3697219,-1.6506683,0.689293,0.018026974,0.03564938,0.046238128,0.14794005,0.187833,1.3139338,0.200411,1.238797,0.5602556,23
1,"[2, 0.0003, 8, 8, 16, 64, 20, 0.6, 2, 20, 0.05, 1, 2, True]",1.5631708,1.5631708,1.5508178,0.42232755,0.016878406,1.5631708,-2.7034802,0.535937,0.016878406,0.03407562,0.026561288,0.11742517,0.147602,1.5508178,0.148835,1.308775,0.42232755,1.3720193,-2.0212824,0.648747,0.017070882,0.03410047,0.038017586,0.13853908,0.172466,1.3231206,0.185359,1.123291,0.60449386,31
2,"[2, 0.0003, 8, 16, 32, 64, 9, 0.5, 1, 64, 0.1, 0.1, 3, True]",1.5307235,1.5307235,1.5320916,0.4139544,0.017367067,1.5307235,-2.3947172,0.541334,0.017367067,0.034512818,0.026573082,0.11921617,0.149129,1.5320916,0.149864,1.309065,0.4139544,1.3858116,-1.8523412,0.687549,0.018083166,0.03588122,0.043739513,0.14725706,0.183677,1.3376836,0.196500,1.204862,0.5790484,25
3,"[2, 0.0003, 8, 12, 16, 32, 15, 0.5, 2, 30, 0.05, 1, 2, True]",1.6100286,1.6100286,1.608253,0.37584266,0.017179824,1.6100286,-2.8294106,0.553554,0.017179824,0.034578692,0.028025784,0.12209558,0.153157,1.608253,0.153568,1.344371,0.37584266,1.37108,-1.8435922,0.654393,0.017291505,0.034457542,0.04068658,0.1403252,0.178738,1.3196905,0.191215,1.162053,0.5779537,27
4,"[1, 0.0003, 8, 8, 24, 32, 9, 0.4, 1, 64, 0.2, 0.1, 3, True]",1.5129594,1.5129594,1.5069634,0.41208,0.01659206,1.5129594,-2.429131,0.529283,0.01659206,0.033457812,0.025323423,0.11512236,0.144605,1.5069634,0.146941,1.277914,0.41208,1.3285184,-1.6684059,0.653517,0.01699776,0.033771966,0.03987295,0.13866156,0.174321,1.279244,0.188107,1.150375,0.5929483,25
5,"[1, 0.0008, 12, 8, 32, 64, 15, 0.5, 2, 10, 0.1, 0.1, 2, True]",1.5855392,1.5855392,1.5803943,0.4003495,0.01676956,1.5855392,-2.916778,0.546544,0.01676956,0.034060206,0.027814351,0.120674565,0.150805,1.5803943,0.151081,1.339290,0.4003495,1.3186446,-1.5464691,0.657904,0.017134963,0.03404444,0.0408116,0.14240126,0.177956,1.2698939,0.188593,1.163837,0.60104746,21
6,"[1, 0.0008, 12, 12, 32, 64, 5, 0.4, 2, 30, 0.05, 1, 2, True]",1.5564961,1.5564961,1.5360405,0.3960315,0.016860005,1.5564961,-3.1018531,0.558372,0.016860005,0.035088353,0.029955376,0.12448166,0.157400,1.5360405,0.155493,1.389881,0.3960315,1.3577387,-1.6314819,0.679464,0.017690627,0.03501831,0.04353984,0.14645216,0.183395,1.3031892,0.195480,1.202108,0.5698467,24
7,"[1, 0.0008, 8, 16, 32, 32, 20, 0.5, 1, 64, 0.2, 0.1, 2, True]",1.5698228,1.5698228,1.5524131,0.3887128,0.016966999,1.5698228,-2.8487334,0.549991,0.016966999,0.034763172,0.02817886,0.12140293,0.153109,1.5524131,0.153553,1.348038,0.3887128,1.3853735,-1.95339,0.662928,0.017397622,0.034655374,0.040741906,0.14176852,0.178665,1.3257936,0.191771,1.162842,0.583723,22
8,"[2, 0.0005, 8, 12, 32, 64, 5, 0.5, 1, 10, 0.2, 1, 2, True]",1.5422431,1.5422431,1.5333265,0.39768508,0.017100396,1.5422431,-2.6443925,0.543504,0.017100396,0.034642022,0.027023455,0.1199443,0.150183,1.5333265,0.150461,1.320112,0.39768508,1.3704091,-1.8176781,0.670423,0.017637642,0.03503038,0.041009273,0.14370085,0.179089,1.3251683,0.191432,1.166652,0.56771946,22
9,"[1, 0.0003, 8, 12, 24, 32, 5, 0.4, 2, 10, 0.05, 3, 2, True]",1.5864245,1.5864245,1.5773151,0.4040192,0.016812524,1.5864245,-2.7860837,0.541944,0.016812524,0.033842046,0.027145524,0.11921337,0.149545,1.5773151,0.150246,1.323090,0.4040192,1.3354771,-1.7488316,0.643458,0.016811514,0.033537023,0.03838073,0.13796185,0.173206,1.2815988,0.185135,1.128644,0.60201603,36
10,"[2, 0.0005, 12, 8, 24, 48, 7, 0.6, 1, 40, 0.2, 3, 3, True]",1.5122098,1.5122098,1.5026586,0.42133197,0.01698995,1.5122098,-2.4392142,0.537700,0.01698995,0.034354437,0.026768003,0.11831638,0.149398,1.5026586,0.150621,1.313858,0.42133197,1.3895669,-1.937233,0.671134,0.017660048,0.03504606,0.04225112,0.14380671,0.180834,1.3352848,0.193379,1.184184,0.5720389,24
11,"[2, 0.0005, 12, 8, 24, 48, 7, 0.6, 1, 40, 0.2, 3, 3, True]",1.5316476,1.5316476,1.5290713,0.39529574,0.01696579,1.5316476,-2.4915264,0.538902,0.01696579,0.033974167,0.026525183,0.11856854,0.148472,1.5290713,0.149491,1.307885,0.39529574,1.3532921,-1.6563218,0.674783,0.017658612,0.035021164,0.042945843,0.14427997,0.181901,1.3000137,0.194609,1.193880,0.5780917,25
12,"[2, 0.0005, 12, 8, 24, 48, 7, 0.6, 1, 40, 0.2, 3, 3, True]",1.5721642,1.5721642,1.5601628,0.4050618,0.016963542,1.5721642,-2.7214339,0.545376,0.016963542,0.03413092,0.027267288,0.11981277,0.150189,1.5601628,0.151124,1.326054,0.4050618,1.3408034,-1.7168899,0.655696,0.017141301,0.03409194,0.039403163,0.14061198,0.175150,1.2926422,0.187275,1.143578,0.60178113,30
13,"[2, 0.0005, 12, 8, 24, 48, 9, 0.6, 1, 40, 0.2, 3, 3, True]",1.5595784,1.5595784,1.5542367,0.40842018,0.016450698,1.5595784,-2.697239,0.534874,0.016450698,0.033253394,0.026350336,0.11745504,0.147337,1.5542367,0.148327,1.303567,0.40842018,1.3177286,-1.6266311,0.643638,0.016804317,0.03343403,0.03877731,0.13810894,0.173328,1.2701013,0.185546,1.134460,0.6022114,30
14,"[2, 0.0005, 12, 8, 24, 48, 7, 0.6, 1, 20, 0.2, 3, 3, True]",1.4960912,1.4960912,1.498322,0.40759823,0.016917152,1.4960912,-2.2566607,0.536833,0.016917152,0.034020506,0.02603865,0.117561124,0.147288,1.498322,0.149110,1.295835,0.40759823,1.3333291,-1.5745201,0.671925,0.017503379,0.034650497,0.042558614,0.14350305,0.179992,1.2948577,0.192887,1.188486,0.5807727,21
