Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
MSFT,-0.45672241819928555,-0.4613568477693446,-0.46605257879282125,-0.4703574341604236,-0.4736279559889372,-0.4762661080627173,-0.48007325380836113,-0.4848369594277033,-0.488190421730475
AMZN,-0.4048902871785724,-0.40889504105106556,-0.4128449447859196,-0.41610600290203287,-0.4192498493402153,-0.4216683145213811,-0.4246825855735809,-0.4284348369092486,-0.4313887137242908
NVDA,-0.3921737670919901,-0.3994557642419173,-0.4065396852578812,-0.41258421918363214,-0.41855927447938207,-0.42357720051673564,-0.42900137585553705,-0.4347195044351357,-0.4393372985938365
INTC,-0.31182984650786166,-0.3129028417844658,-0.3139877682939619,-0.3150766728479873,-0.3163282267567597,-0.31723359641802196,-0.3179913972690998,-0.31871862653433997,-0.3190824952021648
AMD,-0.1369361798932966,-0.1460896233289508,-0.15601298227514315,-0.16323326210313988,-0.1704107019282372,-0.17530992835696035,-0.18216845606658222,-0.1909233088924282,-0.1985093988194926
TSM,-0.13321727469811512,-0.1371983354166919,-0.14096882546011358,-0.1443044223642716,-0.1474115609902717,-0.14975233119389952,-0.15257923755838892,-0.15604276798370437,-0.15871621794422575
IBM,-0.09142473353874175,-0.09762336593836884,-0.10291401101609121,-0.10753073756147852,-0.11168436994331626,-0.1137466619123435,-0.11804489521590938,-0.12372987186127576,-0.12867641508077476
MU,-0.10463458431326916,-0.10285199710902038,-0.1009772028440773,-0.09980118448953729,-0.09831768713622852,-0.09764907381159138,-0.09650411584276236,-0.09473116566902923,-0.09285788754649904
META,-0.03599107991631728,-0.05091466304431569,-0.06467446853917602,-0.07707509436723975,-0.08850901153890806,-0.09645527458735881,-0.10835512598333791,-0.12266543990223938,-0.13437306054983533
GOOGL,-0.0039480176636591535,-0.00972886025830233,-0.014398281950814773,-0.01908542384312223,-0.023071053497502103,-0.02590121853456029,-0.0308121740946799,-0.03642003656273651,-0.040924890581821805
QCOM,-0.035217438455260375,-0.030984078173479923,-0.027005341107568692,-0.024163594742952876,-0.021831821823889985,-0.020138252472086393,-0.01756829679804145,-0.013822478172162145,-0.010016273189750846
NOW,-0.0016291929689942197,-0.006026966465946637,-0.00971911786455143,-0.013362281745246563,-0.01603098146862597,-0.017993677753509463,-0.021081985946307724,-0.024930803626826925,-0.028025788003726126
SAP,-0.010741082988552586,-0.010999095603705045,-0.011085383416476136,-0.011554629822262519,-0.011702180664775463,-0.012056388861466594,-0.012449663310653947,-0.01271229528370571,-0.012675260493044183
CRM,0.02216216288533357,0.016383329124875057,0.009751135777496034,0.004272812522654601,-0.0009437898123945687,-0.004895675308547398,-0.010647416829546119,-0.017502249325670016,-0.02257834983743745
AVGO,0.0377698605888005,0.02641367278620277,0.016329699497983907,0.007050992157308866,-0.0011721433001327108,-0.007190094169773731,-0.016020534087281935,-0.026508911215274933,-0.034847137652542715
AMAT,0.011295977154693493,0.015591661089799203,0.01979947129577153,0.022755188473456922,0.025388753971235578,0.027203762114165864,0.02969700711798151,0.03322499701813175,0.03688372662828565
ADI,0.019116462049059757,0.02212758729032488,0.025165494752618478,0.027214322281853554,0.029177714429614476,0.030298319217217318,0.032175112204394896,0.03503110428163064,0.03788736938230275
CSCO,0.05498797996738747,0.05238672276006007,0.0496700511564504,0.04761083072054845,0.04566812166782164,0.0444838736776586,0.04256451329825667,0.040147368272033745,0.03795152668412899
TSLA,0.05402162154243456,0.05412055485267486,0.05446617946470178,0.05447946932321862,0.054558696904819626,0.05444461890234581,0.054506424061757985,0.054812162087495286,0.05532270563921021
ADBE,0.06877289529545688,0.06629637202695893,0.06350536421881303,0.061364863650547885,0.058664886600889865,0.0567539385542159,0.05426846507172606,0.05134027490008375,0.049184773598558384
ASML,0.0743074784815555,0.07233703555836457,0.07064295713029467,0.06909298368463973,0.06739082625540965,0.06607895221488058,0.06490794537785882,0.0636563953193155,0.06259152227406795
PANW,0.08683116511373518,0.08666587500226597,0.08652002912359757,0.0863588980926614,0.08619719661303193,0.08600873570923961,0.08583708565594123,0.0857024566068535,0.08563915716123116
TXN,0.10017503837093511,0.10165693772569345,0.10325720716086073,0.10419572917533554,0.1050944998162226,0.10552085403640055,0.10639540184507751,0.1077144325701776,0.10929480602423924
ORCL,0.16703030028911658,0.15422362194604694,0.14125352074049663,0.13000338950802542,0.1196346473179874,0.1127788494837566,0.10277812494703187,0.08906586996590637,0.07830522004836293
ADSK,0.12559555658935417,0.12785219530259695,0.1301476182041556,0.1317097543803149,0.13319556800162802,0.13395344057164654,0.13532006144608022,0.1374653772687504,0.1396684797647138
STX,0.14554862408803554,0.14594358466751473,0.14640002822517262,0.14655358393610934,0.147057285631715,0.1472389622730716,0.14740625517189743,0.1478312016090118,0.1483368305427447
LRCX,0.18765420857688028,0.18685704519734503,0.18612956636360145,0.1851989069760573,0.18448458769122844,0.183702803109984,0.18292902633809177,0.1821789190227796,0.18186727747305842
KLAC,0.2951224462805148,0.29785445977142333,0.3006323589434379,0.30246307170779885,0.30438017263871775,0.3054103688539104,0.3071387891551499,0.30971442085695344,0.3123348082533549
INTU,0.3232274605558699,0.32636190451542313,0.32943854442370313,0.3317535185676534,0.3341513236567647,0.3356536377193776,0.33759861486140247,0.340138569932909,0.3426351373390305
