Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
MSFT,-0.5254953134947424,-0.5276532197963035,-0.5295579430116343,-0.5317222978109715,-0.532292842589827,-0.5330200466169333,-0.5343417188800872,-0.5361772343277871,-0.5373751953290333
AMZN,-0.4736631824740293,-0.4751914130780245,-0.47635030900473263,-0.47747086655258075,-0.4779147359411052,-0.478422253075597,-0.47895105064530696,-0.47977511180933236,-0.48057348732284916
NVDA,-0.46094666238744697,-0.46575213626887624,-0.47004504947669423,-0.47394908283418,-0.47722416108027194,-0.48033113907095154,-0.4832698409272631,-0.48605977933521943,-0.4885220721923949
INTC,-0.38060274180331854,-0.37919921381142474,-0.37749313251277494,-0.3764415364985352,-0.37499311335764957,-0.37398753497223786,-0.37225986234082586,-0.3700589014344237,-0.3682672688007232
AMD,-0.20570907518875348,-0.21238599535590974,-0.21951834649395618,-0.22459812575368776,-0.22907558852912707,-0.23206386691117625,-0.23643692113830828,-0.24226358379251195,-0.24769417241805097
TSM,-0.201990169993572,-0.20349470744365084,-0.2044741896789266,-0.20566928601481949,-0.20607644759116156,-0.20650626974811542,-0.20684770263011498,-0.20738304288378812,-0.20790099154278413
IBM,-0.16019762883419864,-0.16391973796532777,-0.16641937523490424,-0.1688956012120264,-0.17034925654420613,-0.1705006004665594,-0.17231336028763544,-0.1750701467613595,-0.17786118867933315
MU,-0.17340747960872605,-0.1691483691359793,-0.16448256706289033,-0.16116604814008517,-0.15698257373711838,-0.15440301236580728,-0.15077258091448842,-0.14607144056911298,-0.14204266114505743
META,-0.10476397521177416,-0.11721103507127462,-0.12817983275798905,-0.13843995801778763,-0.14717389813979792,-0.1532092131415747,-0.16262359105506397,-0.17400571480232313,-0.18355783414839372
GOOGL,-0.07272091295911604,-0.07602523228526126,-0.0779036461696278,-0.08045028749367011,-0.08173594009839197,-0.08265515708877619,-0.08508063916640596,-0.08776031146282026,-0.09010966418038019
QCOM,-0.10399033375071726,-0.09728045020043885,-0.09051070532638172,-0.08552845839350076,-0.08049670842477985,-0.07689219102630229,-0.07183676186976751,-0.0651627530722459,-0.05920104678830923
NOW,-0.0704020882644511,-0.07232333849290556,-0.07322448208336446,-0.07472714539579445,-0.07469586806951584,-0.07474761630772536,-0.07535045101803378,-0.07627107852691067,-0.07721056160228451
SAP,-0.07951397828400947,-0.07729546763066397,-0.07459074763528917,-0.0729194934728104,-0.07036706726566533,-0.06881032741568249,-0.06671812838238,-0.06405257018378946,-0.06186003409160257
CRM,-0.04661073241012331,-0.04991304290208387,-0.053754228441317,-0.057092051127893284,-0.059608676413284434,-0.0616496138627633,-0.06491588190127218,-0.06884252422575377,-0.07176312343599583
AAPL,-0.06877289529545688,-0.06629637202695893,-0.06350536421881303,-0.061364863650547885,-0.058664886600889865,-0.0567539385542159,-0.05426846507172606,-0.05134027490008375,-0.049184773598558384
AVGO,-0.031003034706656385,-0.03988269924075616,-0.047175664720829125,-0.05431387149323902,-0.059837029901022576,-0.06394403272398963,-0.07028899915900799,-0.07784918611535868,-0.0840319112511011
AMAT,-0.05747691814076339,-0.050704710937159725,-0.0437058929230415,-0.03860967517709096,-0.03327613262965429,-0.029550176440050036,-0.024571457953744547,-0.018115277881951997,-0.012301046970272733
ADI,-0.049656433246397125,-0.04416878473663405,-0.038339869466194554,-0.03415054136869433,-0.02948717217127539,-0.02645561933699858,-0.022093352867331162,-0.016309170618453106,-0.011297404216255635
CSCO,-0.013784915328069414,-0.01390964926689886,-0.01383531306236263,-0.013754032929999438,-0.012996764933068228,-0.012270064876557296,-0.01170395177346939,-0.011192906628050003,-0.011233246914429396
TSLA,-0.01475127375302232,-0.012175817174284065,-0.009039184754111251,-0.006885394327329264,-0.004106189696070239,-0.00230931965187009,0.00023795899003192789,0.0034718871874115376,0.006137932040651828
ASML,0.005534583186098618,0.006040663531405643,0.007137592911481638,0.0077281200340918454,0.008725939654519788,0.009325013660664683,0.010639480306132765,0.012316120419231746,0.013406748675509561
PANW,0.018058269818278294,0.02036950297530704,0.023014664904784543,0.02499403444211351,0.02753231001214207,0.029254797155023715,0.03156862058421517,0.034362181706769745,0.036454383562672776
TXN,0.03140214307547823,0.035360565698734525,0.0397518429420477,0.042830865524787654,0.04642961321533273,0.04876691548218465,0.05212693677335145,0.05637415767009385,0.06011003242568086
ORCL,0.0982574049936597,0.08792724991908801,0.0777481565216836,0.06863852585747754,0.06096976071709753,0.056024910929540706,0.04850965987530581,0.037725595065822626,0.02912044644980455
ADSK,0.05682266129389729,0.06155582327563802,0.06664225398534257,0.07034489072976702,0.07453068140073815,0.07719950201743064,0.08105159637435416,0.08612510236866666,0.09048370616615542
STX,0.07677572879257866,0.0796472126405558,0.08289466400635959,0.08518872028556146,0.08839239903082513,0.0904850237188557,0.09313779010017137,0.09649092670892806,0.09915205694418633
LRCX,0.1188813132814234,0.1205606731703861,0.12262420214478842,0.1238340433255094,0.12581970109033858,0.1269488645557681,0.12866056126636571,0.13083864412269586,0.13268250387450004
KLAC,0.22634955098505793,0.23155808774446443,0.2371269947246249,0.24109820805725096,0.2457152860378279,0.24865643029969448,0.25287032408342386,0.2583741459568697,0.2631500346547966
INTU,0.25445456526041305,0.2600655324884642,0.2659331802048901,0.2703886549171055,0.27548643705587483,0.2788996991651618,0.2833301497896764,0.2887982950328252,0.29345036374047206
