Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
MSFT,-0.4758388802483453,-0.4834844350596695,-0.4912180735454397,-0.49757175644227714,-0.5028056704185517,-0.5065644272799346,-0.512248366012756,-0.5198680637093339,-0.5260777911127777
AMZN,-0.42400674922763215,-0.43102262834139043,-0.4380104395385381,-0.4433203251838864,-0.4484275637698298,-0.4519666337385984,-0.4568576977779758,-0.46346594119087925,-0.4692760831065935
NVDA,-0.41129022914104985,-0.4215833515322422,-0.4317051800104997,-0.4397985414654857,-0.44773698890899655,-0.45387551973395296,-0.46117648805993194,-0.4697506087167663,-0.47722466797613927
INTC,-0.3309463085569214,-0.3350304290747907,-0.3391532630465804,-0.34229099512984085,-0.3455059411863742,-0.3475319156352393,-0.3501665094734947,-0.3537497308159706,-0.35696986458446756
AMD,-0.15605264194235635,-0.1682172106192757,-0.18117847702776163,-0.19044758438499343,-0.19958841635785168,-0.20560824757417767,-0.21434356827097711,-0.22595441317405884,-0.23639676820179534
TSM,-0.15233373674717487,-0.1593259227070168,-0.16613432021273206,-0.17151874464612515,-0.17658927541988617,-0.18005065041111684,-0.18475434976278382,-0.191073872265335,-0.1966035873265285
IBM,-0.11054119558780151,-0.11975095322869372,-0.1280795057687097,-0.13474505984333207,-0.14086208437293074,-0.14404498112956082,-0.15022000742030428,-0.1587609761429064,-0.1665637844630775
MU,-0.12375104636232892,-0.12497958439934526,-0.12614269759669577,-0.12701550677139084,-0.127495401565843,-0.1279473930288087,-0.12867922804715726,-0.12976226995065987,-0.1307452569288018
META,-0.05510754196537704,-0.07304225033464057,-0.0898399632917945,-0.1042894166490933,-0.11768672596852253,-0.12675359380457613,-0.1405302381877328,-0.15769654418387002,-0.17226042993213808
GOOGL,-0.02306447971271891,-0.03185644754862721,-0.03956377670343325,-0.04629974612497578,-0.05224876792711658,-0.056199537751777606,-0.0629872862990748,-0.07145114084436716,-0.07881225996412455
QCOM,-0.05433390050432013,-0.0531116654638048,-0.05217083586018717,-0.05137791702480643,-0.05100953625350446,-0.05043657168930371,-0.049743409002436345,-0.04885358245379279,-0.047903642572053595
NOW,-0.020745655018053977,-0.028154553756271516,-0.03488461261716991,-0.040576604027100116,-0.04520869589824045,-0.04829199697072678,-0.05325709815070262,-0.05996190790845757,-0.06591315738602888
SAP,-0.029857545037612343,-0.033126682894029924,-0.036250878169094614,-0.03876895210411607,-0.04087989509438994,-0.04235470807868391,-0.04462477551504884,-0.04774339956533635,-0.05056262987534693
CRM,0.0030457008362738125,-0.005744258165449823,-0.015414358975122444,-0.022941509759198953,-0.030121504242009045,-0.035193994525764716,-0.042822529033941015,-0.05253335360730066,-0.0604657192197402
AAPL,-0.019116462049059757,-0.02212758729032488,-0.025165494752618478,-0.027214322281853554,-0.029177714429614476,-0.030298319217217318,-0.032175112204394896,-0.03503110428163064,-0.03788736938230275
AVGO,0.01865339853974074,0.004286085495877889,-0.00883579525463457,-0.020163330124544687,-0.030349857729747187,-0.03748841338699105,-0.04819564629167683,-0.061540015496905576,-0.07273450703484546
AMAT,-0.007820484894366264,-0.006535926200525677,-0.005366023456846947,-0.004459133808396631,-0.0037889604583788983,-0.003094557103051454,-0.0024781050864133847,-0.0018061072634988906,-0.0010036427540170978
CSCO,0.03587151791832771,0.030259135469735188,0.024504556403831923,0.020396508438694894,0.01649040723820716,0.014185554460441285,0.010389401093861772,0.005116263990403103,6.41573018262398e-05
TSLA,0.034905159493374804,0.03199296756234998,0.029300684712083302,0.027265147041365068,0.02538098247520515,0.02414629968512849,0.02233131185736309,0.019781057805864644,0.017435336256907463
ADBE,0.049656433246397125,0.04416878473663405,0.038339869466194554,0.03415054136869433,0.02948717217127539,0.02645561933699858,0.022093352867331162,0.016309170618453106,0.011297404216255635
ASML,0.05519101643249574,0.05020944826803969,0.04547746237767619,0.04187866140278618,0.038213111825795176,0.035780632997663264,0.03273283317346393,0.028625291037684852,0.024704152891765196
PANW,0.06771470306467542,0.06453828771194109,0.0613545343709791,0.05914457581080784,0.05701948218341746,0.0557104164920223,0.05366197345154633,0.05067135232522285,0.04775178777892841
TXN,0.08105857632187535,0.07952935043536857,0.07809171240824225,0.07698140689348199,0.07591678538660812,0.07522253481918323,0.07422028964068261,0.07268332828854696,0.0714074366419365
ORCL,0.14791383824005683,0.13209603465572206,0.11608802598787815,0.10278906722617187,0.09045693288837292,0.08248053026653929,0.07060301274263697,0.05403476568427573,0.040417850666060184
ADSK,0.10647909454029442,0.10572460801227207,0.10498212345153712,0.10449543209846135,0.10401785357201354,0.10365512135442922,0.10314494924168532,0.10243427298711977,0.10178111038241106
STX,0.12643216203897578,0.12381599737718985,0.12123453347255414,0.11933926165425579,0.11787957120210052,0.11694064305585428,0.11523114296750253,0.11280009732738117,0.11044946116044196
LRCX,0.16853774652782053,0.16472945790702015,0.16096407161098297,0.15798458469420373,0.15530687326161396,0.15340448389276667,0.15075391413369688,0.14714781474114896,0.14397990809075567
KLAC,0.27600598423145506,0.2757268724810985,0.27546686419081945,0.2752487494259453,0.2752024582091033,0.27511204963669306,0.274963676950755,0.27468331657532274,0.27444743887105216
INTU,0.30411099850681017,0.30423431722509825,0.30427304967108465,0.30453919628579984,0.3049736092271502,0.30535531850216036,0.3054235026570076,0.30510746565127833,0.30474776795672776
