Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
MSFT,-0.5823179747886398,-0.5892090430719416,-0.5962001969969768,-0.6020671885407385,-0.6068235239905653,-0.6102195486343638,-0.6153933152544413,-0.6223023366964537,-0.6278589014951887
AMZN,-0.5304858437679265,-0.5367472363536625,-0.5429925629900751,-0.5478157572823478,-0.5524454173418434,-0.5556217550930276,-0.5600026470196611,-0.565900214177999,-0.5710571934890045
NVDA,-0.5177693236813443,-0.5273079595445143,-0.5366873034620367,-0.544293973563947,-0.5517548424810101,-0.5575306410883822,-0.5643214373016172,-0.5721848817038862,-0.5790057783585503
INTC,-0.43742540309721584,-0.44075503708706276,-0.4441353864981175,-0.4467864272283022,-0.4495237947583877,-0.4511870369896685,-0.45331145871518,-0.4561840038030904,-0.4587509749668786
AMD,-0.26253173648265077,-0.27394181863154776,-0.28616060047929875,-0.2949430164834548,-0.3036062699298652,-0.3092633689286069,-0.31748851751266244,-0.3283886861611786,-0.3381778785842064
TSM,-0.2588128312874693,-0.26505053071928886,-0.2711164436642692,-0.2760141767445865,-0.2806071289918997,-0.28370577176554607,-0.28789929900446914,-0.2935081452524548,-0.29838469770893955
IBM,-0.21702029012809593,-0.2254755612409658,-0.2330616292202468,-0.23924049194179342,-0.24487993794494428,-0.24770010248399005,-0.2533649566619896,-0.2611952491300262,-0.26834489484548857
MU,-0.23023014090262334,-0.23070419241161733,-0.2311248210482329,-0.2315109388698522,-0.23151325513785653,-0.23160251438323792,-0.23182417728884258,-0.23219654293777964,-0.23252636731121284
META,-0.16158663650567145,-0.17876685834691264,-0.19482208674333162,-0.20878484874755465,-0.22170457954053607,-0.23040871515900535,-0.24367518742941813,-0.2601308171709898,-0.27404154031454914
GOOGL,-0.12954357425301333,-0.13758105556089928,-0.14454590015497037,-0.15079517822343713,-0.15626662149913012,-0.15985465910620683,-0.16613223554076012,-0.17388541383148692,-0.1805933703465356
QCOM,-0.16081299504461455,-0.15883627347607687,-0.1571529593117243,-0.15587334912326778,-0.155027389825518,-0.15409169304373294,-0.15288835824412167,-0.15128785544091256,-0.14968475295446465
NOW,-0.1272247495583484,-0.1338791617685436,-0.13986673606870703,-0.14507203612556147,-0.149226549470254,-0.151947118325156,-0.15640204739238794,-0.16239618089557734,-0.16769426776843993
SAP,-0.13633663957790676,-0.138851290906302,-0.14123300162063174,-0.14326438420257742,-0.14489774866640348,-0.14600982943311314,-0.14776972475673417,-0.15017767255245612,-0.152343740257758
CRM,-0.1034333937040206,-0.11146886617772189,-0.12039648242665957,-0.1274369418576603,-0.1341393578140226,-0.13884911588019394,-0.14596747827562634,-0.15496762659442043,-0.16224682960215125
AAPL,-0.12559555658935417,-0.12785219530259695,-0.1301476182041556,-0.1317097543803149,-0.13319556800162802,-0.13395344057164654,-0.13532006144608022,-0.1374653772687504,-0.1396684797647138
AVGO,-0.08782569600055368,-0.10143852251639418,-0.1138179187061717,-0.12465876222300604,-0.13436771130176073,-0.14114353474142027,-0.15134059553336215,-0.16397428848402534,-0.17451561741725652
AMAT,-0.11429957943466068,-0.11226053421279775,-0.11034814690838407,-0.10895456590685798,-0.10780681403039244,-0.10674967845748068,-0.10562305432809871,-0.10424038025061866,-0.10278475313642815
ADI,-0.10647909454029442,-0.10572460801227207,-0.10498212345153712,-0.10449543209846135,-0.10401785357201354,-0.10365512135442922,-0.10314494924168532,-0.10243427298711977,-0.10178111038241106
CSCO,-0.0706075766219667,-0.07546547254253688,-0.0804775670477052,-0.08409892365976646,-0.08752744633380638,-0.08946956689398794,-0.09275554814782355,-0.09731800899671667,-0.10171695308058482
TSLA,-0.07157393504691961,-0.07373164044992209,-0.07568143873945382,-0.07723028505709628,-0.07863687109680839,-0.07950882166930073,-0.08081363738432223,-0.08265321518125512,-0.08434577412550359
ADBE,-0.05682266129389729,-0.06155582327563802,-0.06664225398534257,-0.07034489072976702,-0.07453068140073815,-0.07719950201743064,-0.08105159637435416,-0.08612510236866666,-0.09048370616615542
ASML,-0.051288078107798674,-0.05551515974423238,-0.05950466107386093,-0.06261677069567517,-0.06580474174621836,-0.06787448835676596,-0.0704121160682214,-0.07380898194943492,-0.07707695749064586
PANW,-0.038764391475619,-0.04118632030033098,-0.04362758908055803,-0.04535085628765351,-0.04699837138859608,-0.04794470486240693,-0.049482975790138994,-0.051762920661896916,-0.054029322603482643
TXN,-0.025420518218419064,-0.026195257576903497,-0.02689041104329487,-0.027514025204979364,-0.02810106818540542,-0.028432586535245996,-0.02892465960100271,-0.029750944698572812,-0.03037367374047456
ORCL,0.04143474369976241,0.02637142664344999,0.011105902536341028,-0.0017063648722894786,-0.01356092068364062,-0.021174591087889938,-0.03254193649904835,-0.048399507302844036,-0.06136325971635087
STX,0.019953067498681365,0.018091389364917776,0.016252410021017016,0.014843829555794441,0.013861717630086978,0.013285521701425052,0.012086193725817207,0.010365824340261398,0.008668350778030909
LRCX,0.06205865198752611,0.05900484989474808,0.05598194815944585,0.053489152595742384,0.051289019689600424,0.04974936253833745,0.04760896489201155,0.044713541754029196,0.042198797708344615
KLAC,0.16952688969116064,0.1700022644688264,0.17048474073928233,0.17075331732748394,0.17118460463708976,0.17145692828226383,0.1718187277090697,0.172249043588203,0.17266632848864114
INTU,0.19763190396651575,0.19850970921282618,0.19929092621954753,0.2000437641873385,0.20095575565513665,0.2017001971477311,0.20227855341532225,0.20267319266415856,0.20296665757431667
