Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
MSFT,-0.46801839535397904,-0.4769485088591438,-0.4858520500885928,-0.4931126226338805,-0.4990167099601728,-0.5034698701768832,-0.5097702609263426,-0.5180619564458351,-0.5250741483587607
AMZN,-0.4161862643332659,-0.42448670214086476,-0.43264441608169113,-0.4388611913754898,-0.4446386033114509,-0.44887207663554696,-0.4543795926915624,-0.46165983392738036,-0.4682724403525764
NVDA,-0.4034697442466836,-0.4150474253317165,-0.42633915655365273,-0.43533940765708906,-0.44394802845061765,-0.4507809626309015,-0.45869838297351856,-0.46794450145326744,-0.4762210252221222
INTC,-0.32312582366255516,-0.328494502874265,-0.33378723958973344,-0.3378318613214442,-0.3417169807279953,-0.3444373585321878,-0.3476884043870813,-0.3519436235524717,-0.35596622183045046
AMD,-0.1482321570479901,-0.16168128441875002,-0.17581245357091468,-0.1859884505765968,-0.19579945589947279,-0.20251369047112622,-0.21186546318456373,-0.22414830591055995,-0.23539312544777824
TSM,-0.1445132518528086,-0.1527899965064911,-0.1607682967558851,-0.16705961083772852,-0.17280031496150727,-0.1769560933080654,-0.18227624467637044,-0.18926776500183612,-0.1955999445725114
IBM,-0.10272071069343525,-0.11321502702816805,-0.12271348231186274,-0.13028592603493544,-0.13707312391455184,-0.14095042402650937,-0.1477419023338909,-0.15695486887940752,-0.16556014170906042
MU,-0.11593056146796266,-0.11844365819881958,-0.12077667413984883,-0.12255637296299421,-0.1237064411074641,-0.12485283592575724,-0.12620112296074387,-0.12795616268716098,-0.1297416141747847
META,-0.047287057071010774,-0.06650632413411489,-0.08447393983494755,-0.09983028284069667,-0.11389776551014363,-0.12365903670152467,-0.13805213310131942,-0.15589043692037113,-0.17125678717812098
GOOGL,-0.015243994818352646,-0.025320521348101532,-0.034197753246586304,-0.04184061231657915,-0.04845980746873768,-0.05310498064872615,-0.06050918121266141,-0.06964503358086827,-0.07780861721010746
QCOM,-0.04651341560995387,-0.046575739263279126,-0.046804812403340224,-0.0469187832164098,-0.04722057579512556,-0.04734201458625226,-0.04726530391602296,-0.0470474751902939,-0.0468999998180365
NOW,-0.012925170123687713,-0.02161862755574584,-0.02951858916032296,-0.036117470218703485,-0.04141973543986155,-0.045197439867675326,-0.050778993064289235,-0.05815580064495868,-0.06490951463201178
SAP,-0.02203706014324608,-0.026590756693504247,-0.030884854712247667,-0.03430981829571944,-0.03709093463601104,-0.03926015097563246,-0.04214667042863546,-0.04593729230183746,-0.049558987121329834
CRM,0.010866185730640077,0.0007916680350758543,-0.010048335518275497,-0.01848237595080232,-0.026332543783630147,-0.03209943742271326,-0.04034442394752763,-0.05072724634380177,-0.0594620764657231
AAPL,-0.011295977154693493,-0.015591661089799203,-0.01979947129577153,-0.022755188473456922,-0.025388753971235578,-0.027203762114165864,-0.02969700711798151,-0.03322499701813175,-0.03688372662828565
AVGO,0.026473883434107004,0.010822011696403566,-0.003469771797787624,-0.015704196316148056,-0.02656089727136829,-0.034393856283939594,-0.045717541205263446,-0.059733908233406685,-0.07173086428082837
ADI,0.007820484894366264,0.006535926200525677,0.005366023456846947,0.004459133808396631,0.0037889604583788983,0.003094557103051454,0.0024781050864133847,0.0018061072634988906,0.0010036427540170978
CSCO,0.043692002812693975,0.036795061670260865,0.02987057986067887,0.024855642247091525,0.02027936769658606,0.01728011156349274,0.012867506180275157,0.006922371253901993,0.0010678000558433376
TSLA,0.04272564438774107,0.03852889376287566,0.03466670816893025,0.0317242808497617,0.029169942933584048,0.027240856788179946,0.024809416943776474,0.021587165069363534,0.01843897901092456
ADBE,0.05747691814076339,0.050704710937159725,0.0437058929230415,0.03860967517709096,0.03327613262965429,0.029550176440050036,0.024571457953744547,0.018115277881951997,0.012301046970272733
ASML,0.06301150132686201,0.05674537446856537,0.05084348583452314,0.04633779521118281,0.042002072284174075,0.03887519010071472,0.03521093825987731,0.030431398301183743,0.025707795645782294
PANW,0.07553518795904168,0.07107421391246677,0.06672055782782604,0.06360370961920447,0.060808442641796356,0.05880497359507375,0.056140078537959714,0.05247745958872174,0.04875543053294551
TXN,0.08887906121624162,0.08606527663589425,0.0834577358650892,0.08144054070187862,0.07970574584498702,0.07831709192223468,0.076698394727096,0.07448943555204585,0.07241107939595359
ORCL,0.1557343231344231,0.13863196085624774,0.1214540494447251,0.1072482010345685,0.09424589334675182,0.08557508736959074,0.07308111782905036,0.05584087294777462,0.04142149342007728
ADSK,0.11429957943466068,0.11226053421279775,0.11034814690838407,0.10895456590685798,0.10780681403039244,0.10674967845748068,0.10562305432809871,0.10424038025061866,0.10278475313642815
STX,0.13425264693334205,0.13035192357771552,0.1266005569294011,0.12379839546265242,0.12166853166047942,0.12003520015890573,0.11770924805391592,0.11460620459088006,0.11145310391445906
LRCX,0.1763582314221868,0.17126538410754583,0.16633009506782992,0.16244371850260036,0.15909583371999286,0.15649904099581813,0.15323201922011026,0.14895392200464785,0.14498355084477277
KLAC,0.2838264691258213,0.2822627986816242,0.2808328876476664,0.2797078832343419,0.2789914186674822,0.2782066067397445,0.2774417820371684,0.2764894238388217,0.27545108162506926
INTU,0.31193148340117643,0.3107702434256239,0.3096390731279316,0.30899833009419647,0.30876256968552906,0.30844987560521175,0.30790160774342096,0.3069135729147772,0.30575141071074485
