Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
MSFT,-0.31978623830598896,-0.3152672244403938,-0.3100395965176781,-0.3071241720572837,-0.3032172540607,-0.30095617970575694,-0.2979047977417789,-0.2939136505352751,-0.2896810229109824
AMZN,-0.2679541072852758,-0.26280541772211474,-0.25683196251077645,-0.252872740798893,-0.2488391474119781,-0.24635838616442074,-0.2425141295069987,-0.2375115280168204,-0.23287931490479818
NVDA,-0.2552375871986935,-0.2533661409129665,-0.25052670298273805,-0.24935095708049226,-0.24814857255114486,-0.2482672721597753,-0.24683291978895483,-0.24379619554270748,-0.24082789977434393
INTC,-0.17489366661456507,-0.166813218455515,-0.15797478601881876,-0.15184341074484742,-0.1459175248285225,-0.1419236680610616,-0.1358229412025176,-0.12779531764191177,-0.12057309638267222
TSM,0.0037189051951814767,0.008891287912258905,0.015044156815029575,0.018928839738868275,0.022999140937965512,0.02555759716306083,0.029589218508193293,0.034880540908723834,0.03979318087526684
IBM,0.04551144635455484,0.04846625739058197,0.05309897125905194,0.05570252454166136,0.05872633198492094,0.06156326644461685,0.06412356085067283,0.06719343703115244,0.06983298373871782
MU,0.03230159558002743,0.043237626219930436,0.05503577943106586,0.06343207761360259,0.07209301479200869,0.07766085454536897,0.08566434022381986,0.09619214322339897,0.10565151127299355
META,0.10094509997697931,0.09517496028463512,0.09133851373596713,0.08615816773590013,0.08190169038932915,0.07885465376960155,0.07381333008324431,0.06825786899018882,0.06413633826965726
GOOGL,0.13298816222963744,0.13636076307064848,0.14161470032432838,0.14414783826001765,0.1473396484307351,0.14940870982240007,0.15135628197190232,0.1545032723296917,0.15758450823767078
QCOM,0.10171874143803622,0.11510554515547089,0.12900764116757446,0.139069667360187,0.14857888010434722,0.15517167588487396,0.16460015926854077,0.17710083072026606,0.18849312562974174
NOW,0.13530698692430237,0.14006265686300418,0.14629386441059172,0.1498709803578933,0.15437972045961124,0.1573162506034509,0.1610864701202745,0.16599250526560128,0.17048361081576646
SAP,0.126195096904744,0.13509052772524577,0.14492759885866702,0.15167863228087736,0.15870852126346174,0.16325353949549376,0.16971879275592827,0.1782110136087225,0.1858341383264484
CRM,0.15909834277863016,0.16247295245382587,0.1657641180526392,0.16750607462579448,0.16946691211584264,0.17041425304841296,0.1715210392370361,0.17342105956675818,0.17593104898205514
AAPL,0.1369361798932966,0.1460896233289508,0.15601298227514315,0.16323326210313988,0.1704107019282372,0.17530992835696035,0.18216845606658222,0.1909233088924282,0.1985093988194926
AVGO,0.1747060404820971,0.17250329611515358,0.17234268177312706,0.17028425426044874,0.1692385586281045,0.16811983418718662,0.16614792197930028,0.16441439767715327,0.16366226116694987
AMAT,0.1482321570479901,0.16168128441875002,0.17581245357091468,0.1859884505765968,0.19579945589947279,0.20251369047112622,0.21186546318456373,0.22414830591055995,0.23539312544777824
ADI,0.15605264194235635,0.1682172106192757,0.18117847702776163,0.19044758438499343,0.19958841635785168,0.20560824757417767,0.21434356827097711,0.22595441317405884,0.23639676820179534
CSCO,0.19192415986068406,0.19847634608901088,0.20568303343159355,0.21084409282368832,0.21607882359605884,0.21979380203461896,0.22473296936483889,0.23107067716446195,0.23646092550362158
TSLA,0.19095780143573116,0.20021017818162568,0.21047916173984493,0.2177127314263585,0.22496939883305683,0.22975454725930616,0.2366748801283402,0.2457354709799235,0.2538321044587028
ADBE,0.20570907518875348,0.21238599535590974,0.21951834649395618,0.22459812575368776,0.22907558852912707,0.23206386691117625,0.23643692113830828,0.24226358379251195,0.24769417241805097
ASML,0.2112436583748521,0.21842665888731538,0.22665593940543782,0.2323262457877796,0.23780152818364686,0.24138888057184094,0.24707640144444104,0.2545797042117437,0.26110092109356053
PANW,0.22376734500703177,0.23275549833121678,0.24253301139874073,0.24959216019580127,0.25660789854126914,0.26131866406619997,0.26800554172252344,0.2766257654992817,0.28414855598072375
TXN,0.2371112182642317,0.24774656105464427,0.2592701894360039,0.2674289912784754,0.2755052017444598,0.2808307823933609,0.2885638579116597,0.2986377414626058,0.30780420484373183
ORCL,0.3039664801824132,0.30031324527499775,0.2972665030156398,0.2932366516111653,0.2900453492462246,0.28808877784071696,0.2849465810136141,0.2799891788583346,0.2768146188678555
ADSK,0.26253173648265077,0.27394181863154776,0.28616060047929875,0.2949430164834548,0.3036062699298652,0.3092633689286069,0.31748851751266244,0.3283886861611786,0.3381778785842064
STX,0.28248480398133213,0.29203320799646554,0.30241301050031577,0.3097868460392492,0.3174679875599522,0.32254889063003195,0.32957471123847965,0.33875451050144,0.3468462293622373
LRCX,0.32459038847017685,0.33294666852629584,0.3421425486387446,0.34843216907919716,0.35489528961946565,0.35901273146694435,0.365097482404674,0.3731022279152078,0.380376676292551
KLAC,0.4320586261738114,0.44394408310037414,0.4566453412185811,0.4656963338109387,0.474790874566955,0.48072029721087073,0.48930724522173213,0.5006377297493816,0.5108442070728475
INTU,0.4601636404491665,0.47245152784437394,0.4854515266988463,0.49498678067079327,0.5045620255850018,0.510963566076338,0.5197670709279847,0.5310618788253372,0.5411445361585231
