Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
MSFT,-0.05183213102071316,-0.05246180671827905,-0.05320763400690165,-0.054251431258390714,-0.05437810664872189,-0.054597793541336204,-0.05539066823478023,-0.05640212251845467,-0.056801708006184226
NVDA,0.012716520086582306,0.009439276809148245,0.006305259528038398,0.0035217837184007283,0.0006905748608332374,-0.0019088859953545478,-0.004318790281956142,-0.006284667525887078,-0.00794858486954575
INTC,0.09306044067071073,0.09599219926659974,0.09885717649195769,0.10102933005404557,0.10292162258345561,0.10443471810335914,0.1066911883044811,0.10971621037490864,0.11230621852212597
AMD,0.2679541072852758,0.26280541772211474,0.25683196251077645,0.252872740798893,0.2488391474119781,0.24635838616442074,0.2425141295069987,0.2375115280168204,0.23287931490479818
TSM,0.2716730124804573,0.27169670563437365,0.271876119325806,0.27180158053776127,0.2718382883499436,0.27191598332748157,0.272103348015192,0.27239206892554424,0.272672495780065
IBM,0.31346555363983064,0.3112716751126967,0.3099309337698284,0.30857526534055435,0.30756547939689904,0.3079216526090376,0.3066376903576715,0.30470496504797284,0.302712298643516
MU,0.30025570286530323,0.3060430439420452,0.3118677419418423,0.3163048184124956,0.3209321622039868,0.3240192407097897,0.32817846973081855,0.3337036712402194,0.33853082617779173
META,0.3688992072622551,0.35798037800674987,0.3481704762467436,0.3390309085347931,0.33074083780130725,0.3252130399340223,0.316327459590243,0.3057693970070092,0.29701565317445544
GOOGL,0.40094226951491324,0.3991661807927632,0.3984466628351048,0.39702057905891064,0.3961787958427132,0.3957670959868208,0.393870411478901,0.3920148003465121,0.39046382314246897
QCOM,0.369672848723312,0.37791096287758563,0.3858396036783509,0.39194240815908,0.3974180275163253,0.4015300620492947,0.40711428877553946,0.41461235873708646,0.4213724405345399
NOW,0.4032610942095782,0.4028680745851189,0.40312582692136817,0.4027437211567863,0.40321886787158934,0.40367463676787163,0.4036005996272732,0.4035040332824217,0.40336292572056465
SAP,0.3941492041900198,0.3978959454473605,0.40175956136944346,0.40455137307977035,0.40754766867543984,0.4096119256599145,0.41223292226292696,0.4157225416255429,0.4187134532312466
CRM,0.42705245006390596,0.4252783701759406,0.42259608056341563,0.42037881542468747,0.41830605952782074,0.4167726392128337,0.4140351687440348,0.4109325875835786,0.4088103638868533
AAPL,0.4048902871785724,0.40889504105106556,0.4128449447859196,0.41610600290203287,0.4192498493402153,0.4216683145213811,0.4246825855735809,0.4284348369092486,0.4313887137242908
AVGO,0.4426601477673729,0.4353087138372683,0.4291746442839035,0.42315699505934173,0.4180777060400826,0.41447822035160736,0.40866205148629897,0.4019259256939737,0.39654157607174806
AMAT,0.4161862643332659,0.42448670214086476,0.43264441608169113,0.4388611913754898,0.4446386033114509,0.44887207663554696,0.4543795926915624,0.46165983392738036,0.4682724403525764
ADI,0.42400674922763215,0.43102262834139043,0.4380104395385381,0.4433203251838864,0.4484275637698298,0.4519666337385984,0.4568576977779758,0.46346594119087925,0.4692760831065935
CSCO,0.45987826714595986,0.4612817638111256,0.46251499594237,0.4637168336225813,0.46491797100803695,0.4661521881990397,0.4672470988718376,0.46858220518128235,0.46934024040841976
TSLA,0.45891190872100696,0.4630155959037404,0.4673111242506214,0.4705854722252515,0.47380854624503493,0.4761129334237269,0.4791890096353389,0.4832469989967439,0.486711419363501
ADBE,0.4736631824740293,0.4751914130780245,0.47635030900473263,0.47747086655258075,0.4779147359411052,0.478422253075597,0.47895105064530696,0.47977511180933236,0.48057348732284916
ASML,0.4791977656601279,0.4812320766094301,0.48348790191621427,0.4851989865866726,0.48664067559562496,0.4877472667362617,0.48959053095143973,0.4920912322285641,0.4939802359983587
PANW,0.49172145229230757,0.4955609160533315,0.4993649739095172,0.5024649009946942,0.5054470459532472,0.5076770502306207,0.5105196712295221,0.5141372935161022,0.5170278708855219
TXN,0.5050653255495074,0.510551978776759,0.5161021519467803,0.5203017320773684,0.5243443491564379,0.5271891685577816,0.5310779874186584,0.5361492694794262,0.54068351974853
ORCL,0.5719205874676889,0.5631186629971126,0.5540984655264163,0.5461093924100583,0.5388844966582027,0.5344471640051377,0.5274607105206128,0.5175007068751549,0.5096939337726537
ADSK,0.5304858437679265,0.5367472363536625,0.5429925629900751,0.5478157572823478,0.5524454173418434,0.5556217550930276,0.5600026470196611,0.565900214177999,0.5710571934890045
STX,0.5504389112666079,0.5548386257185802,0.5592449730110922,0.5626595868381422,0.5663071349719303,0.5689072767944527,0.5720888407454783,0.5762660385182604,0.5797255442670355
LRCX,0.5925444957554526,0.5957520862484106,0.598974511149521,0.6013049098780902,0.6037344370314437,0.6053711176313651,0.6076116119116727,0.6106137559320282,0.6132559911973492
KLAC,0.7000127334590872,0.7067495008224889,0.7134773037293576,0.7185690746098317,0.7236300219789331,0.7270786833752915,0.7318213747287308,0.738149257766202,0.7437235219776457
INTU,0.7281177477344423,0.7352569455664887,0.7422834892096227,0.7478595214696863,0.75340117299698,0.7573219522407587,0.7622812004349834,0.7685734068421576,0.7740238510633213
