Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
MSFT,-0.5310298966808411,-0.5336938833277092,-0.5366955359231159,-0.5394504178450633,-0.5410187822443469,-0.5423450602775979,-0.5449811991862199,-0.5484933547470188,-0.550781944004543
AMZN,-0.4791977656601279,-0.4812320766094301,-0.48348790191621427,-0.4851989865866726,-0.48664067559562496,-0.4877472667362617,-0.48959053095143973,-0.4920912322285641,-0.4939802359983587
NVDA,-0.4664812455735456,-0.4717927998002819,-0.47718264238817587,-0.48167720286827187,-0.4859501007347917,-0.4896561527316162,-0.49390932123339587,-0.4983758997544512,-0.5019288208679045
INTC,-0.38613732498941716,-0.3852398773428304,-0.3846307254242566,-0.384169656532627,-0.38371905301216935,-0.38331254863290254,-0.38289934264695863,-0.38237502185365546,-0.38167401747623275
AMD,-0.2112436583748521,-0.21842665888731538,-0.22665593940543782,-0.2323262457877796,-0.23780152818364686,-0.24138888057184094,-0.24707640144444104,-0.2545797042117437,-0.26110092109356053
TSM,-0.20752475317967062,-0.20953537097505648,-0.21161178259040825,-0.21339740604891133,-0.21480238724568135,-0.2158312834087801,-0.21748718293624775,-0.21969916330301986,-0.2213077402182937
IBM,-0.16573221202029725,-0.16996040149673342,-0.17355696814638588,-0.17662372124611825,-0.17907519619872592,-0.1798256141272241,-0.1829528405937682,-0.18738626718059126,-0.1912679373548427
MU,-0.17894206279482466,-0.17518903266738495,-0.17162015997437197,-0.16889416817417702,-0.16570851339163817,-0.16372802602647196,-0.16141206122062118,-0.15838756098834472,-0.15544940982056699
META,-0.11029855839787278,-0.12325169860268026,-0.1353174256694707,-0.14616807805187948,-0.1558998377943177,-0.1625342268022394,-0.17326307136119673,-0.18632183522155488,-0.19696458282390328
GOOGL,-0.07825549614521465,-0.0820658958166669,-0.08504123908110944,-0.08817840752776196,-0.09046187975291176,-0.09198017074944087,-0.09572011947253872,-0.10007643188205201,-0.10351641285588975
QCOM,-0.10952491693681587,-0.1033211137318445,-0.09764829823786336,-0.0932565784275926,-0.08922264807929964,-0.08621720468696698,-0.08247624217590027,-0.07747887349147764,-0.07260779546381879
NOW,-0.07593667145054972,-0.07836400202431121,-0.0803620749948461,-0.08245526542988629,-0.08342180772403562,-0.08407262996839004,-0.08598993132416655,-0.08858719894614242,-0.09061731027779407
SAP,-0.08504856147010809,-0.08333613116206962,-0.0817283405467708,-0.08064761350690225,-0.07909300692018512,-0.07813534107634718,-0.07735760868851277,-0.0763686906030212,-0.07526678276711213
CRM,-0.05214531559622193,-0.055953706433489514,-0.060891821352798636,-0.06482017116198513,-0.06833461606780422,-0.07097462752342798,-0.07555536220740494,-0.08115864464498551,-0.0851698721115054
AAPL,-0.0743074784815555,-0.07233703555836457,-0.07064295713029467,-0.06909298368463973,-0.06739082625540965,-0.06607895221488058,-0.06490794537785882,-0.0636563953193155,-0.06259152227406795
AVGO,-0.036537617892755,-0.0459233627721618,-0.05431325763231076,-0.062041991527330864,-0.06856296955554236,-0.07326904638465431,-0.08092847946514076,-0.09016530653459043,-0.09743865992661066
AMAT,-0.06301150132686201,-0.05674537446856537,-0.05084348583452314,-0.04633779521118281,-0.042002072284174075,-0.03887519010071472,-0.03521093825987731,-0.030431398301183743,-0.025707795645782294
ADI,-0.05519101643249574,-0.05020944826803969,-0.04547746237767619,-0.04187866140278618,-0.038213111825795176,-0.035780632997663264,-0.03273283317346393,-0.028625291037684852,-0.024704152891765196
CSCO,-0.019319498514168032,-0.019950312798304504,-0.02097290597384427,-0.021482152964091283,-0.021722704587588015,-0.02159507853722198,-0.022343432079602155,-0.02350902704728175,-0.024639995589938957
TSLA,-0.02028585693912094,-0.018216480705689708,-0.01617677766559289,-0.01461351436142111,-0.012832129350590027,-0.011634333312534773,-0.010401521316100837,-0.008844233231820209,-0.007268816634857733
ADBE,-0.005534583186098618,-0.006040663531405643,-0.007137592911481638,-0.0077281200340918454,-0.008725939654519788,-0.009325013660664683,-0.010639480306132765,-0.012316120419231746,-0.013406748675509561
PANW,0.012523686632179676,0.014328839443901398,0.015877071993302905,0.017265914408021665,0.018806370357622282,0.019929783494359032,0.020929140278082403,0.022046061287538,0.023047634887163215
TXN,0.02586755988937961,0.029319902167328882,0.03261425003056606,0.03510274549069581,0.037703673560812945,0.039441901821519965,0.041487456467218686,0.0440580372508621,0.0467032837501713
ORCL,0.09272282180756108,0.08188658638768237,0.07061056361020196,0.060910405823385694,0.052243821062577744,0.04669989726887602,0.037870179569173046,0.02540947464659088,0.015713697774294988
ADSK,0.051288078107798674,0.05551515974423238,0.05950466107386093,0.06261677069567517,0.06580474174621836,0.06787448835676596,0.0704121160682214,0.07380898194943492,0.07707695749064586
STX,0.07124114560648004,0.07360654910915015,0.07575707109487795,0.07746060025146961,0.07966645937630534,0.08116001005819101,0.0824983097940386,0.08417480628969631,0.08574530826867677
LRCX,0.11334673009532478,0.11452000963898046,0.11548660923330678,0.11610592329141756,0.11709376143581879,0.11762385089510341,0.11802108096023295,0.11852252370346411,0.11927575519899047
KLAC,0.22081496779895932,0.2255174242130588,0.22998940181314326,0.23337008802315912,0.23698934638330812,0.2393314166390298,0.2422308437772911,0.24605802553763792,0.249743285979287
INTU,0.24891998207431443,0.25402486895705856,0.25879558729340846,0.26266053488301366,0.266760497401355,0.26957468550449704,0.27269066948354365,0.2764821746135935,0.28004361506496256
