Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
MSFT,-0.49449227878808605,-0.48777052055554737,-0.48238227829080516,-0.47740842631773245,-0.4724558126888045,-0.46907601389294357,-0.4640527197210792,-0.45832804821242834,-0.4533432840779323
AMZN,-0.4426601477673729,-0.4353087138372683,-0.4291746442839035,-0.42315699505934173,-0.4180777060400826,-0.41447822035160736,-0.40866205148629897,-0.4019259256939737,-0.39654157607174806
NVDA,-0.4299436276807906,-0.4258694370281201,-0.4228693847558651,-0.419635211340941,-0.41738713117924936,-0.4163871063469619,-0.4129808417682551,-0.40821059321986075,-0.4044901609412938
INTC,-0.34959970709666216,-0.3393165145706686,-0.3303174677919458,-0.32212766500529616,-0.315156083456627,-0.3100435022482482,-0.3019708631818179,-0.29220971531906503,-0.2842353575496221
AMD,-0.1747060404820971,-0.17250329611515358,-0.17234268177312706,-0.17028425426044874,-0.1692385586281045,-0.16811983418718662,-0.16614792197930028,-0.16441439767715327,-0.16366226116694987
TSM,-0.17098713528691561,-0.16361200820289468,-0.15729852495809749,-0.15135541452158047,-0.14623941769013898,-0.1425622370241258,-0.136558703471107,-0.12953385676842943,-0.12386908029168303
IBM,-0.12919459412754225,-0.12403703872457161,-0.11924371051407512,-0.11458172971878738,-0.11051222664318355,-0.10655656774256977,-0.10202436112862745,-0.09722096064600083,-0.09382927742823205
MU,-0.14240444490206966,-0.12926566989522315,-0.1173069023420612,-0.10685217664684615,-0.0971455438360958,-0.09045897964181765,-0.08048358175548043,-0.0682222544537543,-0.058010749893956326
META,-0.07376094050511778,-0.07732833583051846,-0.08100416803715993,-0.08412608652454862,-0.08733686823877534,-0.08926518041758508,-0.09233459189605597,-0.09615652868696445,-0.09952592289729262
GOOGL,-0.04171787825245965,-0.0361425330445051,-0.03072798144879868,-0.026136416000431095,-0.021898910197369392,-0.018711124364786558,-0.014791640007397966,-0.00991112534746158,-0.00607775292927909
QCOM,-0.07298729904406087,-0.05739775095968269,-0.0433350406055526,-0.031214586900261743,-0.020659678523757274,-0.012948158302312662,-0.0015477627107595149,0.012686433043112788,0.02483086446279187
NOW,-0.039399053557794717,-0.032440639252149406,-0.026048817362535337,-0.02041327390255543,-0.01485883816849326,-0.010803583583735732,-0.0050614518590257895,0.0015781075884480078,0.006821349648816588
SAP,-0.04851094357735308,-0.03741276838990781,-0.027415082914460043,-0.018605621979571385,-0.010530037364642753,-0.004866294691692863,0.003570870776627988,0.013796615931569223,0.022171877159498532
CRM,-0.015607697703466927,-0.010030343661327712,-0.006578563720487873,-0.0027781796346542653,0.00022835348773814212,0.0022944188612263328,0.0053731172577358155,0.009006661889604917,0.012268787815105264
AAPL,-0.0377698605888005,-0.02641367278620277,-0.016329699497983907,-0.007050992157308866,0.0011721433001327108,0.007190094169773731,0.016020534087281935,0.026508911215274933,0.034847137652542715
AMAT,-0.026473883434107004,-0.010822011696403566,0.003469771797787624,0.015704196316148056,0.02656089727136829,0.034393856283939594,0.045717541205263446,0.059733908233406685,0.07173086428082837
ADI,-0.01865339853974074,-0.004286085495877889,0.00883579525463457,0.020163330124544687,0.030349857729747187,0.03748841338699105,0.04819564629167683,0.061540015496905576,0.07273450703484546
CSCO,0.01721811937858697,0.0259730499738573,0.033340351658466494,0.04055983856323958,0.04684026496795435,0.051673967847432334,0.0585850473855386,0.06665627948730868,0.0727986643366717
TSLA,0.016251760953634065,0.027706882066472094,0.03813647996671787,0.047428477165909755,0.05573084020495234,0.06163471307211954,0.07052695814903992,0.08132107330277022,0.09016984329175293
ADBE,0.031003034706656385,0.03988269924075616,0.047175664720829125,0.05431387149323902,0.059837029901022576,0.06394403272398963,0.07028899915900799,0.07784918611535868,0.0840319112511011
ASML,0.036537617892755,0.0459233627721618,0.05431325763231076,0.062041991527330864,0.06856296955554236,0.07326904638465431,0.08092847946514076,0.09016530653459043,0.09743865992661066
PANW,0.04906130452493468,0.0602522022160632,0.07019032962561367,0.07930790593535253,0.08736933991316465,0.09319882987901335,0.10185761974322316,0.11221136782212843,0.12048629481377388
TXN,0.06240517778213461,0.07524326493949068,0.08692750766287682,0.09714473701802667,0.10626664311635531,0.11271094820617428,0.12241593593235944,0.13422334378545253,0.14414194367678196
ORCL,0.1292604397003161,0.12780994915984417,0.12492382124251272,0.12295239735071656,0.12080679061812011,0.11996894365353034,0.1187986590343138,0.11557478118118131,0.11315235770090565
ADSK,0.08782569600055368,0.10143852251639418,0.1138179187061717,0.12465876222300604,0.13436771130176073,0.14114353474142027,0.15134059553336215,0.16397428848402534,0.17451561741725652
STX,0.10777876349923504,0.11952991188131196,0.1300703287271887,0.13950259177880048,0.1482294289318477,0.15442905644284532,0.16342678925917936,0.17434011282428674,0.18318396819528743
LRCX,0.14988434798807979,0.16044337241114226,0.16979986686561754,0.17814791481874842,0.18565673099136115,0.19089289727975772,0.1989495604253737,0.20868783023805454,0.21671441512560113
KLAC,0.2573525856917143,0.27144078698522056,0.284302659445454,0.29541207955049,0.30555231593885046,0.3126004630236841,0.32315932324243185,0.3362233320722283,0.3471819459058977
INTU,0.28545759996706943,0.29994823172922036,0.3131088449257192,0.3247025264103445,0.3353234669568974,0.3428437318891514,0.3536191489486844,0.3666474811481839,0.37748227499157316
