Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
MSFT,-0.4788845810846191,-0.47774017689421966,-0.4758037145703173,-0.4746302466830782,-0.47268416617654263,-0.4713704327541699,-0.469425836978815,-0.46733471010203326,-0.46561207189303755
AMZN,-0.42705245006390596,-0.4252783701759406,-0.42259608056341563,-0.42037881542468747,-0.41830605952782074,-0.4167726392128337,-0.4140351687440348,-0.4109325875835786,-0.4088103638868533
NVDA,-0.41433592997732366,-0.41583909336679237,-0.41629082103537723,-0.41685703170628674,-0.4176154846669875,-0.41868152520818824,-0.41835395902599093,-0.41721725510946567,-0.4167589487563991
INTC,-0.33399200939319523,-0.32928617090934087,-0.32373890407145794,-0.3193494853706419,-0.31538443694436513,-0.31233792110947456,-0.3073439804395537,-0.30121637720866995,-0.29650414536472736
AMD,-0.15909834277863016,-0.16247295245382587,-0.1657641180526392,-0.16750607462579448,-0.16946691211584264,-0.17041425304841296,-0.1715210392370361,-0.17342105956675818,-0.17593104898205514
TSM,-0.1553794375834487,-0.15358166454156696,-0.1507199612376096,-0.1485772348869262,-0.14646777117787713,-0.14485665588535213,-0.1419318207288428,-0.13854051865803435,-0.1361378681067883
IBM,-0.11358689642407532,-0.1140066950632439,-0.11266514679358725,-0.11180355008413312,-0.1107405801309217,-0.10885098660379611,-0.10739747838636327,-0.10622762253560575,-0.10609806524333731
MU,-0.12679674719860273,-0.11923532623389543,-0.11072833862157333,-0.10407399701219189,-0.09737389732383395,-0.09275339850304398,-0.08585669901321624,-0.07722891634335921,-0.07027953770906159
META,-0.05815324280165085,-0.06729799216919075,-0.07442560431667206,-0.08134790688989435,-0.08756522172651349,-0.09155959927881141,-0.09770770915379179,-0.10516319057656937,-0.11179471071239788
GOOGL,-0.026110180548992723,-0.026112189383177387,-0.024149417728310807,-0.02335823636577683,-0.022127263685107534,-0.02100554322601289,-0.02016475726513378,-0.018917787237066497,-0.018346540744384354
QCOM,-0.057379601340593944,-0.04736740729835498,-0.036756476885064726,-0.028436407265607477,-0.020888032011495417,-0.015242577163538995,-0.00692087996849533,0.0036797711535078714,0.012562076647686604
NOW,-0.02379135585432779,-0.022410295590821694,-0.019470253642047464,-0.017635094267901164,-0.015087191656231402,-0.013098002444962065,-0.010434569116761605,-0.007428554301156909,-0.005447438166288676
SAP,-0.032903245873886156,-0.0273824247285801,-0.02083651919397217,-0.01582744234491712,-0.010758390852380895,-0.007160713552919196,-0.0018022464811078276,0.004789954041964306,0.009903089344393268
AAPL,-0.02216216288533357,-0.016383329124875057,-0.009751135777496034,-0.004272812522654601,0.0009437898123945687,0.004895675308547398,0.010647416829546119,0.017502249325670016,0.02257834983743745
AVGO,0.015607697703466927,0.010030343661327712,0.006578563720487873,0.0027781796346542653,-0.00022835348773814212,-0.0022944188612263328,-0.0053731172577358155,-0.009006661889604917,-0.012268787815105264
AMAT,-0.010866185730640077,-0.0007916680350758543,0.010048335518275497,0.01848237595080232,0.026332543783630147,0.03209943742271326,0.04034442394752763,0.05072724634380177,0.0594620764657231
ADI,-0.0030457008362738125,0.005744258165449823,0.015414358975122444,0.022941509759198953,0.030121504242009045,0.035193994525764716,0.042822529033941015,0.05253335360730066,0.0604657192197402
CSCO,0.0328258170820539,0.03600339363518501,0.03991891537895437,0.043338018197893846,0.046611911480216206,0.049379548986206,0.05321193012780279,0.05764961759770376,0.06052987652156644
TSLA,0.03185945865710099,0.037737225727799806,0.04471504368720575,0.05020665680056402,0.055502486717214194,0.05934029421089321,0.0651538408913041,0.0723144114131653,0.07790105547664766
ADBE,0.04661073241012331,0.04991304290208387,0.053754228441317,0.057092051127893284,0.059608676413284434,0.0616496138627633,0.06491588190127218,0.06884252422575377,0.07176312343599583
ASML,0.05214531559622193,0.055953706433489514,0.060891821352798636,0.06482017116198513,0.06833461606780422,0.07097462752342798,0.07555536220740494,0.08115864464498551,0.0851698721115054
PANW,0.0646690022284016,0.07028254587739091,0.07676889334610154,0.0820860855700068,0.0871409864254265,0.09090441101778701,0.09648450248548734,0.10320470593252351,0.10821750699866861
TXN,0.07801287548560154,0.0852736086008184,0.0935060713833647,0.09992291665268094,0.10603828962861717,0.11041652934494794,0.11704281867462363,0.12521668189584761,0.1318731558616767
ORCL,0.14486813740378301,0.13784029282117188,0.1315023849630006,0.12573057698537082,0.12057843713038197,0.117674524792304,0.11342554177657799,0.10656811929157639,0.10088356988580038
ADSK,0.1034333937040206,0.11146886617772189,0.12039648242665957,0.1274369418576603,0.1341393578140226,0.13884911588019394,0.14596747827562634,0.15496762659442043,0.16224682960215125
STX,0.12338646120270197,0.12956025554263967,0.13664889244767658,0.14228077141345474,0.14800107544410956,0.152134637581619,0.15805367200144355,0.16533345093468182,0.17091518038018216
LRCX,0.1654920456915467,0.17047371607246997,0.17637843058610542,0.18092609445340269,0.185428377503623,0.1885984784185314,0.1935764431676379,0.19968116834844962,0.20444562731049587
KLAC,0.27296028339518125,0.2814711306465483,0.2908812231659419,0.29819025918514425,0.3053239624511124,0.3103060441624578,0.31778620598469604,0.32721667018262346,0.33491315809079236
INTU,0.30106529767053636,0.3099785753905481,0.3196874086462071,0.3274807060449988,0.3350951134691592,0.340549313027925,0.3482460316909486,0.357640819258579,0.36521348717646795
