Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
MSFT,-0.5117103981666731,-0.5137435705294047,-0.5157226299492716,-0.517968264880972,-0.5192960776567588,-0.5207499817403759,-0.5226377671066178,-0.524984327699737,-0.5261419484146039
AMZN,-0.45987826714595986,-0.4612817638111256,-0.46251499594237,-0.4637168336225813,-0.46491797100803695,-0.4661521881990397,-0.4672470988718376,-0.46858220518128235,-0.46934024040841976
NVDA,-0.44716174705937756,-0.4518424870019774,-0.4562097364143316,-0.4601950499041806,-0.4642273961472037,-0.46806107419439424,-0.4715658891537937,-0.47486687270716943,-0.4772888252779655
INTC,-0.36681782647524913,-0.3652895645445259,-0.3636578194504123,-0.36268750356853574,-0.36199634842458134,-0.36171747009568056,-0.3605559105673565,-0.3588659948063737,-0.3570340218862938
AMD,-0.19192415986068406,-0.19847634608901088,-0.20568303343159355,-0.21084409282368832,-0.21607882359605884,-0.21979380203461896,-0.22473296936483889,-0.23107067716446195,-0.23646092550362158
TSM,-0.18820525466550259,-0.18958505817675197,-0.19063887661656398,-0.19191525308482005,-0.19307968265809333,-0.19423620487155813,-0.1951437508566456,-0.1961901362557381,-0.19666774462835473
IBM,-0.14641271350612922,-0.1500100886984289,-0.1525840621725416,-0.15514156828202696,-0.1573524916111379,-0.1582305355900021,-0.16060940851416605,-0.1638772401333095,-0.16662794176490375
MU,-0.15962256428065663,-0.15523871986908044,-0.1506472540005277,-0.14741201521008573,-0.14398580880405015,-0.14213294748924998,-0.13906862914101903,-0.13487853394106297,-0.13080941423062803
META,-0.09097905988370475,-0.10330138580437576,-0.11434451969562642,-0.1246859250877882,-0.1341771332067297,-0.1409391482650174,-0.15091963928159458,-0.16281280817427313,-0.17232458723396432
GOOGL,-0.05893599763104662,-0.0621155830183624,-0.06406833310726517,-0.06669625456367068,-0.06873917516532374,-0.07038509221221889,-0.07337668739293657,-0.07656740483477026,-0.0788764172659508
QCOM,-0.09020541842264784,-0.08337080093353999,-0.0766753922640191,-0.07177442546350132,-0.06749994349171162,-0.064622126149745,-0.06013281009629812,-0.05396984644419589,-0.047967799873879835
NOW,-0.05661717293638169,-0.058413689226006704,-0.05938916902100183,-0.06097311246579501,-0.06169910313644761,-0.062477551431168066,-0.06364649924456439,-0.06507817189886067,-0.06597731468785512
SAP,-0.06572906295594005,-0.06338581836376511,-0.06075543457292654,-0.059165460542810966,-0.0573703023325971,-0.0565402625391252,-0.055014176608910614,-0.052859663555739456,-0.05062678717717317
CRM,-0.0328258170820539,-0.03600339363518501,-0.03991891537895437,-0.043338018197893846,-0.046611911480216206,-0.049379548986206,-0.05321193012780279,-0.05764961759770376,-0.06052987652156644
AAPL,-0.05498797996738747,-0.05238672276006007,-0.0496700511564504,-0.04761083072054845,-0.04566812166782164,-0.0444838736776586,-0.04256451329825667,-0.040147368272033745,-0.03795152668412899
AVGO,-0.01721811937858697,-0.0259730499738573,-0.033340351658466494,-0.04055983856323958,-0.04684026496795435,-0.051673967847432334,-0.0585850473855386,-0.06665627948730868,-0.0727986643366717
AMAT,-0.043692002812693975,-0.036795061670260865,-0.02987057986067887,-0.024855642247091525,-0.02027936769658606,-0.01728011156349274,-0.012867506180275157,-0.006922371253901993,-0.0010678000558433376
ADI,-0.03587151791832771,-0.030259135469735188,-0.024504556403831923,-0.020396508438694894,-0.01649040723820716,-0.014185554460441285,-0.010389401093861772,-0.005116263990403103,-6.41573018262398e-05
TSLA,-0.0009663584249529067,0.0017338320926147954,0.0047961283082513795,0.006868638602670174,0.008890575236997988,0.009960745224687206,0.011941910763501318,0.014664793815461541,0.017371178955081223
ADBE,0.013784915328069414,0.01390964926689886,0.01383531306236263,0.013754032929999438,0.012996764933068228,0.012270064876557296,0.01170395177346939,0.011192906628050003,0.011233246914429396
ASML,0.019319498514168032,0.019950312798304504,0.02097290597384427,0.021482152964091283,0.021722704587588015,0.02159507853722198,0.022343432079602155,0.02350902704728175,0.024639995589938957
PANW,0.03184318514634771,0.0342791522422059,0.036849977967147174,0.03874806737211295,0.0405290749452103,0.04152486203158101,0.04327257235768456,0.04555508833481975,0.04768763047710217
TXN,0.04518705840354764,0.049270214965633385,0.05358715600441033,0.05658489845478709,0.05942637814840096,0.061036980358741943,0.06383088854682084,0.06756706429814385,0.07134327934011025
ORCL,0.11204232032172912,0.10183689918598687,0.09158346958404623,0.08239255878747698,0.07396652565016576,0.068294975806098,0.0602136116487752,0.04891850169387263,0.040353693364233945
ADSK,0.0706075766219667,0.07546547254253688,0.0804775670477052,0.08409892365976646,0.08752744633380638,0.08946956689398794,0.09275554814782355,0.09731800899671667,0.10171695308058482
STX,0.09056064412064807,0.09355686190745466,0.09672997706872222,0.0989427532155609,0.10138916396389336,0.10275508859541299,0.10484174187364076,0.10768383333697806,0.11038530385861572
LRCX,0.13266622860949281,0.13447032243728496,0.13645951520715105,0.13758807625550884,0.1388164660234068,0.1392189294323254,0.1403645130398351,0.14203155075074586,0.14391575078892943
KLAC,0.24013446631312735,0.2454677370113633,0.2509623077869875,0.2548522409872504,0.2587120509708961,0.26092649517625177,0.26457427585689325,0.26956705258491964,0.274383281569226
INTU,0.26823948058848246,0.27397518175536306,0.2797684932672527,0.28414268784710495,0.28848320198894306,0.291169764041719,0.2950341015631458,0.29999120166087523,0.30468361065490146
