Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
MSFT,-0.4527744005356264,-0.4516279875110423,-0.4516542968420065,-0.45127201031730135,-0.4505569024914351,-0.450364889528157,-0.44926107971368123,-0.44841692286496676,-0.4472655311486532
AMZN,-0.40094226951491324,-0.3991661807927632,-0.3984466628351048,-0.39702057905891064,-0.3961787958427132,-0.3957670959868208,-0.393870411478901,-0.3920148003465121,-0.39046382314246897
NVDA,-0.38822574942833094,-0.389726903983615,-0.3921414033070664,-0.3934987953405099,-0.39548822098187997,-0.39767598198217535,-0.39818920176085715,-0.39829946787239917,-0.3984124080120147
INTC,-0.3078818288442025,-0.3031739815261635,-0.29958948634314714,-0.29599124900486506,-0.2932571732592576,-0.29133237788346167,-0.2871792231744199,-0.28229858997160345,-0.278157604620343
AMD,-0.13298816222963744,-0.13636076307064848,-0.14161470032432838,-0.14414783826001765,-0.1473396484307351,-0.14940870982240007,-0.15135628197190232,-0.1545032723296917,-0.15758450823767078
TSM,-0.12926925703445596,-0.12746947515838958,-0.1265705435092988,-0.12521899852114937,-0.12434050749276959,-0.12385111265933924,-0.12176706346370902,-0.11962273142096785,-0.11779132736240394
IBM,-0.0874767158750826,-0.08789450568006651,-0.08851572906527644,-0.08844531371835629,-0.08861331644581416,-0.08784544337778322,-0.08723272112122948,-0.08730983529853925,-0.08775152449895296
MU,-0.10068656664961001,-0.09312313685071805,-0.08657892089326252,-0.08071576064641506,-0.07524663363872641,-0.07174785527703109,-0.06569194174808246,-0.058311129106292714,-0.051932996964677236
META,-0.03204306225265813,-0.04118580278601336,-0.05027618658836125,-0.05798967052411752,-0.06543795804140595,-0.07055405605279852,-0.07754295188865801,-0.08624540333950287,-0.09344816996801353
QCOM,-0.03126942079160122,-0.021255217915177593,-0.01260705915675392,-0.005078170899830647,0.0012392316736121178,0.005762966062473895,0.013243877296638451,0.022597558390574368,0.03090861739207096
NOW,0.002318824694664934,0.0037018937923556927,0.004679164086263343,0.005723142097875666,0.007040072028876132,0.007907540781050826,0.009730188148372176,0.011489232935909588,0.012899102578095678
SAP,-0.0067930653248934325,-0.0012702353454027149,0.0033128985343386375,0.00753079402085971,0.01136887283272664,0.013844829673093695,0.018362510784025954,0.023707741279030803,0.028249630088777622
CRM,0.026110180548992723,0.026112189383177387,0.024149417728310807,0.02335823636577683,0.022127263685107534,0.02100554322601289,0.02016475726513378,0.018917787237066497,0.018346540744384354
AAPL,0.0039480176636591535,0.00972886025830233,0.014398281950814773,0.01908542384312223,0.023071053497502103,0.02590121853456029,0.0308121740946799,0.03642003656273651,0.040924890581821805
AVGO,0.04171787825245965,0.0361425330445051,0.03072798144879868,0.026136416000431095,0.021898910197369392,0.018711124364786558,0.014791640007397966,0.00991112534746158,0.00607775292927909
AMAT,0.015243994818352646,0.025320521348101532,0.034197753246586304,0.04184061231657915,0.04845980746873768,0.05310498064872615,0.06050918121266141,0.06964503358086827,0.07780861721010746
ADI,0.02306447971271891,0.03185644754862721,0.03956377670343325,0.04629974612497578,0.05224876792711658,0.056199537751777606,0.0629872862990748,0.07145114084436716,0.07881225996412455
CSCO,0.05893599763104662,0.0621155830183624,0.06406833310726517,0.06669625456367068,0.06873917516532374,0.07038509221221889,0.07337668739293657,0.07656740483477026,0.0788764172659508
TSLA,0.057969639206093715,0.06384941511097719,0.06886446141551655,0.07356489316634085,0.07762975040232173,0.0803458374369061,0.08531859815643789,0.0912321986502318,0.09624759622103202
ADBE,0.07272091295911604,0.07602523228526126,0.0779036461696278,0.08045028749367011,0.08173594009839197,0.08265515708877619,0.08508063916640596,0.08776031146282026,0.09010966418038019
ASML,0.07825549614521465,0.0820658958166669,0.08504123908110944,0.08817840752776196,0.09046187975291176,0.09198017074944087,0.09572011947253872,0.10007643188205201,0.10351641285588975
PANW,0.09077918277739433,0.0963947352605683,0.10091831107441235,0.10544432193578362,0.10926825011053404,0.1119099542437999,0.11664925975062113,0.12212249316959001,0.12656404774305297
TXN,0.10412305603459426,0.11138579798399578,0.1176554891116755,0.12328115301845777,0.1281655533137247,0.13142207257096084,0.1372075759397574,0.1441344691329141,0.15021969660606105
ORCL,0.17097831795277574,0.16395248220434927,0.1556518026913114,0.14908881335114765,0.1427057008154895,0.1386800680183169,0.13359029904171177,0.1254859065286429,0.11923011063018474
ADSK,0.12954357425301333,0.13758105556089928,0.14454590015497037,0.15079517822343713,0.15626662149913012,0.15985465910620683,0.16613223554076012,0.17388541383148692,0.1805933703465356
STX,0.1494966417516947,0.15567244492581706,0.1607983101759874,0.16563900777923157,0.1701283391292171,0.17314018080763188,0.17821842926657733,0.18425123817174832,0.18926172112456652
LRCX,0.19160222624053944,0.19658590545564736,0.20052784831441622,0.20428433081917952,0.20755564118873054,0.20960402164454428,0.21374120043277167,0.21859895558551612,0.22279216805488022
KLAC,0.29907046394417397,0.30758332002972566,0.3150306408942527,0.3215484955509211,0.3274512261362199,0.33131158738847066,0.3379509632498298,0.34613445741968996,0.3532596988351767
INTU,0.3271754782195291,0.33609076477372546,0.3438368263745179,0.3508389424107756,0.35722237715426675,0.3615548562539379,0.36841078895608237,0.3765586064956455,0.3835600279208523
