Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
MSFT,-0.3652976846605438,-0.36373348183097576,-0.36313856777673004,-0.36282669659894506,-0.36194358604562094,-0.3625194461503738,-0.36202835859245175,-0.3611070875664275,-0.35951400664970024
AMZN,-0.31346555363983064,-0.3112716751126967,-0.3099309337698284,-0.30857526534055435,-0.30756547939689904,-0.3079216526090376,-0.3066376903576715,-0.30470496504797284,-0.302712298643516
NVDA,-0.30074903355324833,-0.30183239830354847,-0.30362567424179,-0.3050534816221536,-0.3068749045360658,-0.30983053860439214,-0.31095648063962766,-0.3109896325738599,-0.31066088351306176
INTC,-0.2204051129691199,-0.21527947584609697,-0.2110737572778707,-0.20754593528650878,-0.20464385681344344,-0.20348693450567845,-0.19994650205319042,-0.1949887546730642,-0.19040608012139004
AMD,-0.04551144635455484,-0.04846625739058197,-0.05309897125905194,-0.05570252454166136,-0.05872633198492094,-0.06156326644461685,-0.06412356085067283,-0.06719343703115244,-0.06983298373871782
TSM,-0.041792541159373364,-0.03957496947832306,-0.03805481444402237,-0.03677368480279308,-0.03572719104695543,-0.03600566928155602,-0.03453434234247954,-0.0323128961224286,-0.03003980286345098
MU,-0.01320985077452741,-0.005228631170651532,0.0019368081720139152,0.007729553071941231,0.013366682807087749,0.016097588100752125,0.021540779373147023,0.028998706192246537,0.035818527534275724
META,0.05543365362242447,0.046708702894053156,0.03823954247691519,0.03045564319423877,0.02317535840440821,0.017291387324984697,0.009689769232571477,0.0010644319590363827,-0.005696645469060568
GOOGL,0.0874767158750826,0.08789450568006651,0.08851572906527644,0.08844531371835629,0.08861331644581416,0.08784544337778322,0.08723272112122948,0.08730983529853925,0.08775152449895296
QCOM,0.05620729508348138,0.06663928776488892,0.07590866990852252,0.08336714281852564,0.08985254811942628,0.09360840944025711,0.10047659841786793,0.10990739368911362,0.11866014189102392
NOW,0.08979554056974753,0.09159639947242221,0.09319489315153978,0.09416845581623196,0.09565338847469029,0.09575298415883404,0.09696290926960166,0.09879906823444884,0.10065062707704864
SAP,0.08068365055018917,0.0866242703346638,0.09182862759961508,0.095976107739216,0.0999821892785408,0.10169027305087691,0.10559523190525544,0.11101757657757005,0.11600115458773058
CRM,0.11358689642407532,0.1140066950632439,0.11266514679358725,0.11180355008413312,0.1107405801309217,0.10885098660379611,0.10739747838636327,0.10622762253560575,0.10609806524333731
AAPL,0.09142473353874175,0.09762336593836884,0.10291401101609121,0.10753073756147852,0.11168436994331626,0.1137466619123435,0.11804489521590938,0.12372987186127576,0.12867641508077476
AVGO,0.12919459412754225,0.12403703872457161,0.11924371051407512,0.11458172971878738,0.11051222664318355,0.10655656774256977,0.10202436112862745,0.09722096064600083,0.09382927742823205
AMAT,0.10272071069343525,0.11321502702816805,0.12271348231186274,0.13028592603493544,0.13707312391455184,0.14095042402650937,0.1477419023338909,0.15695486887940752,0.16556014170906042
ADI,0.11054119558780151,0.11975095322869372,0.1280795057687097,0.13474505984333207,0.14086208437293074,0.14404498112956082,0.15022000742030428,0.1587609761429064,0.1665637844630775
CSCO,0.14641271350612922,0.1500100886984289,0.1525840621725416,0.15514156828202696,0.1573524916111379,0.1582305355900021,0.16060940851416605,0.1638772401333095,0.16662794176490375
TSLA,0.14544635508117632,0.1517439207910437,0.157380190480793,0.16201020688469714,0.1662430668481359,0.16819128081468931,0.17255131927766737,0.17854203394877105,0.18399912071998498
ADBE,0.16019762883419864,0.16391973796532777,0.16641937523490424,0.1688956012120264,0.17034925654420613,0.1705006004665594,0.17231336028763544,0.1750701467613595,0.17786118867933315
ASML,0.16573221202029725,0.16996040149673342,0.17355696814638588,0.17662372124611825,0.17907519619872592,0.1798256141272241,0.1829528405937682,0.18738626718059126,0.1912679373548427
PANW,0.17825589865247693,0.1842892409406348,0.1894340401396888,0.1938896356541399,0.1978815665563482,0.19975539762158312,0.2038819808718506,0.20943232846812926,0.21431557224200593
TXN,0.19159977190967686,0.1992803036640623,0.20617121817695194,0.21172646673681406,0.21677886975953886,0.21926751594874405,0.2244402970609869,0.23144430443145336,0.237971221105014
ORCL,0.25845503382785834,0.2518469878844158,0.24416753175658784,0.23753412706950394,0.23131901726130366,0.2265255113961001,0.22082302016294125,0.21279574182718214,0.2069816351291377
ADSK,0.21702029012809593,0.2254755612409658,0.2330616292202468,0.23924049194179342,0.24487993794494428,0.24770010248399005,0.2533649566619896,0.2611952491300262,0.26834489484548857
STX,0.2369733576267773,0.24356695060588357,0.24931403924126383,0.25408432149758786,0.25874165557503126,0.2609856241854151,0.2654511503878068,0.2715610734702876,0.2770132456235195
LRCX,0.279078942115622,0.2844804111357139,0.28904357737969266,0.2927296445375358,0.2961689576345447,0.2974494650223275,0.30097392155400116,0.30590879088405537,0.3105436925538332
KLAC,0.38654717981925657,0.3954778257097922,0.40354636995952914,0.40999380926927737,0.41606454258203407,0.4191570307662539,0.4251836843710593,0.43344429271822915,0.4410112233341297
INTU,0.4146521940946117,0.423985270453792,0.43235255543979434,0.4392842561291319,0.4458356936000809,0.4494002996317211,0.45564351007731185,0.46386844179418474,0.47131155241980527
