Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
MSFT,-0.1448925716914239,-0.1484540059848788,-0.15206481049885934,-0.1552807613124363,-0.1572997292321775,-0.15903251164469534,-0.16208185653926133,-0.1661183328933633,-0.1691079265283102
AMZN,-0.09306044067071073,-0.09599219926659974,-0.09885717649195769,-0.10102933005404557,-0.10292162258345561,-0.10443471810335914,-0.1066911883044811,-0.10971621037490864,-0.11230621852212597
NVDA,-0.08034392058412843,-0.0865529224574515,-0.09255191696391929,-0.09750754633564485,-0.10223104772262237,-0.10634360409871368,-0.11100997858643724,-0.11600087790079572,-0.12025480339167172
AMD,0.17489366661456507,0.166813218455515,0.15797478601881876,0.15184341074484742,0.1459175248285225,0.1419236680610616,0.1358229412025176,0.12779531764191177,0.12057309638267222
TSM,0.17861257180974655,0.1757045063677739,0.17301894283384833,0.1707722504837157,0.168916665766488,0.16748126522412243,0.16541215971071088,0.1626758585506356,0.16036627725793906
IBM,0.2204051129691199,0.21527947584609697,0.2110737572778707,0.20754593528650878,0.20464385681344344,0.20348693450567845,0.19994650205319042,0.1949887546730642,0.19040608012139004
MU,0.2071952621945925,0.21005084467544544,0.21301056544988461,0.21527548835845,0.21801053962053119,0.21958452260643058,0.22148728142633745,0.22398746086531074,0.22622460765566577
META,0.2758387665915444,0.2619881787401501,0.2493132997547859,0.23800157848074754,0.22781921521785164,0.22077832183066315,0.2096362712857619,0.19605318663210058,0.18470943465232947
GOOGL,0.3078818288442025,0.3031739815261635,0.29958948634314714,0.29599124900486506,0.2932571732592576,0.29133237788346167,0.2871792231744199,0.28229858997160345,0.278157604620343
QCOM,0.2766124080526013,0.2819187636109859,0.2869824271863932,0.2909130781050344,0.2944964049328697,0.29709534394593556,0.30042310047105836,0.3048961483621778,0.30906622201241396
NOW,0.31020065353886744,0.3068758753185192,0.3042686504294105,0.30171439110274073,0.30029724528813373,0.2992399186645125,0.2969094113227921,0.29378782290751304,0.2910567071984387
SAP,0.3010887635193091,0.30190374618076077,0.3029023848774858,0.3035220430257248,0.30462604609198424,0.30517720755655536,0.30554173395844586,0.30600633125063426,0.3064072347091206
CRM,0.33399200939319523,0.32928617090934087,0.32373890407145794,0.3193494853706419,0.31538443694436513,0.31233792110947456,0.3073439804395537,0.30121637720866995,0.29650414536472736
AAPL,0.31182984650786166,0.3129028417844658,0.3139877682939619,0.3150766728479873,0.3163282267567597,0.31723359641802196,0.3179913972690998,0.31871862653433997,0.3190824952021648
AVGO,0.34959970709666216,0.3393165145706686,0.3303174677919458,0.32212766500529616,0.315156083456627,0.3100435022482482,0.3019708631818179,0.29220971531906503,0.2842353575496221
AMAT,0.32312582366255516,0.328494502874265,0.33378723958973344,0.3378318613214442,0.3417169807279953,0.3444373585321878,0.3476884043870813,0.3519436235524717,0.35596622183045046
ADI,0.3309463085569214,0.3350304290747907,0.3391532630465804,0.34229099512984085,0.3455059411863742,0.3475319156352393,0.3501665094734947,0.3537497308159706,0.35696986458446756
CSCO,0.36681782647524913,0.3652895645445259,0.3636578194504123,0.36268750356853574,0.36199634842458134,0.36171747009568056,0.3605559105673565,0.3588659948063737,0.3570340218862938
TSLA,0.3658514680502962,0.3670233966371407,0.3684539477586637,0.3695561421712059,0.3708869236615793,0.37167821532036777,0.3724978213308578,0.37353078862183525,0.374405200841375
ADBE,0.38060274180331854,0.37919921381142474,0.37749313251277494,0.3764415364985352,0.37499311335764957,0.37398753497223786,0.37225986234082586,0.3700589014344237,0.3682672688007232
ASML,0.38613732498941716,0.3852398773428304,0.3846307254242566,0.384169656532627,0.38371905301216935,0.38331254863290254,0.38289934264695863,0.38237502185365546,0.38167401747623275
PANW,0.39866101162159684,0.3995687167867318,0.4005077974175595,0.4014355709406487,0.40252542336979164,0.40324233212726157,0.40382848292504103,0.40442108314119346,0.40472165236339597
TXN,0.4120048848787968,0.41455977951015927,0.41724497545482264,0.41927240202332283,0.4214227265729823,0.4227544504544225,0.4243867991141773,0.42643305910451756,0.42837730122640405
ORCL,0.47886014679697825,0.46712646373051275,0.45524128903445854,0.4450800623560127,0.4359628740747471,0.43001244590177856,0.4207695222161317,0.40778449650024634,0.39738771525052774
ADSK,0.43742540309721584,0.44075503708706276,0.4441353864981175,0.4467864272283022,0.4495237947583877,0.4511870369896685,0.45331145871518,0.4561840038030904,0.4587509749668786
STX,0.4573784705958972,0.45884642645198054,0.46038779651913453,0.46163025678409664,0.4633855123884747,0.46447255869109355,0.46539765244099723,0.4665498281433518,0.4674193257449095
LRCX,0.4994840550847419,0.49975988698181084,0.5001173346575634,0.5002755798240446,0.5008128144479882,0.500936399528006,0.5009204236071916,0.5008975455571196,0.5009497726752232
KLAC,0.6069522927883765,0.6107573015558891,0.6146201272373999,0.6175397445557862,0.6207083993954775,0.6226439652719323,0.6251301864242498,0.6284330473912934,0.6314173034555197
INTU,0.6350573070637315,0.6392647462998889,0.643426312717665,0.6468301914156407,0.6504795504135243,0.6528872341373996,0.6555900121305023,0.6588571964672489,0.6617176325411953
