Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
MSFT,-0.7799498787551554,-0.7877187522847677,-0.7954911232165244,-0.802110952728077,-0.8077792796457018,-0.8119197457820949,-0.8176718686697636,-0.8249755293606122,-0.8308255590695055
AMZN,-0.7281177477344423,-0.7352569455664887,-0.7422834892096227,-0.7478595214696863,-0.75340117299698,-0.7573219522407587,-0.7622812004349834,-0.7685734068421576,-0.7740238510633213
NVDA,-0.71540122764786,-0.7258176687573404,-0.7359782296815843,-0.7443377377512855,-0.7527105981361467,-0.7592308382361133,-0.7665999907169395,-0.7748580743680447,-0.781972435932867
INTC,-0.6350573070637315,-0.6392647462998889,-0.643426312717665,-0.6468301914156407,-0.6504795504135243,-0.6528872341373996,-0.6555900121305023,-0.6588571964672489,-0.6617176325411953
AMD,-0.4601636404491665,-0.47245152784437394,-0.4854515266988463,-0.49498678067079327,-0.5045620255850018,-0.510963566076338,-0.5197670709279847,-0.5310618788253372,-0.5411445361585231
TSM,-0.45644473525398505,-0.46356023993211504,-0.4704073698838167,-0.476057940931925,-0.48156288464703634,-0.48540596891327714,-0.4901778524197914,-0.49618133791661334,-0.5013513552832563
IBM,-0.4146521940946117,-0.423985270453792,-0.43235255543979434,-0.4392842561291319,-0.4458356936000809,-0.4494002996317211,-0.45564351007731185,-0.46386844179418474,-0.47131155241980527
MU,-0.4278620448691391,-0.4292139016244435,-0.4304157472677804,-0.4315547030571907,-0.43246901079299316,-0.433302711530969,-0.43410273070416483,-0.4348697356019382,-0.43549302488552954
META,-0.3592185404721872,-0.3772765675597388,-0.39411301296287915,-0.40882861293489314,-0.4226603351956727,-0.4321089123067364,-0.4459537408447404,-0.46280400983514836,-0.47700819788886584
GOOGL,-0.3271754782195291,-0.33609076477372546,-0.3438368263745179,-0.3508389424107756,-0.35722237715426675,-0.3615548562539379,-0.36841078895608237,-0.3765586064956455,-0.3835600279208523
QCOM,-0.3584448990111303,-0.35734598268890305,-0.3564438855312718,-0.35591711331060627,-0.3559831454806547,-0.35579189019146407,-0.3551669116594439,-0.3539610481050711,-0.35265141052878135
NOW,-0.32485665352486415,-0.33238887098136977,-0.33915766228825456,-0.34511580031289996,-0.3501823051253906,-0.3536473154728871,-0.3586806008077102,-0.3650693735597359,-0.37066092534275663
SAP,-0.3339685435444225,-0.3373610001191282,-0.34052392784017926,-0.3433081483899159,-0.34585350432154016,-0.34771002658084427,-0.3500482781720564,-0.3528508652166147,-0.35531039783207463
CRM,-0.30106529767053636,-0.3099785753905481,-0.3196874086462071,-0.3274807060449988,-0.3350951134691592,-0.340549313027925,-0.3482460316909486,-0.357640819258579,-0.36521348717646795
AAPL,-0.3232274605558699,-0.32636190451542313,-0.32943854442370313,-0.3317535185676534,-0.3341513236567647,-0.3356536377193776,-0.33759861486140247,-0.340138569932909,-0.3426351373390305
AVGO,-0.28545759996706943,-0.29994823172922036,-0.3131088449257192,-0.3247025264103445,-0.3353234669568974,-0.3428437318891514,-0.3536191489486844,-0.3666474811481839,-0.37748227499157316
AMAT,-0.31193148340117643,-0.3107702434256239,-0.3096390731279316,-0.30899833009419647,-0.30876256968552906,-0.30844987560521175,-0.30790160774342096,-0.3069135729147772,-0.30575141071074485
ADI,-0.30411099850681017,-0.30423431722509825,-0.30427304967108465,-0.30453919628579984,-0.3049736092271502,-0.30535531850216036,-0.3054235026570076,-0.30510746565127833,-0.30474776795672776
CSCO,-0.26823948058848246,-0.27397518175536306,-0.2797684932672527,-0.28414268784710495,-0.28848320198894306,-0.291169764041719,-0.2950341015631458,-0.29999120166087523,-0.30468361065490146
TSLA,-0.26920583901343537,-0.27224134966274827,-0.27497236495900135,-0.2772740492444348,-0.2795926267519451,-0.28120901881703186,-0.2830921907996445,-0.2853264078454137,-0.28731243169982024
ADBE,-0.25445456526041305,-0.2600655324884642,-0.2659331802048901,-0.2703886549171055,-0.27548643705587483,-0.2788996991651618,-0.2833301497896764,-0.2887982950328252,-0.29345036374047206
ASML,-0.24891998207431443,-0.25402486895705856,-0.25879558729340846,-0.26266053488301366,-0.266760497401355,-0.26957468550449704,-0.27269066948354365,-0.2764821746135935,-0.28004361506496256
PANW,-0.23639629544213475,-0.23969602951315716,-0.24291851530010555,-0.245394620474992,-0.24795412704373274,-0.24964490201013803,-0.25176152920546124,-0.2544361133260555,-0.25699598017779934
TXN,-0.22305242218493482,-0.22470496678972968,-0.2261813372628424,-0.22755778939231786,-0.22905682384054207,-0.2301327836829771,-0.23120321301632496,-0.23242413736273138,-0.23334033131479123
ORCL,-0.15619716026675334,-0.1721382825693762,-0.1881850236832065,-0.20175012905962797,-0.21451667633877727,-0.22287478823562104,-0.2348204899143706,-0.2510726999670026,-0.26432991729066757
ADSK,-0.19763190396651575,-0.19850970921282618,-0.19929092621954753,-0.2000437641873385,-0.20095575565513665,-0.2017001971477311,-0.20227855341532225,-0.20267319266415856,-0.20296665757431667
STX,-0.1776788364678344,-0.1804183198479084,-0.1830385161985305,-0.18519993463154405,-0.18709403802504967,-0.18841467544630605,-0.19019235968950504,-0.19230736832389717,-0.19429830679628576
LRCX,-0.13557325197898962,-0.1395048593180781,-0.14330897806010168,-0.1465546115915961,-0.14966673596553623,-0.15195083460939365,-0.1546695885233107,-0.15795965091012937,-0.16076785986597206
KLAC,-0.028105014275355097,-0.028507444743999785,-0.0288061854802652,-0.029290446859854546,-0.029771151018046893,-0.03024326886546727,-0.030459825706252566,-0.030424149075955545,-0.030300329085675537
