Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
MSFT,-0.7518448644798004,-0.7592113075407679,-0.7666849377362592,-0.7728205058682225,-0.778008128627655,-0.7816764769166277,-0.787212042963511,-0.7945513802846567,-0.8005252299838299
AMZN,-0.7000127334590872,-0.7067495008224889,-0.7134773037293576,-0.7185690746098317,-0.7236300219789331,-0.7270786833752915,-0.7318213747287308,-0.738149257766202,-0.7437235219776457
NVDA,-0.6872962133725049,-0.6973102240133406,-0.7071720442013192,-0.7150472908914309,-0.7229394471180999,-0.728987569370646,-0.7361401650106869,-0.7444339252920891,-0.7516721068471914
INTC,-0.6069522927883765,-0.6107573015558891,-0.6146201272373999,-0.6175397445557862,-0.6207083993954775,-0.6226439652719323,-0.6251301864242498,-0.6284330473912934,-0.6314173034555197
AMD,-0.4320586261738114,-0.44394408310037414,-0.4566453412185811,-0.4656963338109387,-0.474790874566955,-0.48072029721087073,-0.48930724522173213,-0.5006377297493816,-0.5108442070728475
TSM,-0.42833972097862993,-0.43505279518811524,-0.4416011844035515,-0.44676749407207045,-0.4517917336289895,-0.4551627000478099,-0.45971802671353884,-0.46575718884065775,-0.47105102619758066
IBM,-0.38654717981925657,-0.3954778257097922,-0.40354636995952914,-0.40999380926927737,-0.41606454258203407,-0.4191570307662539,-0.4251836843710593,-0.43344429271822915,-0.4410112233341297
MU,-0.399757030593784,-0.4007064568804437,-0.4016095617875152,-0.40226425619733613,-0.4026978597749463,-0.40305944266550175,-0.4036429049979123,-0.4044455865259826,-0.40519269579985395
META,-0.3311135261968321,-0.348769122815739,-0.36530682748261395,-0.3795381660750386,-0.39288918417762586,-0.4018656434412692,-0.4154939151384878,-0.43237986075919277,-0.44670786880319024
GOOGL,-0.29907046394417397,-0.30758332002972566,-0.3150306408942527,-0.3215484955509211,-0.3274512261362199,-0.33131158738847066,-0.3379509632498298,-0.34613445741968996,-0.3532596988351767
QCOM,-0.3303398847357752,-0.32883853794490325,-0.3276377000510066,-0.3266266664507517,-0.32621199446260774,-0.32554862132599677,-0.32470708595319137,-0.32353689902911553,-0.32235108144310576
NOW,-0.29675163924950904,-0.30388142623737,-0.31035147680798936,-0.3158253534530454,-0.3204111541073438,-0.32340404660741984,-0.32822077510145764,-0.3346452244837803,-0.34036059625708104
SAP,-0.3058635292690674,-0.3088535553751284,-0.31171774235991406,-0.31401770153006137,-0.3160823533034932,-0.31746675771537697,-0.31958845246580386,-0.3224267161406591,-0.32501006874639915
CRM,-0.27296028339518125,-0.2814711306465483,-0.2908812231659419,-0.29819025918514425,-0.3053239624511124,-0.3103060441624578,-0.31778620598469604,-0.32721667018262346,-0.33491315809079236
AAPL,-0.2951224462805148,-0.29785445977142333,-0.3006323589434379,-0.30246307170779885,-0.30438017263871775,-0.3054103688539104,-0.3071387891551499,-0.30971442085695344,-0.3123348082533549
AVGO,-0.2573525856917143,-0.27144078698522056,-0.284302659445454,-0.29541207955049,-0.30555231593885046,-0.3126004630236841,-0.32315932324243185,-0.3362233320722283,-0.3471819459058977
AMAT,-0.2838264691258213,-0.2822627986816242,-0.2808328876476664,-0.2797078832343419,-0.2789914186674822,-0.2782066067397445,-0.2774417820371684,-0.2764894238388217,-0.27545108162506926
ADI,-0.27600598423145506,-0.2757268724810985,-0.27546686419081945,-0.2752487494259453,-0.2752024582091033,-0.27511204963669306,-0.274963676950755,-0.27468331657532274,-0.27444743887105216
CSCO,-0.24013446631312735,-0.2454677370113633,-0.2509623077869875,-0.2548522409872504,-0.2587120509708961,-0.26092649517625177,-0.26457427585689325,-0.26956705258491964,-0.274383281569226
TSLA,-0.24110082473808025,-0.2437339049187485,-0.24616617947873615,-0.24798360238458023,-0.24982147573389815,-0.25096574995156457,-0.25263236509339193,-0.25490225876945816,-0.25701210261414476
ADBE,-0.22634955098505793,-0.23155808774446443,-0.2371269947246249,-0.24109820805725096,-0.2457152860378279,-0.24865643029969448,-0.25287032408342386,-0.2583741459568697,-0.2631500346547966
ASML,-0.22081496779895932,-0.2255174242130588,-0.22998940181314326,-0.23337008802315912,-0.23698934638330812,-0.2393314166390298,-0.2422308437772911,-0.24605802553763792,-0.249743285979287
PANW,-0.20829128116677964,-0.2111885847691574,-0.21411232981984035,-0.21610417361513745,-0.21818297602568584,-0.21940163314467076,-0.2213017034992087,-0.22401196425009992,-0.22669565109212378
TXN,-0.1949474079095797,-0.1961975220457299,-0.1973751517825772,-0.1982673425324633,-0.19928567282249518,-0.19988951481750983,-0.2007433873100724,-0.20199998828677582,-0.2030400022291157
ORCL,-0.12809214599139823,-0.14363083782537642,-0.1593788382029413,-0.17245968219977342,-0.18474552532073038,-0.19263151937015377,-0.20436066420811805,-0.22064855089104704,-0.234029588204992
ADSK,-0.16952688969116064,-0.1700022644688264,-0.17048474073928233,-0.17075331732748394,-0.17118460463708976,-0.17145692828226383,-0.1718187277090697,-0.172249043588203,-0.17266632848864114
STX,-0.14957382219247928,-0.15191087510390863,-0.1542323307182653,-0.1559094877716895,-0.15732288700700278,-0.15817140658083878,-0.1597325339832525,-0.1618832192479416,-0.16399797771061023
LRCX,-0.10746823770363453,-0.11099741457407833,-0.11450279257983648,-0.11726416473174156,-0.11989558494748934,-0.12170756574392638,-0.12420976281705814,-0.1275355018341738,-0.13046753078029652
INTU,0.028105014275355097,0.028507444743999785,0.0288061854802652,0.029290446859854546,0.029771151018046893,0.03024326886546727,0.030459825706252566,0.030424149075955545,0.030300329085675537
