Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
MSFT,-0.6443766267761658,-0.6482138929666896,-0.6521821451564227,-0.6555563411364809,-0.6581125436801656,-0.6599689111727013,-0.6630022801464529,-0.6670158784504829,-0.6700576992035334
AMZN,-0.5925444957554526,-0.5957520862484106,-0.598974511149521,-0.6013049098780902,-0.6037344370314437,-0.6053711176313651,-0.6076116119116727,-0.6106137559320282,-0.6132559911973492
NVDA,-0.5798279756688703,-0.5863128094392623,-0.5926692516214827,-0.5977831261596894,-0.6030438621706105,-0.6072800036267196,-0.6119304021936288,-0.6168984234579153,-0.6212045760668949
INTC,-0.4994840550847419,-0.49975988698181084,-0.5001173346575634,-0.5002755798240446,-0.5008128144479882,-0.500936399528006,-0.5009204236071916,-0.5008975455571196,-0.5009497726752232
AMD,-0.32459038847017685,-0.33294666852629584,-0.3421425486387446,-0.34843216907919716,-0.35489528961946565,-0.35901273146694435,-0.365097482404674,-0.3731022279152078,-0.380376676292551
TSM,-0.3208714832749954,-0.32405538061403694,-0.32709839182371503,-0.3295033293403289,-0.33189614868150014,-0.3334551343038835,-0.3355082638964807,-0.338221687006484,-0.34058349541728417
IBM,-0.279078942115622,-0.2844804111357139,-0.28904357737969266,-0.2927296445375358,-0.2961689576345447,-0.2974494650223275,-0.30097392155400116,-0.30590879088405537,-0.3105436925538332
MU,-0.2922887928901494,-0.2897090423063654,-0.28710676920767875,-0.2850000914655946,-0.28280227482745696,-0.2813518769215754,-0.27943314218085413,-0.27691008469180883,-0.27472516501955746
META,-0.22364528849319756,-0.23777170824166072,-0.2508040349027775,-0.26227400134329704,-0.2729935992301365,-0.2801580776973428,-0.2912841523214297,-0.304844358925019,-0.31624033802289375
GOOGL,-0.19160222624053944,-0.19658590545564736,-0.20052784831441622,-0.20428433081917952,-0.20755564118873054,-0.20960402164454428,-0.21374120043277167,-0.21859895558551612,-0.22279216805488022
QCOM,-0.22287164703214066,-0.21784112337082495,-0.21313490747117014,-0.20936250171901016,-0.20631640951511843,-0.20384105558207039,-0.20049732313613322,-0.19600139719494175,-0.19188355066280927
NOW,-0.1892834015458745,-0.19288401166329167,-0.19584868422815288,-0.19856118872130385,-0.2005155691598544,-0.20169648086349345,-0.2040110122843995,-0.20710972264960653,-0.20989306547678455
SAP,-0.19839529156543287,-0.19785614080105007,-0.1972149497800776,-0.1967535367983198,-0.1961867683560039,-0.19575919197145059,-0.19537868964874572,-0.19489121430648532,-0.1945425379661026
CRM,-0.1654920456915467,-0.17047371607246997,-0.17637843058610542,-0.18092609445340269,-0.185428377503623,-0.1885984784185314,-0.1935764431676379,-0.19968116834844962,-0.20444562731049587
AAPL,-0.18765420857688028,-0.18685704519734503,-0.18612956636360145,-0.1851989069760573,-0.18448458769122844,-0.183702803109984,-0.18292902633809177,-0.1821789190227796,-0.18186727747305842
AVGO,-0.14988434798807979,-0.16044337241114226,-0.16979986686561754,-0.17814791481874842,-0.18565673099136115,-0.19089289727975772,-0.1989495604253737,-0.20868783023805454,-0.21671441512560113
AMAT,-0.1763582314221868,-0.17126538410754583,-0.16633009506782992,-0.16244371850260036,-0.15909583371999286,-0.15649904099581813,-0.15323201922011026,-0.14895392200464785,-0.14498355084477277
ADI,-0.16853774652782053,-0.16472945790702015,-0.16096407161098297,-0.15798458469420373,-0.15530687326161396,-0.15340448389276667,-0.15075391413369688,-0.14714781474114896,-0.14397990809075567
CSCO,-0.13266622860949281,-0.13447032243728496,-0.13645951520715105,-0.13758807625550884,-0.1388164660234068,-0.1392189294323254,-0.1403645130398351,-0.14203155075074586,-0.14391575078892943
TSLA,-0.13363258703444572,-0.13273649034467017,-0.13166338689889967,-0.13071943765283867,-0.12992589078640882,-0.12925818420763818,-0.12842260227633379,-0.12736675693528432,-0.1265445718338482
ADBE,-0.1188813132814234,-0.1205606731703861,-0.12262420214478842,-0.1238340433255094,-0.12581970109033858,-0.1269488645557681,-0.12866056126636571,-0.13083864412269586,-0.13268250387450004
ASML,-0.11334673009532478,-0.11452000963898046,-0.11548660923330678,-0.11610592329141756,-0.11709376143581879,-0.11762385089510341,-0.11802108096023295,-0.11852252370346411,-0.11927575519899047
PANW,-0.1008230434631451,-0.10019117019507906,-0.09960953724000388,-0.09884000888339589,-0.0982873910781965,-0.09769406740074438,-0.09709194068215055,-0.09647646241592611,-0.09622812031182726
TXN,-0.08747917020594517,-0.08520010747165158,-0.08287235920274072,-0.08100317780072175,-0.07939008787500584,-0.07818194907358345,-0.07653362449301426,-0.07446448645260201,-0.07257247144881918
ORCL,-0.020623908287763698,-0.03263342325129809,-0.04487604562310482,-0.05519551746803186,-0.06484994037324104,-0.07092395362622739,-0.0801509013910599,-0.09311304905687323,-0.10356205742469549
ADSK,-0.06205865198752611,-0.05900484989474808,-0.05598194815944585,-0.053489152595742384,-0.051289019689600424,-0.04974936253833745,-0.04760896489201155,-0.044713541754029196,-0.042198797708344615
STX,-0.042105584488844744,-0.0409134605298303,-0.03972953813842883,-0.03864532303994794,-0.037427302059513445,-0.0364638408369124,-0.035522771166194345,-0.0343477174137678,-0.033530446930313706
KLAC,0.10746823770363453,0.11099741457407833,0.11450279257983648,0.11726416473174156,0.11989558494748934,0.12170756574392638,0.12420976281705814,0.1275355018341738,0.13046753078029652
INTU,0.13557325197898962,0.1395048593180781,0.14330897806010168,0.1465546115915961,0.14966673596553623,0.15195083460939365,0.1546695885233107,0.15795965091012937,0.16076785986597206
