Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
MSFT,-0.42073133828296827,-0.4104421847250289,-0.4013781102536452,-0.39328233979318383,-0.38511894445002914,-0.3798108334753585,-0.3717181278250232,-0.3621715195254639,-0.35381736118063967
AMZN,-0.3688992072622551,-0.35798037800674987,-0.3481704762467436,-0.3390309085347931,-0.33074083780130725,-0.3252130399340223,-0.316327459590243,-0.3057693970070092,-0.29701565317445544
NVDA,-0.3561826871756728,-0.3485411011976016,-0.3418652167187052,-0.3355091248163924,-0.330050262940474,-0.32712192592937683,-0.32064624987219914,-0.3120540645328963,-0.3049642380440012
INTC,-0.2758387665915444,-0.2619881787401501,-0.2493132997547859,-0.23800157848074754,-0.22781921521785164,-0.22077832183066315,-0.2096362712857619,-0.19605318663210058,-0.18470943465232947
AMD,-0.10094509997697931,-0.09517496028463512,-0.09133851373596713,-0.08615816773590013,-0.08190169038932915,-0.07885465376960155,-0.07381333008324431,-0.06825786899018882,-0.06413633826965726
TSM,-0.09722619478179784,-0.08628367237237622,-0.07629435692093756,-0.06722932799703185,-0.05890254945136364,-0.053297056606540716,-0.04422411157505102,-0.033377328081464985,-0.024343157394390413
IBM,-0.05543365362242447,-0.046708702894053156,-0.03823954247691519,-0.03045564319423877,-0.02317535840440821,-0.017291387324984697,-0.009689769232571477,-0.0010644319590363827,0.005696645469060568
MU,-0.06864350439695188,-0.05193733406470469,-0.036302734304901274,-0.022726090122297538,-0.00980867559732046,-0.0011937992242325723,0.011851010140575546,0.027934274233210155,0.04151517300333629
GOOGL,0.03204306225265813,0.04118580278601336,0.05027618658836125,0.05798967052411752,0.06543795804140595,0.07055405605279852,0.07754295188865801,0.08624540333950287,0.09344816996801353
QCOM,0.0007736414610569065,0.019930584870835766,0.03766912743160733,0.05291149962428687,0.06667718971501807,0.07631702211527241,0.09078682918529646,0.10884296173007724,0.12435678736008449
NOW,0.03436188694732306,0.04488769657836905,0.05495535067462459,0.06371281262199319,0.07247803007028208,0.07846159683384935,0.08727314003703018,0.09773463627541246,0.1063472725461092
SAP,0.025249996927764695,0.039915567440610644,0.05358908512269989,0.06552046454497723,0.07680683087413259,0.08439888572589221,0.09590546267268396,0.10995314461853367,0.12169780005679115
CRM,0.05815324280165085,0.06729799216919075,0.07442560431667206,0.08134790688989435,0.08756522172651349,0.09155959927881141,0.09770770915379179,0.10516319057656937,0.11179471071239788
AAPL,0.03599107991631728,0.05091466304431569,0.06467446853917602,0.07707509436723975,0.08850901153890806,0.09645527458735881,0.10835512598333791,0.12266543990223938,0.13437306054983533
AVGO,0.07376094050511778,0.07732833583051846,0.08100416803715993,0.08412608652454862,0.08733686823877534,0.08926518041758508,0.09233459189605597,0.09615652868696445,0.09952592289729262
AMAT,0.047287057071010774,0.06650632413411489,0.08447393983494755,0.09983028284069667,0.11389776551014363,0.12365903670152467,0.13805213310131942,0.15589043692037113,0.17125678717812098
ADI,0.05510754196537704,0.07304225033464057,0.0898399632917945,0.1042894166490933,0.11768672596852253,0.12675359380457613,0.1405302381877328,0.15769654418387002,0.17226042993213808
CSCO,0.09097905988370475,0.10330138580437576,0.11434451969562642,0.1246859250877882,0.1341771332067297,0.1409391482650174,0.15091963928159458,0.16281280817427313,0.17232458723396432
TSLA,0.09001270145875184,0.10503521789699055,0.1191406480038778,0.13155456369045837,0.14306770844372768,0.15089989348970462,0.1628615500450959,0.17747760198973467,0.18969576618904554
ADBE,0.10476397521177416,0.11721103507127462,0.12817983275798905,0.13843995801778763,0.14717389813979792,0.1532092131415747,0.16262359105506397,0.17400571480232313,0.18355783414839372
ASML,0.11029855839787278,0.12325169860268026,0.1353174256694707,0.14616807805187948,0.1558998377943177,0.1625342268022394,0.17326307136119673,0.18632183522155488,0.19696458282390328
PANW,0.12282224503005246,0.13758053804658166,0.1511944976627736,0.16343399245990115,0.17470620815194,0.18246401029659842,0.19419221163927913,0.20836789650909288,0.2200122177110665
TXN,0.1361661182872524,0.15257160077000914,0.16793167570003675,0.1812708235425753,0.19360351135513065,0.20197612862375935,0.21475052782841542,0.23037987247241698,0.24366786657407458
ORCL,0.20302138020543387,0.20513828499036263,0.20592798927967265,0.20707848387526517,0.20814365885689545,0.2092341240711154,0.21113325093036978,0.21173130986814576,0.21267828059819827
ADSK,0.16158663650567145,0.17876685834691264,0.19482208674333162,0.20878484874755465,0.22170457954053607,0.23040871515900535,0.24367518742941813,0.2601308171709898,0.27404154031454914
STX,0.18153970400435282,0.19685824771183041,0.21107449676434864,0.2236286783033491,0.23556629717062305,0.2436942368604304,0.25576138115523533,0.2704966415112512,0.28270989109258005
LRCX,0.22364528849319756,0.23777170824166072,0.2508040349027775,0.26227400134329704,0.2729935992301365,0.2801580776973428,0.2912841523214297,0.304844358925019,0.31624033802289375
KLAC,0.3311135261968321,0.348769122815739,0.36530682748261395,0.3795381660750386,0.39288918417762586,0.4018656434412692,0.4154939151384878,0.43237986075919277,0.44670786880319024
INTU,0.3592185404721872,0.3772765675597388,0.39411301296287915,0.40882861293489314,0.4226603351956727,0.4321089123067364,0.4459537408447404,0.46280400983514836,0.47700819788886584
